ResID	ResFilePath	LowResFilePath	LockRotate	Desc
1	Effect/Prefabs/JueSe/NPC/Fuben/TongYong/Kong_TeXiao.prefab  			通用空技能特效
5	Effect/Prefabs/JueSe/NPC/XX/qinggong.prefab			定义ID约定
7	Effect/Prefabs/JueSe/UI/xingdongfangxianjiantou_G2.prefab			ID:1-3000为子弹特效
8	Effect/Prefabs/JueSe/UI/xingjinmubiaodian.prefab			ID:3001-6000为被击特效
9	Effect/Prefabs/JueSe/UI/xuanzhong.prefab			ID:6001-9000为施法特效
10	Effect/Prefabs/JueSe/UI/xuanzhong_tubiao.prefab			ID:9001-13000为其他特效
11	Effect/Prefabs/JueSe/UI/xuanzhong_LV.prefab			ID:13001-23000为技能施法
12	Effect/Prefabs/JueSe/UI/xuanzhong_tubiao_LV.prefab			ID:23001-33000为技能子弹
13	Effect/Prefabs/JueSe/UI/xuanzhong_L.prefab			ID:33001-43000为技能被击
14	Effect/Prefabs/JueSe/UI/YuJing_S.prefab			ID:异性特效ID+500000
15	Effect/Prefabs/JueSe/zhanshi/JN_01_X.prefab			
17	Effect/Prefabs/JueSe/NPC/DX/npc_earth_3_a.prefab			
18	Effect/Prefabs/JueSe/NPC/JX/npc_gold_3_c.prefab			
19	Effect/Prefabs/JueSe/NPC/HX/npc_fire_2_c.prefab			
23	Effect/Prefabs/JueSe/NPC/DX/npc_byz_b.prefab			
24	Effect/Prefabs/JueSe/NPC/JX/npc_gold_1_c.prefab			
25	Effect/Prefabs/JueSe/NPC/SX/npc_water_1_c.prefab			
26	Effect/Prefabs/JueSe/NPC/HX/npc_fire_1_c.prefab			
27	Effect/Prefabs/JueSe/NPC/FX/npc_wind_1_c.prefab			
32	Effect/Prefabs/JueSe/NPC/JX/npc_gold_2_b.prefab			
33	Effect/Prefabs/JueSe/NPC/SX/npc_water_2_b.prefab			
34	Effect/Prefabs/JueSe/NPC/HX/npc_fire_2_b.prefab			
35	Effect/Prefabs/JueSe/NPC/FX/npc_wind_2_b.prefab			
37	Effect/Prefabs/JueSe/NPC/XX/npc_sg_b.prefab			
38	Effect/Prefabs/JueSe/NPC/JX/npc_dg_b.prefab			
39	Effect/Prefabs/JueSe/NPC/SX/npc_sg_b.prefab			
40	Effect/Prefabs/JueSe/NPC/HX/npc_hg_b.prefab			
41	Effect/Prefabs/JueSe/NPC/FX/npc_fg_b.prefab			
50	Effect/Prefabs/JueSe/NPC/JX/npc_gold_5_b.prefab			
51	Effect/Prefabs/JueSe/NPC/SX/npc_water_5_b.prefab			
52	Effect/Prefabs/JueSe/NPC/HX/npc_fire_5_b.prefab			
53	Effect/Prefabs/JueSe/NPC/FX/npc_wind_5_b.prefab			
54	Effect/Prefabs/JueSe/NPC/JX/npc_gold_gq_b.prefab			
55	Effect/Prefabs/JueSe/NPC/SX/npc_water_gq_b.prefab			
56	Effect/Prefabs/JueSe/NPC/HX/npc_fire_gq_b.prefab			
57	Effect/Prefabs/JueSe/NPC/FX/npc_wind_gq_b.prefab			
58	Effect/Prefabs/JueSe/NPC/XX/state_slowall.prefab	Effect/Prefabs/JueSe/NPC/NPC_JianBan/NPC/XX/state_slowall_J.prefab		
59	Effect/Prefabs/JueSe/NPC/XX/state_fixed.prefab	Effect/Prefabs/JueSe/NPC/NPC_JianBan/NPC/XX/state_fixed_J.prefab		
60	Effect/Prefabs/JueSe/NPC/XX/state_zhican.prefab	Effect/Prefabs/JueSe/NPC/NPC_JianBan/NPC/XX/state_zhican_J.prefab		
61	Effect/Prefabs/JueSe/NPC/XX/state_palsy.prefab	Effect/Prefabs/JueSe/NPC/NPC_JianBan/NPC/XX/state_palsy_J.prefab		
62	Effect/Prefabs/JueSe/NPC/XX/state_float.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/XiaoYao/XY_JN_04_buff_J.prefab		
63	Effect/Prefabs/JueSe/NPC/XX/state_burn.prefab	Effect/Prefabs/JueSe/NPC/NPC_JianBan/NPC/XX/state_burn_J.prefab		
64	Effect/Prefabs/JueSe/NPC/XX/state_silence.prefab			
65	Effect/Prefabs/JueSe/NPC/XX/state_confuse.prefab	Effect/Prefabs/JueSe/NPC/NPC_JianBan/NPC/XX/state_confuse_J.prefab		
66	Effect/Prefabs/JueSe/NPC/XX/state_weak.prefab	Effect/Prefabs/JueSe/NPC/NPC_JianBan/NPC/XX/state_weak_J.prefab		
67	Effect/Prefabs/JueSe/NPC/XX/state_sleep.prefab			
68	Effect/Prefabs/JueSe/NPC/XX/state_stun.prefab			
69	Effect/Prefabs/JueSe/NPC/DX/npc_dg_b.prefab			
90	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_101-110/BOSS_110_at_01.prefab			
92	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_101-110/BOSS_110_at_02.prefab			
95	Effect/Prefabs/JueSe/UI/YuJing_Q.prefab			
96	Effect/Prefabs/JueSe/UI/YuJing_T.prefab			
97	Effect/Prefabs/JueSe/UI/YuJing_V.prefab			
106	Effect/Prefabs/JueSe/NPC/DX/npc_earth_gq_b.prefab			
114	Effect/Prefabs/JueSe/NPC/YeShou/Aobai/gangzhikaijia_buff.prefab			
117	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_009_at_01.prefab			
118	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_009_at_02.prefab			
119	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_009_at_03.prefab			
122	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_009_at_04_01.prefab			
123	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_009_at_04_02.prefab			
124	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_009_at_04_03.prefab			
126	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_009_at_D.prefab			
129	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_005_at_01.prefab			
130	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_005_at_02.prefab			
132	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_005_at_03.prefab			
134	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_005_at_05.prefab			
135	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_005_at_05_BJ.prefab			
136	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_005_at_06.prefab			
138	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_005_at_06_ZD_BJ.prefab			
139	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_005_at_06_ZD.prefab			
146	Effect/Prefabs/JueSe/NPC/YeShou/Dadilangwang/siyao.prefab			
148	Effect/Prefabs/JueSe/NPC/YeShou/Dadilangwang/DaDiLangWang_at_03.prefab			
154	Effect/Prefabs/JueSe/NPC/YeShou/HanBingLuYu/HanBingLuYu_JN_02.prefab			
156	Effect/Prefabs/JueSe/NPC/YeShou/HanBingLuYu/HanBingLuYu_JN_03.prefab			
159	Effect/Prefabs/JueSe/NPC/YeShou/BenYanBaoWang/BenYanBaoWang_JN_02.prefab			
160	Effect/Prefabs/JueSe/NPC/FX/wandao_FX.prefab			
163	Effect/Prefabs/JueSe/NPC/YeShou/JiuWeiHuWang/JiuWeiHuWang_JN_03_D.prefab			
165	Effect/Prefabs/JueSe/NPC/YeShou/Chibenlangwang/zhua.prefab			
166	Effect/Prefabs/JueSe/NPC/JX/at_01_JZ_jin.prefab			
167	Effect/Prefabs/JueSe/NPC/SX/at_01_JZ_lan.prefab			
168	Effect/Prefabs/JueSe/NPC/HX/at_01_JZ_hong.prefab			
169	Effect/Prefabs/JueSe/NPC/FX/at_01_JZ_lv.prefab			
170	Effect/Prefabs/JueSe/NPC/DX/at_01_JZ_tu.prefab			
173	Effect/Prefabs/JueSe/NPC/YeShou/JiuWeiHuWang/JiuWeiHuWang_JN_03_DM.prefab			
178	Effect/Prefabs/JueSe/NPC/DX/daoguang_b.prefab			
179	Effect/Prefabs/JueSe/emei/at_02_JZ_g.prefab			
180	Effect/Prefabs/JueSe/NPC/JX/beiji_big.prefab			
182	Effect/Prefabs/JueSe/NPC/Fuben/NPC_051-060/npc_059_at_01_D.prefab			
196	Effect/Prefabs/JueSe/NPC/XX/pugong_01.prefab			
197	Effect/Prefabs/JueSe/BUFF/jingying_guanghuan.prefab			
198	Effect/Prefabs/JueSe/UI/YeWai_JY_02.prefab			
201	Effect/Prefabs/JueSe/TW/at_01_GG.prefab			
