ColorID	Red	Green	Blue	Alpha	Des
1	100	100	100	100	场景变暗颜色值
2	8	80	124	255	玩家遮挡颜色
3	88	0	0	255	灼烧红色
4	0	255	76	255	虚弱绿色
5	250	255	163	255	无阵营时的默认颜色
100	255	146	255	255	家族阵营，金
101	255	168	94	255	家族阵营，宋
102	85	255	145	255	家族阵营，中立
200	255	255	255	255	1级称号（白）
201	231	255	199	255	2级称号（绿）Top
202	94	255	81	255	2级称号（绿）Bottom
203	29	122	0	255	2级称号（绿）Outline
204	203	255	251	255	3级称号（蓝）Top
205	79	211	255	255	3级称号（蓝）Bottom
206	0	115	229	255	3级称号（蓝）Outline
207	255	240	249	255	4级称号（紫）Top
208	220	141	255	255	4级称号（紫）Bottom
209	178	0	255	255	4级称号（紫）Outline
210	255	255	255	255	5级称号（粉）Top
211	255	135	170	255	5级称号（粉）Bottom
212	221	0	105	255	5级称号（粉）Outline
213	255	255	255	255	6级称号（橙）Top
214	255	140	88	255	6级称号（橙）Bottom
215	193	36	0	255	6级称号（橙）Outline
216	255	255	253	255	7级称号（金）Top
217	255	206	2	255	7级称号（金）Bottom
218	197	61	0	255	7级称号（金）Outline
219	255	255	255	255	特殊称号（微信精英）Top
220	20	211	18	255	特殊称号（微信精英）Bottom
221	5	97	0	255	特殊称号（微信精英）Outline
222	255	250	137	255	特殊称号（红霸天下）Top
223	235	32	32	255	特殊称号（红霸天下）Bottom
224	131	0	4	255	特殊称号（红霸天下）Outline
300	255	39	39	255	秒杀红色（纯色）
301	51	0	0	255	秒杀红色（描边）
302	255	255	255	255	白金武器(渐变)Top
303	255	204	96	255	白金武器(渐变)Bottom
