MagicName	Value1	Value2	Value3	非buff属性	szMagicDesc	paramDesc	CodeName
lifemax_v	1				生命上限点数加成	增加的点数	magic_lifemax_v
lifemax_p	1				基础生命上限增加百分比	增加的百分比	magic_lifemax_p
recover_life_v	1	0			生命恢复点数	回复点数;回复间隔(帧)	magic_recover_life_v
recover_life_p	1	0			生命恢复百分比	回复最大生命百分比;回复间隔(帧)	magic_recover_life_p
manamax_v	1				内力上限点数加成	增加的点数	magic_manamax_v
manamax_p	1				内力上限百分比加成	增加的百分比	magic_manamax_p
recover_mana_v	1	0			内力回复点数	回复点数;回复间隔(帧)	magic_recover_mana_v
staminamax_v	1				最大体力点数	增加的点数	magic_staminamax_v
staminamax_p	1				最大体力百分比加成	增加的百分比	magic_staminamax_p
recover_stamina_v	1	0			体力回复点数	回复点数;回复间隔(帧)	magic_recover_stamina_v
lifereplenish_p	1				生命回复效率	增加的百分比	magic_lifereplenish_p
manareplenish_p	1				内力回复效率	增加的百分比	magic_manareplenish_p
strength_v	1				力量	增加的点数	magic_strength_v
dexterity_v	1				敏捷	增加的点数	magic_dexterity_v
vitality_v	1				体质	增加的点数	magic_vitality_v
energy_v	1				灵巧	增加的点数	magic_energy_v
basic_damage_v	1	0	1		武器基础攻击力(不分内外功)	攻击下限:攻击上限	magic_weapon_base_damage_v
physical_damage_v	1	0	1		浮动攻击	攻击下限:攻击上限	magic_weapon_physical_damage_v
runspeed_p	1				提高移动速度百分比	增加的百分比	magic_runspeed_p
runspeed_v	1				提高移动速度点数	10=1点跑速	magic_runspeed_v
attackspeed_v	1				武功出招速度	攻速点数	magic_attack_speed_v
attack_speed_p	1				攻速增加百分比	增加的百分比	magic_attack_speed_p
attackrate_v	1				攻击方：攻击命中值点数	增加的点数	magic_attackrating_v
attackrate_p	1				攻击方：攻击命中值百分比	增加的百分比	magic_attackrating_p
defense_v	1				闪避值增加点数	增加的点数	magic_defense_v
defense_p	1				基础闪避值增加百分比	增加的百分比	magic_defense_p
ignore_defense_v	1				攻击方：增加忽略闪避点数	增加的点数	magic_ignoredefense_v
ignore_defense_p	1				攻击方：增加忽略最终闪避百分比	增加的百分比	magic_ignoredefense_p
deadlystrike_v	1				攻击方：会心一击值	增加的点数	magic_deadlystrike_v
deadlystrike_p	1				攻击方基础会心增加百分比	增加的百分比	magic_deadlystrike_p
deadlystrike_damage_p	1				攻击方：会心一击的伤害倍值加成	增加的百分比	magic_deadlystrike_damage_p
weaken_deadlystrike_v	1				防御方：减少会心一击值	增加的点数	magic_weaken_deadlystrike_v
weaken_deadlystrike_damage_p	1				防御方：减会心伤害百分比	增加的百分比	magic_weaken_deadlystrike_damage_p
metal_resist_v	1				金属性抗性点数	增加的点数	magic_metal_resist_v
wood_resist_v	1				木属性抗性点数	增加的点数	magic_wood_resist_v
water_resist_v	1				水属性抗性点数	增加的点数	magic_water_resist_v
fire_resist_v	1				火属性抗性点数	增加的点数	magic_fire_resist_v
earth_resist_v	1				土属性抗性点数	增加的点数	magic_earth_resist_v
all_series_resist_v	1				增加所有属性抗性点数	增加的点数	magic_all_series_resist_v
