SkillId		MagicDesc
201	天王锤法	对目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害
206	野蛮冲撞	对砸中的目标，造成 [00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害，附带[00ff00]state_hurt_attack2/15[-]秒的受伤效果和[00ff00]state_fixed_attack2/15[-]秒的定身效果
213	金钟罩	增加自身[00ff00]all_series_resist_p1%[-] + [00ff00]all_series_resist_v1[-]全系抗性、抗属性效果几率+[00ff00]resist_allseriesstate_rate_v1[-]点，持续[00ff00]skill_statetime1/15[-]秒
210	血战八方	每次造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害
209	天王战意	永久提升[00ff00]lifemax_p1%[-]基础生命、[00ff00]physics_potentialdamage_p1%[-]基础攻击力与[00ff00]state_zhican_resistrate1[-]点抗致缠几率
208	霸王怒吼	对周围命中的目标，造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害，[00ff00]state_hurt_attack1%[-]几率造成[00ff00]state_hurt_attack2/15[-]秒受伤效果
224	一骑当千	周围每多一个敌人，自动提升[00ff00]all_series_resist_p1%[-]基础全系抗性，最多叠加[00ff00]add_mult_proc_sate12[-]倍
229	锤法进阶	提升[天王锤法][00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害
240	惊雷破天	每次获得[00ff00]physics_potentialdamage_p1%[-]基础攻击力加成，持续[00ff00]skill_statetime1/15[-]秒，最多叠加[00ff00]superposemagic1[-]倍
218	破釜沉舟	有[00ff00]userdesc_1011%[-]几率触发回复生命[00ff00]dir_recover_life_pp1/100%[-]并且无敌[00ff00]skill_statetime1/15[-]秒，触发间隔[00ff00]userdesc_1021/15[-]秒
242	天王本生	永久提升[00ff00]physics_potentialdamage_p1%[-]基础攻击力、[00ff00]lifemax_p1%[-]基础生命、[00ff00]all_series_resist_p1%[-]基础全系抗性、[00ff00]attackspeed_v1[-]点攻击速度、[00ff00]state_hurt_attackrate1[-]点受伤几率与[00ff00]state_zhican_resisttime1[-]点抗致缠时间
216	初级·野蛮冲撞	提高[00ff00]deadlystrike_p1%[-]基础会心几率，持续[00ff00]skill_statetime1/15[-]秒
222	初级·血战八方	提高[00ff00]add_usebasedmg_p12%[-]基础攻击
220	初级·霸王怒吼	远程和近程伤害抗性提高[00ff00]melee_dmg_p1%[-]，持续[00ff00]skill_statetime1/15[-]秒，最高叠加[00ff00]superposemagic1[-]层
243	中级·血战八方	提高[00ff00]add_usebasedmg_p12%[-]基础攻击；[00ff00]add_hurt_r2%[-]几率造成[00ff00]add_hurt_t2/15[-]秒受伤
244	中级·霸王怒吼	远程和近程伤害抗性提高[00ff00]melee_dmg_p1%[-]，持续[00ff00]skill_statetime1/15[-]秒，最多叠加[00ff00]superposemagic1[-]层；提高[00ff00]add_usebasedmg_p12[-]%基础攻击与[00ff00]add_hurt_t2/15[-]秒受伤时间
246	气盖八荒	增加[00ff00]lifecurmax_p1%[-]当前生命，有[00ff00]userdesc_1011%[-]几率造成[00ff00]自身生命上限 * damage_maxlife_p1/100%[-]伤害
253	初级·金钟罩	回复[00ff00]dir_recover_life_pp1/100%[-]最大生命
255	中级·金钟罩	回复[00ff00]dir_recover_life_pp1/100%[-]最大生命；冷却时间缩短[00ff00]deccdtime2/15[-]秒，持续时间延长[00ff00]add_state_time12/15[-]秒
257	中级·野蛮冲撞	提高[00ff00]deadlystrike_p1%[-]基础会心几率，持续[00ff00]skill_statetime1/15[-]秒；提高[00ff00]add_usebasedmg_p12%[-]基础攻击
261	少林棍法	对目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害
266	降龙棍	对身前直线范围目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害，同时有[00ff00]state_hurt_attack1%[-]几率附带[00ff00]state_hurt_attack2/15[-]秒受伤
268	大力金刚指	对目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害，[00ff00]state_hurt_attack1%[-]几率造成[00ff00]state_hurt_attack2/15[-]秒受伤
270	金刚伏魔	免疫属性和负面效果并提高会心伤害和会心免伤[00ff00]deadlystrike_damage_p1%[-]，持续[00ff00]skill_statetime1/15[-]秒
271	达摩武经	永久提升[00ff00]lifemax_p1%[-]基础生命、[00ff00]resist_allseriesstate_rate_v1[-]点抗属性效果几率与[00ff00]state_zhican_resistrate1[-]点抗致缠几率
272	十二擒龙手	造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害，附带[00ff00]state_fixed_attack2/15[-]秒的定身效果
273	罗汉阵	攻击为[00ff00]自身生命上限 * damage_maxlife_p1/100%[-]+ [00ff00]attack_metaldamage_v1[-]点
276	棍法进阶	提升[少林棍法][00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害
278	立地成佛	每次获得[00ff00]all_series_resist_p1%[-]基础全系抗性，最多叠加[00ff00]superposemagic1[-]层，持续[00ff00]skill_statetime1/15[-]秒
280	金刚怒目	有[00ff00]userdesc_1011%[-]几率触发，提高自身[00ff00]all_series_resist_p1%[-]基础全系抗性，提高[罗汉阵][00ff00]add_usebasedmg_p12%[-]基础攻击，持续[00ff00]skill_statetime1/15[-]秒，触发间隔[00ff00]userdesc_1021/15[-]秒
282	易筋经	永久提升[00ff00]physics_potentialdamage_p1%[-]基础攻击力、[00ff00]lifemax_p1%[-]基础生命、[00ff00]all_series_resist_p1%[-]基础全系抗性、[00ff00]attackspeed_v1[-]点攻击速度、[00ff00]state_hurt_attackrate1[-]点受伤几率与[00ff00]state_zhican_resisttime1[-]点抗致缠时间
292	初级·降龙棍	基础攻击增加[00ff00]add_usebasedmg_p12%[-]
293	初级·大力金刚指	基础攻击增加[00ff00]add_usebasedmg_p12%[-]
294	初级·金刚伏魔	每次减少金刚伏魔冷却时间[00ff00]reduce_cd_time12/15[-]秒
296	初级·十二擒龙手	[00ff00]state_forceatk_attack1%[-]几率嘲讽敌人[00ff00]state_forceatk_attack2/15[-]秒。
298	罗汉金身	永久提升[00ff00]physics_potentialdamage_p1%[-]基础攻击力，受到攻击时有[00ff00]state_fixed_attack1%[-]几率对攻击者造成[00ff00]state_fixed_attack2/15[-]秒定身效果，触发间隔[00ff00]userdesc_1011/15[-]秒
301	峨嵋剑法	对目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_waterdamage_v1[-]点水系伤害
310	江海凝波	每次攻击造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_waterdamage_v1[-]点水系伤害，同时有[00ff00]state_slowall_attack1%[-]几率附带[00ff00]state_slowall_attack2/15[-]秒的迟缓效果
308	白露凝霜	对目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_waterdamage_v1[-]点水系伤害，有[00ff00]state_slowall_attack1%[-]几率附带[00ff00]state_slowall_attack2/15[-]秒的迟缓效果
306	慈航普度	每隔[00ff00]1[-]秒，回复[00ff00]dir_recover_life_pp1/100%[-]最大生命，持续[00ff00]5[-]秒
309	剑心通明	永久提升[00ff00]lifemax_p1%[-]基础生命、[00ff00]physics_potentialdamage_p1%[-]基础攻击力、[00ff00]state_palsy_resistrate1[-]点抗麻痹几率与[00ff00]runspeed_v1[-]移动速度
312	天舞宝轮	对阵内敌人每[00ff00]0.5[-]秒造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_waterdamage_v1[-]点水系伤害，并对阵内的友方每[00ff00]1[-]秒回复[00ff00]dir_recover_life_pp1/100%[-]最大生命。阵法持续[00ff00]6[-]秒
