Faction	SkillId	Desc	GainLevel	IsBaseSkill	WeaponType	SwitchSkill	BtnName	IconAltlas	BtnIcon	SortInUI	IsAnger	LevelUpGroup	ShowParam
1	201	天王锤法	1	1			Attack	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_01	1		1	
1	214	日月山河碎	1				Skill5	UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_nq01		1	13	
1	206	野蛮冲撞	1				Skill2	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_02	2		2	
1	1013	打坐	9				BtnDazuo	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Meditation				
1	1045	轻功	3				SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge				
1	210	血战八方	4				Skill1	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_04	3		3	
1	213	金钟罩	10				Skill3	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_03	4		4	
1	209	天王战意	20					UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd01	5		5	
1	208	霸王怒吼	30				Skill4	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_05	6		6	
1	224	一骑当千	40					UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd07	7		7	
1	229	锤法进阶	50					UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd05	8		8	
1	240	惊雷破天	60					UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd08	9		9	
1	218	破釜沉舟	70					UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd03	10		10	
1	242	天王本生	80					UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd04	11		11	
1	246	气盖八荒	90					UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd09	12		12	
2	301	峨嵋剑法	1	1			Attack	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_01	1		1	
2	346	冰魄红莲劫	1				Skill5	UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_nq01		1	13	
2	310	江海凝波	1				Skill2	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_04	2		2	
2	1013	打坐	9				BtnDazuo	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Meditation				
2	1046	轻功	3				SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge				
2	312	天舞宝轮	4				Skill1	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_05	3		3	
2	306	慈航普度	10				Skill3	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_02	4		4	
2	309	剑心通明	20					UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd01	5		5	
2	308	白露凝霜	30				Skill4	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_03	6		6	
2	345	冰心云裳	40					UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd07	7		7	
2	323	剑法进阶	50					UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd05	8		8	
2	341	佛心慈佑	60					UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd02	9		9	
2	317	绵里藏针	70					UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd06	10		10	
