SkillPoint	FightPower
1	10
2	10
3	10
4	10
5	10
6	10
7	10
8	10
9	10
10	10
11	50
12	50
13	50
14	50
15	50
16	50
17	50
18	50
19	50
20	50
21	100
22	100
23	100
24	100
25	100
26	100
27	100
28	100
29	100
30	100
31	200
32	200
33	200
34	200
35	200
36	200
37	200
38	200
39	200
40	200
41	300
42	300
43	300
44	300
45	300
46	300
47	300
48	300
49	300
50	300
51	400
52	400
53	400
54	400
55	400
56	400
57	400
58	400
59	400
60	400
61	500
62	500
63	500
64	500
65	500
66	500
67	500
68	500
69	500
70	500
71	650
72	650
73	650
74	650
75	650
76	650
77	650
78	650
79	650
80	650
81	800
82	800
83	800
84	800
85	800
86	800
87	800
88	800
89	800
90	800
91	1000
92	1000
93	1000
94	1000
95	1000
96	1000
97	1000
98	1000
99	1000
100	1000
101	1200
102	1200
103	1200
104	1200
105	1200
106	1200
107	1200
108	1200
109	1200
110	1200
111	1500
112	1500
113	1500
114	1500
115	1500
116	1500
117	1500
118	1500
119	1500
120	1500
121	2000
122	2000
123	2000
124	2000
125	2000
126	2000
127	2000
128	2000
129	2000
130	2000
131	3000
132	3000
133	3000
134	3000
135	3000
136	3000
137	3000
138	3000
139	3000
140	3000
141	5000
142	5000
143	5000
144	5000
145	5000
146	5000
147	5000
148	5000
149	5000
150	5000
151	5000
152	5000
153	5000
154	5000
155	5000
156	5000
157	5000
158	5000
159	5000
160	5000
161	5000
162	5000
163	5000
164	5000
165	5000
166	5000
167	5000
168	5000
169	5000
170	5000
171	5000
172	5000
173	5000
174	5000
175	5000
176	5000
177	5000
178	5000
179	5000
180	5000
181	5000
182	5000
183	5000
184	5000
185	5000
186	5000
187	5000
188	5000
189	5000
190	5000
191	5000
192	5000
193	5000
194	5000
195	5000
196	5000
197	5000
198	5000
199	5000
200	5000
