SkillId	SkillName	Property	SkillType	MeleeForm	StartPosType	StartDirType	Icon	IconAtlas	WaitTime	ChildID	ChildCount	MissileForm	MSGenerate	MSGenerateParam	Relation	TimePerCast	IsUseAR	Series	CastActionId	ActionEventID	ActionFrontPer	ActionBackPer	StateEffectId	SkillStyle	IsMelee	StatePriority	StateType	StateTime	StartSkillID	FlySkillId	FlyEventInterval	FlyActEventId	FlyActId	HitSkillID	HitSkillID2	VanishedSkillId	EventSkillLevel	AttackRadius	ClassName	MaxUsePoint	UsePointRecover	Param1	Param1Des	Param2	Param2Des	Param3	Param3Des	Param4	Param4Des	Param5	Param5Des	Param6	Param6Des	CostType	CostValue	FlagAddLevel	FactionLimit	ReqLevel	IsLinkSubSkill	IsAura	Desc	SelectorRange	SelectorType	CollisionSkillId	TargetSelf	DeathActEventID	AttackAnger	CastSoundID	AcceSpeedInfo1	AcceSpeedInfo2	AcceSpeedInfo3	InitSpeed	CastEffectRestId	NotChangeActFrame	NotChangeDir	CanDoSkillPri	UseLimitType	IgnoreObstacleJump	IsActPerFrame	IsPeaceCanUse	IsNotJumpObstacle	IsIgnoreInvincible	IsOnlySyncSelf	IsShareDmgRecord	RemoveWhenSelfDead	RemoveWhenTargetDead	SkillStateWeapon
1	测试_必杀技单体	测试	5		1		SkillUsual			1	1				enemy	0			16	1				logic				0										1000	test_npc																																																
2	测试_必杀技群体	测试	5		1		SkillUsual			1	1				enemy	0			16	1				logic				0										1000	test_mustkill																																																
3	测试_必杀技自杀	测试	5		2		SkillUsual			1	1				self	0			16	1				logic				0										1000	test_mustkill																																																
4	测试_全能&无敌	测试	2				SkillUsual								self	0			16	1								0											test3																																																
5	测试_回血	测试	2				SkillUsual								self	0			16	1								0											test_recoverlife																																																
6	测试_隐身	测试	3				SkillUsual								self	0			16	1								0											test3																																																
7	天王轻功		1	1			SkillUsual									0			29	7	0	0.2						0										1600	empty			30	向上的初始速度	800		800																							-1|20|90			70															
8	峨嵋轻功		1	1			SkillUsual									0			29	8	0	0.2						0										1600	empty			30	向上的初始速度	800		800																							-1|20|90			70															
9	桃花轻功		1	1			SkillUsual									0			29	9	0	0.2						0										1600	empty			30	向上的初始速度	800		800																							-1|20|90			70															
10	逍遥轻功		1	1			SkillUsual									0			29	10	0	0.2						0										1600	empty			30	向上的初始速度	800		800																							-1|20|90			70															
11	天王过场轻功		1	1			SkillUsual									0			6	11	0	0						0										1600	empty			30	向上的初始速度																													45															
12	峨嵋过场轻功		1	1			SkillUsual									0			6	12	0	0						0										1600	empty			20	向上的初始速度																													60															
13	桃花过场轻功		1	1			SkillUsual									0			6	13	0	0						0										1600	empty			20	向上的初始速度																													60															
14	逍遥过场轻功		1	1			SkillUsual									0			6	14	0	0						0										1600	empty			20	向上的初始速度																													60															
15	轻功落地通用		1	5			SkillUsual									0			30	15								0										1600	empty																																			1	1												
16	测试跳跃前摇后摇	测试	1	2			SkillUsual			17					enemy	0			21	16	15	15						0										700	test1			70																														10															
17	测试跳跃前摇后摇_子	测试	5		1		SkillUsual			17	1				enemy	0			16	17								0										750	tw_ymcz_child																																																
18	红色预警_子2		5		1		SkillUsual			18	1				enemy	30			16	18				skill_remote				0										600	npc_normal																																																
19	红色预警		5		1		SkillUsual			19	1				enemy	30			16	19				logic				0										600	empty																																																
20	红色预警_子1		5		1		SkillUsual			20	1				enemy	30			16	20				logic				0										600	empty																																																
21	npc近身单体_金	技能通用	5		1		SkillUsual			21	1				enemy	30	1		16	21				normal_melee				0										150	npc_normal																																																
22	npc近身单体2_爪子	技能通用	5		1		SkillUsual			22	1				enemy	30	1		16	22				normal_melee				0										200	npc_normal																																																
23	npc近身群体_小半月金	技能通用	5		1		SkillUsual			23	1				enemy	30	1		16	23				normal_melee				0										200	npc_normal																																		23														
24	npc近身群体1_金.表现	技能通用	5		2		SkillUsual			24	1				enemy	60	1		16	6005				show				0	70								-1	150	empty																																																
25	npc近身群体1_水.表现	技能通用	5		2		SkillUsual			25	1				enemy	60	1		16	6005				show				0	71								-1	150	empty																																																
26	npc近身群体1_火.表现	技能通用	5		2		SkillUsual			26	1				enemy	60	1		16	6005				show				0	72								-1	150	empty																																																
27	npc近身群体1_木.表现	技能通用	5		2		SkillUsual			27	1				enemy	60	1		16	6005				show				0	73								-1	150	empty																																																
28	身周群体1_金	技能通用	5		2		SkillUsual			28	1				enemy	75	1		16	6005				show				0	74								-1	250	empty																																																
29	身周群体2_水	技能通用	5		2		SkillUsual			29	1				enemy	75	1		16	6005				show				0	75								-1	250	empty																																																
30	身周群体3_火	技能通用	5		2		SkillUsual			30	1				enemy	75	1		16	6005				show				0	76								-1	250	empty																																																
31	身周群体4_木	技能通用	5		2		SkillUsual			31	1				enemy	75	1		16	6005				show				0	77								-1	250	empty																																																
32	npc远程定点单体1_金	技能通用	5		1		SkillUsual			32	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal																																		6032														
33	npc远程定点单体1_水	技能通用	5		1		SkillUsual			33	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal																																		6033														
34	npc远程定点单体1_火	技能通用	5		1		SkillUsual			34	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal																																		6034														
35	npc远程定点单体1_木	技能通用	5		1		SkillUsual			35	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal																																		6035														
36	npc远程抛物线单体	技能通用	5		2		SkillUsual			36	1				enemy	30	1		16	1				normal_remote				0										600	npc_normal																																																
37	npc远程直线单体_水	技能通用	5		2		SkillUsual			37	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal																																																
38	npc远程直线穿透_金	技能通用	5		2		SkillUsual			38	1				enemy	30	1		16	6004				normal_remote				0										750	npc_normal																																																
39	npc远程直线穿透_水	技能通用	5		2		SkillUsual			39	1				enemy	30	1		16	6004				normal_remote				0										750	npc_normal																																																
40	npc远程直线穿透_火	技能通用	5		2		SkillUsual			40	1				enemy	30	1		16	6004				normal_remote				0										750	npc_normal																																																
41	npc远程直线穿透_木	技能通用	5		2		SkillUsual			41	1				enemy	30	1		16	6004				normal_remote				0										750	npc_normal																													5041																			
42	npc远程定点群体1_地.表现	技能通用	5		1		SkillUsual			42	1				enemy	60	1		16	6005				show				0	78								-1	750	empty																																																
43	npc远程定点群体1_水.表现	技能通用	5		1		SkillUsual			43	1				enemy	60	1		16	6005				show				0	79								-1	750	empty																																																
44	npc远程定点群体1_火.表现	技能通用	5		1		SkillUsual			44	1				enemy	60	1		16	6005				show				0	80								-1	750	empty																																																
