SkillID	IconAltlas	Icon	BtnName1
3371	UI/Atlas/SkillIcon/Snowballs.prefab	hd_snowball_gold	Skill3
3367	UI/Atlas/SkillIcon/Snowballs.prefab	hd_snowball_wood	Skill3
3591	UI/Atlas/SkillIcon/Snowballs.prefab	hd_snowball_water	Skill3
3593	UI/Atlas/SkillIcon/Snowballs.prefab	hd_snowball_fire	Skill3
3359	UI/Atlas/SkillIcon/Snowballs.prefab	hd_snowball	Skill2
4734	UI/Atlas/SkillIcon/Firefighting.prefab	Firefighting_water01	Skill2
3361	UI/Atlas/SkillIcon/Firefighting.prefab	Firefighting_wood	Skill1
3362	UI/Atlas/SkillIcon/Firefighting.prefab	Firefighting_water03	Skill2
3364	UI/Atlas/SkillIcon/Firefighting.prefab	Firefighting_earth	Skill3
3365	UI/Atlas/SkillIcon/Firefighting.prefab	Firefighting_gold	Skill4
