FactionID	Strength2DamagePhysics	Energy2AttackRate	Energy2DeadlyStrike	Dexterity2Defense	Dexterity2AllSeriesResist	Vitality2LifeMax	Vitality2LifeReplenish
0	1	2	0.5	1	0.25	20	0
1	1	2	0.5	1	0.25	20	0
2	1	2	0.5	1	0.25	20	0
3	1	2	0.5	1	0.25	20	0
4	1	2	0.5	1	0.25	20	0
5	1	2	0.5	1	0.25	20	0
6	1	2	0.5	1	0.25	20	0
7	1	2	0.5	1	0.25	20	0
8	1	2	0.5	1	0.25	20	0
9	1	2	0.5	1	0.25	20	0
10	1	2	0.5	1	0.25	20	0
11	1	2	0.5	1	0.25	20	0
12	1	2	0.5	1	0.25	20	0
13	1	2	0.5	1	0.25	20	0
14	1	2	0.5	1	0.25	20	0
15	1	2	0.5	1	0.25	20	0
16	1	2	0.5	1	0.25	20	0
17	1	2	0.5	1	0.25	20	0
18	1	2	0.5	1	0.25	20	0
19	1	2	0.5	1	0.25	20	0
20	1	2	0.5	1	0.25	20	0
21	1	2	0.5	1	0.25	20	0
