RealLevel	AttribLevel	Desc
1	1	T1普通
2	2	T1传承
3	3	T2普通
4	4	T1稀有
5	4	T2传承
6	5	T3普通
7	6	T2稀有
8	6	T3传承
9	7	T4普通
10	8	T3稀有
11	8	T4传承
12	9	T5普通
13	10	T4稀有
14	10	T5传承
15	11	T6普通
16	12	T5稀有
17	12	T6传承
18	13	T7普通
19	14	T6稀有
20	14	T7传承
21	15	T8普通
22	16	T7稀有
23	16	T8传承
24	17	T9普通
25	18	T8稀有
26	18	T9传承
27	19	T10普通
28	20	T10传承
29	20	T9稀有
30	21	T11普通
31	22	T10稀有
32	22	T11传承
33	23	T12普通
34	24	T11稀有
35	24	T12传承
36	25	T13普通
37	26	T12稀有
38	26	T13传承
39	27	T14普通
40	28	T13稀有
41	28	T14传承
42	29	T15普通
43	30	T14稀有
44	30	T15传承
45	32	T15稀有
