nCollectionId	nRank	szAward
1	1	Item|223|50;AddTimeTitle|402|2592000
1	10	Item|223|30;AddTimeTitle|401|2592000
1	30	Item|223|25;AddTimeTitle|400|2592000
1	100	Item|223|20
1	200	Item|223|15
1	300	Item|223|12
1	500	Item|223|10
1	1000	Item|223|8
1	1500	Item|223|6
1	9999	Item|223|5
2	1	Item|223|60;AddTimeTitle|405|-1
2	10	Item|223|40;AddTimeTitle|404|-1
2	30	Item|223|35;AddTimeTitle|403|-1
2	100	Item|223|30
2	200	Item|223|25
2	300	Item|223|20
2	500	Item|223|16
2	1000	Item|223|12
2	1500	Item|223|10
2	9999	Item|223|8
