nTaskItemId	szMsg	nTime	nMapTemplateId	nX	nY	szAtlas	szImg
9	上前询问..	0	484	1830	3140		
23	寻找货物..	0	400	3510	11400		
35	寻找杨影枫..	0	400	13800	4750		
37	前往茅屋..	0	400	13600	3100		
39	检查破旧木门...	3	400	3700	8500		
40	寻找纳兰真..	0	400	5700	4500		
42	继续纳兰真..	0	400	4270	8130		
45	探索山洞..	0	499	5400	2250		
46	探索山洞..	0	499	5700	2080		
47	探索山谷..	0	485	1300	3100		
49	探索屋子..	0	481	2910	3300		
50	阅读丝绢..	1	481	2910	3300		
51	继续探索	0	481	1830	3330		
54	找杨影枫	0	1000	2500	8400		
55	找纳兰真..	0	1000	4450	6050		
58	停下查看...	0	401	9000	12000		
64	寻找线索..	0	401	9260	8100		
66	追上杨影枫..	0	401	12020	3100		
68	探查四方..	0	401	8080	3900		
74	休息片刻..	0	401	7050	7140		
76	生起火堆..	3	401	5300	4400		
77	偷偷查看..	1	401	3900	5300		
81	查看周围环境...	0	402	7400	10000		
85	寻找卖药的..	0	402	7900	3440		
88	正在敲门..	3	402	6400	4900		
98	准备回去..	0	402	10400	7400		
99	寻找杨影枫..	0	402	11900	5700		
105	寻找踪迹..	0	483	7400	6530		
109	质问紫轩..	0	402	5410	3600		
113	离开这儿..	0	403	5750	3800		
114	回去找紫轩..	0	403	5000	4400		
115	藏起身形..	0	403	5000	4400		
117	动身前往..	0	403	7700	5300		
118	拆除捕兽夹..	3	403	8200	5180		
121	带蔷薇回家..	0	403	3200	8200		
122	带蔷薇找路..	0	403	6700	8450		
123	拜访孟知秋..	0	403	9000	7900		
125	等杨兄回来..	5	403	6100	7900		
127	回悲魔山庄..	0	403	6300	9650		
129	寻找线索..	0	403	9210	10430		
130	前往飞龙堡..	0	494	2650	3500		
132	和卢肇颢理论..	0	494	6480	6960		
133	质问月眉儿..	0	494	6200	6900		
140	等蔷薇出来..	3	403	10600	7760		
141	询问纳兰真..	0	1000	6420	6700		
142	等待纳兰真	0	1000	2500	6250		
144	去禁地门口..	0	1000	5530	5360		
148	准备回忘忧岛..	0	403	13270	4000		
149	询问紫轩..	0	403	13350	3950		
152	查看踪迹...	1	495	3270	3660		
157	离开禁地...	0	495	6400	6500		
161	去摘星楼...	0	496	5150	9200		
163	摘星楼深处..	0	496	8900	8900		
166	送紫轩回去...	0	496	1700	3700		
172	回藏剑山庄..	0	403	9200	7950		
174	带蔷薇走走..	0	403	6050	7550		
175	回悲魔山庄	0	498	6500	3070		
177	等待纳兰真..	0	498	6820	3180		
178	去接两女..	0	401	9400	7750		
179	回悲魔山庄	0	498	3310	3020		
184	事发之地..	0	404	2100	7000		
188	寻到道路..	0	404	13200	7400		
190	查看洞口..	0	404	14300	4000		
194	前去木匠家..	0	404	7000	8800		
197	查探一番..	0	404	3700	11050		
199	离开这里..	0	404	8550	12000		
201	追回宝玉..	0	404	10850	9650		
213	前往南宫家..	0	405	13400	12450		
215	正在挖掘..	3	405	14900	11100		
220	去找贾老实..	0	405	6300	12700		
229	到一旁等候	3	480	6540	6540		
230	上千询问..	0	480	6610	6560		
234	前往武夷派..	0	488	3300	8500		
238	凤舞九天..	2	489	3000	7050		
244	到张府看看..	0	490	5473	4882		
247	寻找村民..	0	406	7250	6800		
251	帮张林找东西..	0	489	2420	1730		
253	翻找东西..	0	489	6620	3300		
254	查看剑痕..	0	489	6850	2910		
268	寻找樵夫..	0	406	7620	13600		
271	继续前行..	0	493	5250	5870		
255	寻找柴枝..	3	493	6500	6650		
256	生起火堆..	3	493	5920	6520		
278	寻找果树..	0	493	6200	3950		
261	正在烤肉..	3	493	5910	6380		
265	前往华山	0	493	3200	3280		
286	向樵夫道别..	0	493	3480	3790		
294	等待通报..	3	491	2600	4340		
295	询问结果..	0	491	2450	3720		
297	驱赶猴子..	0	491	2780	7900		
298	驱赶猴子..	0	491	3440	7830		
299	打扫华山..	3	491	3190	8680		
303	找少林弟子..	0	406	10420	9450		
306	找果树..	0	406	12000	8500		
322	押送回营	0	408	10820	11170		
323	押送回营	0	408	7900	7480		
328	查看周围..	0	479	1200	850		
332	四周看看..	0	479	6070	2400		
333	保护严将军..	0	479	5400	2150		
334	追上神秘人..	0	479	4900	4730		
354	寻找雪莲姥姥	0	411	14000	11880		
356	正在采集..	2	411	12650	14000		
362		0	411	9540	11150		
364		0	411	10360	13740		
367		0	411	7100	14000		
369		0	411	10100	13930		
374		0	411	7500	8700		
375		0	411	9240	9000		
383		0	411	7200	3650		
385		0	411	5300	4560		
389		0	411	13900	8770		
390		0	411	10800	5600		
395		0	411	12550	7620		
397		0	411	14070	6950		
401		0	411	14000	3360		
402		0	411	13900	3400		
404		0	411	13100	3550		
410		0	411	14300	5200		
414		0	415	9200	7000		
415		0	415	11120	5550		
418		0	415	8500	4650		
426		0	414	9150	9550		
428		0	414	7150	9720		
430		0	414	4470	10500		
431		0	414	5800	9800		
432		0	414	4800	11000		
433		0	414	3330	11110		
434		0	414	2650	12300		
443		0	10	8700	13670		
445		0	10	7680	17800		
448		0	10	12500	18000		
452		0	10	11600	10700		
454		0	475	1500	5600		
456		0	475	3800	5700		
459		0	474	6560	8780		
461		0	474	6300	6900		
462		0	474	6300	8400		
463		0	474	6500	8700		
800		0	801	4950	900		
801		0	801	3750	1000		
802		0	800	3150	5200		
3152		0	482	2666	5666		
3254		0	15	8500	18000		
3255		0	407	12400	5300		
3260	静待片刻...	3	1000	6400	5200		
3272		0	411	8700	6500		
3278	静待片刻...	3	15	15000	11500		
2001	观察反应	0	15	8500	8500		
2002	观察反应	0	15	18700	11200		
2003	观察反应	0	15	6650	16300		
2006		0	472	5100	3500		
2016		0	15	7100	11400		
2023		0	408	3200	14000		
2024	飞鸽传书..	3	408	3200	14000		
2025		0	408	14000	3500		
2026	飞鸽传书..	3	408	14000	3500		
2027		0	408	7750	4750		
2029		0	408	3300	3300		
2030	飞鸽传书..	3	408	3300	3300		
4001	采摘赤心花...	3	1000	7992	6043		
4002	吟诗作赋...	5	404	6056	14452		
4003	登高望雪...	5	405	16349	8072		
4004	沐浴阳光...	5	403	15252	11113		
4005	浴风闲游...	5	401	12174	11227		
4006	漫步赏景...	5	400	13711	4358		
4007	赏叶品秋...	5	402	5652	11491		
4008	燃放烟花...	3	15	10759	4893		
80008	游览中...	5	1000	2251	8234		
80009	游览中...	5	1000	5290	2265		
80010	游览中...	5	401	4352	13508		
80011	游览中...	5	402	12375	8514		
80012	游览中...	5	402	4855	3327		
80013	游览中...	5	402	2211	2899		
80014	游览中...	5	405	16686	8129		
80015	游览中...	5	404	11483	1566		
80016	游览中...	5	403	4546	3428		
80017	游览中...	5	409	11447	12949		
80018	游览中...	5	408	16460	10512		
9001	静静倾听	3	15	8500	8500		
9002	静静倾听	3	15	18700	11200		
9003	静静倾听	3	15	6650	16300		
3502	拜见门派俊杰	3	482	2706	5659		
3509	正在挖掘..	10	403	14180	4041		
