nNpcResId	Name	x	y	z	dx	dy	dz
0	默认	-70	-190	-400	75	-230	-720
1	天王主角	-70	-190	-500	75	-230	-720
2	峨眉主角	-70	-190	-500	40	-180	-720
3	桃花主角	-70	-190	-500	60	-50	-720
4	逍遥主角	-70	-190	-500	60	-200	-720
5	武当主角	-70	-190	-500	60	-200	-720
6	天忍主角	-70	-190	-500	60	-200	-720
9	少林主角	-70	-190	-500	60	-200	-720
10	翠烟主角	-70	-190	-500	60	-140	-720
1001	唐门主角	-70	-190	-500	60	-150	-720
1002	昆仑主角	-70	-190	-500	60	-200	-720
1003	丐帮主角	-70	-190	-500	60	-200	-720
1004	五毒主角	-70	-190	-500	60	-110	-720
1005	藏剑主角	-70	-190	-500	60	-230	-720
1006	长歌主角	-70	-190	-500	60	-200	-720
1007	天山主角-男	-70	-190	-500	60	-200	-720
1008	天山主角-女	-70	-190	-500	60	-140	-720
1009	霸刀主角-男	-70	-190	-500	60	-200	-720
1010	霸刀主角-女	-70	-190	-500	60	-50	-720
1011	武当主角-女	-70	-190	-500	60	-200	-720
1017	天王主角-女	-70	-190	-500	60	-110	-720
1018	段氏主角-男	-70	-190	-500	60	-200	-720
1019	段氏主角-女	-70	-190	-500	60	-140	-720
1020	逍遥主角-女	-70	-190	-500	60	-110	-720
1021	万花主角-男	-70	-190	-500	60	-200	-720
1022	万花主角-女	-70	-190	-500	60	-140	-720
1023	丐帮主角-女	-70	-190	-500	60	-110	-720
11	心魔	-100	-275	-400	50	-260	-720
12	叶无心	-150	-255	-400	0	-230	-720
13	天星道长	-100	-500	-55	50	-400	-500
14	萧动尘	-100	-380	-50	100	-350	-450
15	哲别	-80	-550	50	50	-450	-450
16	玄天道人	-100	-450	-50	60	-400	-450
17	铁面郎君	-100	-480	100	60	-420	-450
19	袁承志	-50	-500	50	80	-450	-500
20	玄天武机	-100	-550	200	115	-520	-100
21	上官飞龙	-50	-450	-50	110	-370	-580
22	胡神医	-50	-300	-150	75	-200	-530
23	艾黎	-130	-430	-50	20	-400	-500
24	神秘人	-150	-430	-50	80	-390	-550
25	鳌拜	-80	-500	50	50	-450	-400
26	九尾狐王	-300	-500	1500	150	-410	500
