TaskIdBegin	TaskIdEnd	ItemTemplateId
2	5	1246
6	7	1251
8	13	1247
14	17	1253
18	20	1248
21	21	1252
22	26	1528
27	33	1249
34	38	1072
39	39	1254
40	46	1250
47	57	1255
58	63	1022
64	73	1042
74	80	1082
81	83	2399
84	86	1052
87	93	1102
94	103	1062
104	109	1112
110	112	1613
113	120	1365
121	128	1073
129	142	1258
143	162	1033
163	171	1093
172	177	212
178	188	1043
189	194	1083
195	200	1053
201	209	212
210	217	1103
218	231	1063
232	234	1113
235	239	222
240	247	1969
248	254	222
255	265	1968
266	271	222
272	276	1104
277	281	222
282	288	1114
289	293	223
294	297	1969
298	306	223
307	318	1968
319	325	223
326	335	2167
336	342	223
343	352	764
353	360	223
361	366	1969
367	373	223
374	379	1968
380	388	223
389	393	2167
399	400	223
401	409	788
