nShowId	nNpcId	nMapTemplateId	nX	nY	nDir	Trap	bIsTaskNpc	bIsFollow	szStartFunc	szStartParam	Desc	Map
1	413	1000	6520	5250	61		1				纳兰真-任务	新手村
2	418	1000	6520	5250	61						纳兰真-表现	新手村
3	414	1000	8300	5900	46		1				殷方-任务	新手村
4	578	1000	8300	5900	46						殷方-表现	新手村
5	1277	484	1860	3360	1						重伤的杨影枫-表现	忘忧小屋
6	1382	400	7860	8080	32						殷方-移动	锁云渊
7	416	1000	8670	5150	51		1				纳兰潜凛-任务	新手村
8	954	1000	8670	5150	51						纳兰潜凛-表现	新手村
9	413	1000	3500	6100	53		1				纳兰真-任务	新手村
10	1080	1000	6520	6520	53			1			纳兰真-跟随	新手村
11	1340	1000	8080	3210	47		1				殷童-任务	新手村
12	1341	1000	8080	3210	47						殷童-表现	新手村
13	413	1000	4900	6050	43		1				纳兰真-任务	新手村
14	418	1000	4900	6050	43						纳兰真-表现	新手村
15	1382	400	7860	8080				1			殷方-跟随	锁云渊
16	1381	400	4900	10000					MoveAndDelete	syy_wjc1	万金财-移动	锁云渊
17	730	484	1610	3080	21		1				杨影枫-任务	锁云渊小屋
18	731	484	1610	3080	21						杨影枫-表现	锁云渊小屋
19	720	400	8060	8100	32		1				纳兰真-任务	锁云渊
20	724	400	8060	8100	32			1			纳兰真-跟随	锁云渊
21	1106	403	5250	4300	22				Move	dth_zx1	紫轩-移动	洞庭湖
22	1107	403	4950	5100	46				Move	dth_yme1	月眉儿-移动	洞庭湖
23	1081	400	13570	4300	36			1			杨影枫-跟随	锁云渊
24	578	400	7860	8080	34						小李子-表现	锁云渊
25	730	400	13570	4300	36		1				杨影枫-任务	锁云渊
26	731	400	13570	4300	36						杨影枫-表现	锁云渊
27	725	400	13890	5080	32				Move	syy_nlz1	纳兰真-移动	锁云渊
28	721	400	13720	4770	32						纳兰真-表现	锁云渊
29	730	400	8060	8100	32		1				杨影枫-任务	锁云渊
30	1343	400	8060	8100	32				MoveAndDelete	syy_yyf1	杨影枫-移动	锁云渊
31	1379	400	4900	10000			1				万金财-任务	锁云渊
32	1380	400	4900	10000							万金财-表现	锁云渊
33	1003	401	8050	10250	39		1				杨影枫-任务	武夷山
34	1004	401	8050	10250	39						杨影枫-表现	武夷山
35	1003	401	12400	11450	39		1				杨影枫-任务	武夷山
36	1004	401	12400	11450	39						杨影枫-表现	武夷山
37	1626	401	11820	11350	39		1				月眉儿-任务	武夷山
38	1628	401	11820	11350	14				MoveAndDelete	wys_yme1	月眉儿-移动	武夷山
39	1003	401	12400	3030	52		1				杨影枫-任务	武夷山
40	1004	401	12400	3030	52						杨影枫-表现	武夷山
41	1266	400	13000	7000	49						衣服-表现	锁云渊
42	1100	498	7000	3100	49		1				纳兰真-任务	悲魔山庄
43	1003	401	5300	4800	35		1				杨影枫-任务	武夷山
44	1004	401	5300	4800	35						杨影枫-表现	武夷山
45	1058	401	5300	4510	39						篝火-表现	武夷山
46	1081	401	5300	4800	36			1			杨影枫-跟随	武夷山
47	1097	401	5470	4680	50						月眉儿-表现	武夷山
48	1083	401	5470	4680	50			1			月眉儿-跟随	武夷山
49	1005	402	7160	5100	39		1				月眉儿-任务	雁荡山
50	1107	402	7160	5120	15				MoveAndDelete	yds_yme1	月眉儿-移动	雁荡山
51	1049	402	6840	5120	15		1				杨影枫-任务	雁荡山
52	1050	402	6840	5120	15						杨影枫-表现	雁荡山
53	1343	1000	8360	5150	15				MoveAndDelete	wyd_yyf3	杨影枫-移动	新手村
54	1079	402	6840	5120	15			1			杨影枫-跟随	雁荡山
55	1049	402	10780	3410	16		1				杨影枫-任务	雁荡山
56	1050	402	10780	3410	16						杨影枫-表现	雁荡山
57	1049	402	2800	2800	16		1				杨影枫-任务	雁荡山
58	1050	402	2800	2800	16						杨影枫-表现	雁荡山
59	1069	483	7780	6410	3						卓非凡-表现	藏剑山庄
60	1071	483	7760	6700	32						紫轩-表现	藏剑山庄
61	1091	403	5250	4300	36		1				紫轩-任务	洞庭湖
62	1092	403	5250	4300	36						紫轩-表现	洞庭湖
63	1343	401	9200	11800	17				MoveAndDelete	wys_yyf1	杨影枫-移动	武夷山
64	1343	401	8900	6900	36				MoveAndDelete	wys_yyf2	杨影枫-移动	武夷山
65	1080	1000	6520	5250	24			1			纳兰真-跟随	新手村
66	1081	1000	6520	5250	36			1			杨影枫-跟随	新手村
67	1082	401	12400	11450	39			1			杨影枫-跟随	武夷山
68	1082	401	11200	5000	39			1			杨影枫-跟随	武夷山
69	1082	401	7450	1930	3			1			杨影枫-跟随	武夷山
70	1094	403	8130	4400				1			杨影枫-跟随	洞庭湖
71	1093	403	8130	4400			1				杨影枫-任务	洞庭湖
72	1095	403	8130	4400							杨影枫-表现	洞庭湖
73	1093	403	6250	5700	2		1				杨影枫-任务	洞庭湖
74	1095	403	6250	5700	2						杨影枫-表现	洞庭湖
75	1093	403	9150	8150			1				杨影枫-任务	洞庭湖
76	1281	403	11330	7800	44				Move	dth_qw2	蔷薇-移动	洞庭湖
77	1098	403	5850	7710	57		1				蔷薇-任务	洞庭湖
78	1108	403	5850	7710	57			1			蔷薇-跟随	洞庭湖
79	1098	403	10100	8050	29		1				蔷薇-任务	洞庭湖
80	1108	403	10100	8050	29			1			蔷薇-跟随	洞庭湖
