nFlowType	szQuestion	nAnswerIdx	szAnswer1	szAnswer2	szAnswer3	szAnswer4
1	1）林愈旧和无名的关系是？	3	雇佣关系	同父异母	师兄弟	师徒
1	2）掌门为什么要留下林愈旧？	2	招上门女婿	留他做帮手	想收他为徒	觉得他像自己儿子
1	3）林愈旧上华山的目的是？	4	报仇	报恩	找情缘	以上都对
2	1）独孤雪回忆中的小哥哥是谁？	3	隐姓埋名的林愈旧	黑化前的无名	以上都对	
2	2）独孤雪和独孤掌门的关系是？	2	师徒 	父女 	杀父仇人	母子
2	3）谁会浮屠剑法第三层？	4	无名	独孤掌门	林愈旧	以上都对
3	1）无名为什么要杀师父？	2	报复师父多年虐待	师傅设计求死	小姐姐指使的	无名天生冷血
3	2）无名为什么要毁容？	3	长得太像李宗佑	长得太帅不像杀手	蒙蔽仇人	有自残倾向
3	3）无名与李宗佑是什么关系？	3	师徒 	父子	仇人	恩人
4	1）独孤雪的亲生父亲是谁？	2	独孤影  	李宗佑 	独孤绝（老掌门）	无名
4	2）独孤家还活着的人有谁？	4	独孤影和独孤雪	独孤雪和独孤绝	独孤雪	没有人
4	3）无名是谁的传人？	1	独孤绝	独孤影	李宗佑	林愈旧
