nId	nFaction	szTitle	nAnswerId	szA1	szA2	szA3	szA4
1	1	[FFFE0D] 天王 [-]是什么五行属性的门派	1	金	木	水	火
1	2	[FFFE0D] 峨嵋 [-]是什么五行属性的门派	2	木	水	火	土
1	3	[FFFE0D] 桃花 [-]是什么五行属性的门派	4	金	木	水	火
1	4	[FFFE0D] 逍遥 [-]是什么五行属性的门派	2	金	木	水	火
1	5	[FFFE0D] 武当 [-]是什么五行属性的门派	4	木	水	火	土
1	6	[FFFE0D] 天忍 [-]是什么五行属性的门派	4	金	木	水	火
1	7	[FFFE0D] 少林 [-]是什么五行属性的门派	1	金	木	水	火
1	8	[FFFE0D] 翠烟 [-]是什么五行属性的门派	2	木	水	火	土
1	9	[FFFE0D] 唐门 [-]是什么五行属性的门派	2	金	木	水	火
1	10	[FFFE0D] 昆仑 [-]是什么五行属性的门派	4	木	水	火	土
1	11	[FFFE0D] 丐帮 [-]是什么五行属性的门派	4	金	木	水	火
1	12	[FFFE0D] 五毒 [-]是什么五行属性的门派	2	金	木	水	火
1	13	[FFFE0D] 藏剑 [-]是什么五行属性的门派	1	金	木	水	火
1	14	[FFFE0D] 长歌 [-]是什么五行属性的门派	4	木	水	火	土
1	15	[FFFE0D] 天山 [-]是什么五行属性的门派	2	木	水	火	土
1	16	[FFFE0D] 霸刀 [-]是什么五行属性的门派	1	金	木	水	火
1	17	[FFFE0D] 华山 [-]是什么五行属性的门派	2	金	木	水	火
1	18	[FFFE0D] 明教 [-]是什么五行属性的门派	4	金	木	水	火
1	19	[FFFE0D] 段氏 [-]是什么五行属性的门派	2	木	水	火	土
1	20	[FFFE0D] 万花 [-]是什么五行属性的门派	4	木	水	火	土
1	21	[FFFE0D] 杨门 [-]是什么五行属性的门派	1	金	木	水	火
2	1	[FFFE0D] 金系克制 [-]哪一系的属性	1	木	水	火	土
2	2	[FFFE0D] 水系克制 [-]哪一系的属性	3	金	木	火	土
2	3	[FFFE0D] 火系克制 [-]哪一系的属性	1	金	木	水	土
