nQuestionId	szQuestion	nAnswerId	szA1	szA2	szA3	szA4
1	先秦时代，教育内容以“六艺”为主，下列不属于“六艺”的是	4	射	御	礼	武
2	科举制在中国影响深远，其中殿试录取者被称为	3	大元	解元	进士	榜眼
3	“生当做人杰，死亦为鬼雄，至今思项羽，不肯过江东。”为哪位诗人的作品？	4	李白	杜甫	李商隐	李清照
4	“豆蔻”是指女子多少岁？	1	13	15	18	20
5	中国的书院制度自唐代始，有官方和私人设置的两类，下列各书院属于官方创办的是	3	岳麓书院	嵩阳书院	集贤书院	白鹿洞书院
6	被鲁迅先生称为“史家之绝唱，无韵之离骚”的是	1	史记	汉书	三国志	资治通鉴
7	我国是世界上最早发明丝织品的国家，养蚕绸丝开始于	4	北京人	半坡人	河姆渡人	大汶口文化中晚期
8	当代史学家郭沫若说：“政启开元，治宏贞观。”此为赞扬哪位统治者？	2	唐高宗	武则天	李世明	唐玄宗
9	“物镜天择，适者生存”的观点出自下列哪部著作？	4	《权戒论》	《法意》	《原富》	《天演论》
10	第一次把牛顿力学三大定律介绍到中国的科学家是	3	詹天佑	徐寿	李善兰	华蘅芳
11	“五岳”中的南岳指	1	衡山	恒山	泰山	华山
12	我国最早的字典是	1	《说文解字》	《康熙字典》	《辞海》	《尔雅》
13	不是《诗经》分类方法的是	3	风	雅	赋	颂
14	“沧海桑田”的沧海应是	1	东海	南海	北海	黄海
15	“冬天到了，春天还会远吗”语出	2	席勒	雪莱	歌德	徐志摩
16	“祸起萧墙”的“萧墙”是家中的哪一堵墙？	1	门墙	后院墙	东墙	内隔墙
17	我国古代项羽“破釜沉舟”战胜秦军是在哪次战役？	2	牧野之战	巨鹿之战	官渡之战	昆阳之战
18	下列哪次古代著名战役确立了三国鼎立局面？	2	官渡之战	赤壁之战	长平之战	夷陵之战
19	史书《汉书》是哪位史学家所著？	4	司马迁	司马光	左丘明	班固
20	我国古代“十恶不赦”中的首恶是	4	不义	内乱	不道	谋反
21	甲骨文是属于哪一类文字？	3	表意文字	表音文字	象形文字	楔形文字
22	下列古书中哪部不属于“四书”之一	2	《大学》	《春秋》	《中庸》	《论语》
23	我国第一部纪传体通史是	3	《汉书》	《后汉书》	《史记》	《春秋》
24	我国最早的一部医学理论著作是	2	《本草纲目》	《黄帝内经》	《千金方》	《伤寒杂病论》
25	古人对“幼年的儿童”的代称是	3	成童	束发	总角	及笄
26	下列哪位人物不是意大利文艺复兴三杰之一？	1	但丁	达芬奇	拉斐尔	米开朗琪罗
27	“香山居士”是我国古代哪位文学家的别称？	3	李白	杜甫	白居易	王维
28	《红楼梦》中的“蘅芜苑”是哪位书中主要人物的住所？	1	薛宝钗	林黛玉	贾探春	贾迎春
29	在苏州大型园林中具有代表性的园林是 	4	拙政园	网师园	怡园	留园
30	“变脸”是哪个剧种的绝活？	3	京剧	豫剧	川剧	莆仙戏
31	下列词语均出自《诗经》，那个不适用于婚姻方面？	1	与子同袍	之子与归	宜其室家	其叶榛榛
32	对联“一室茶香琴韵”的下联为	4	三山六水为朋	七星光耀苍穹	万里同风鹏程	半窗明月梅花
33	传说中为日神驾车的是	1	望舒	素娥	羲和	丰隆
34	诗句“曾经沧海难为水，除却巫山不是云。”的作者是	2	李商隐	元稹	白居易	杜甫
35	“扑朔迷离”一词出自	4	《左传》	《国语》	《战国策》	《木兰辞》
36	李煜词“流水落花春去也，天上人间。”出自	1	《浪淘沙》	《乌夜啼》	《破阵子》	《临江仙》
37	“竹林七贤”是魏晋时期的七位名士的合称，其中被称为“酒仙”的是	1	刘伶	山涛	阮籍	王戎
