nTaskId	nTaskType	nRelation
70001	1	
70002	2	1
70003	2	2
70004	2	3
70005	2	4
70006	2	5
70007	2	6
70008	2	1
70009	2	2
70010	2	3
70011	2	4
70012	2	5
70013	2	6
70014	2	1
70015	2	2
70016	2	3
70017	2	4
70018	2	5
70019	2	6
70020	2	1
70021	2	2
70022	2	3
70023	2	4
70024	2	5
70025	2	6
70026	2	1
70027	2	2
70028	2	3
70029	2	4
70030	2	5
70031	2	6
70032	2	1
70033	2	2
70034	2	3
70035	2	4
70036	2	5
70037	2	6
70038	2	1
70039	2	2
70040	2	3
70041	2	4
70042	2	5
70043	2	6
70044	3	1
70045	3	2
70046	4	1
70047	4	2
70048	4	3
70049	4	4
70050	4	5
70051	4	6
70052	4	1
70053	4	2
70054	4	3
70055	4	4
70056	4	5
70057	4	6
70058	4	1
70059	4	2
70060	4	3
70061	4	4
70062	4	5
70063	4	6
70064	4	1
70065	4	2
70066	4	3
70067	4	4
70068	4	5
70069	4	6
70070	4	1
70071	4	2
70072	4	3
70073	4	4
70074	4	5
70075	4	6
70076	4	1
70077	4	2
70078	4	3
70079	4	4
70080	4	5
70081	4	6
70082	5	1
70083	5	2
70084	5	3
70085	5	4
70086	5	5
70087	5	6
70088	6	1
70089	6	2
70090	6	3
70091	6	4
70092	6	5
70093	6	6
