nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szDoNextFunc	szFinishTrackInfo	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	Target_Achievement	Target_KillNpc	bNotAutoNext	bKillNpcToAllPlayer	bAutoFinish	Target_ExtPoint	szAwardInfo	nTaskType	bShowFinish	nNeedConfirmFinish	Target_ExtInfo	nTaskItemId	szOnFinishTrack	Target_EnterMap	Target_CollectItem	nAcceptTaskNpcId	Target_MinLevel	Require_MinLevel	Require_MaxLevel	bCanRepeat	nAcceptDialogId	IsFinishGuide
70001	ZhenFaTask1_1	[常]阵法试炼	前往[FFFE0D]独孤剑前辈[-]处接受考验，开启今日阵法试炼	前往[FFFE0D]独孤剑前辈[-]处接受考验	前往[FFFE0D]独孤剑前辈[-]处接受考验	[url=npc:testtt,88,15]	OnZhenFaTaskDoNext					88						1	1		6												1		
70002	ZhenFaTask2_1	[常]阵法试炼	为你的[FFFE0D]情缘$ZFT[-]采摘一支[FFFE0D]赤心花[-]	为[FFFE0D]情缘$ZFT[-]采摘[FFFE0D]赤心花[-]	为[FFFE0D]情缘$ZFT[-]采摘[FFFE0D]赤心花[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70003	ZhenFaTask2_2	[常]阵法试炼	为你的[FFFE0D]侠侣$ZFT[-]采摘一支[FFFE0D]赤心花[-]	为[FFFE0D]侠侣$ZFT[-]采摘[FFFE0D]赤心花[-]	为[FFFE0D]侠侣$ZFT[-]采摘[FFFE0D]赤心花[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70004	ZhenFaTask2_3	[常]阵法试炼	为你的[FFFE0D]师傅$ZFT[-]采摘一支[FFFE0D]赤心花[-]	为[FFFE0D]师傅$ZFT[-]采摘[FFFE0D]赤心花[-]	为[FFFE0D]师傅$ZFT[-]采摘[FFFE0D]赤心花[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70005	ZhenFaTask2_4	[常]阵法试炼	为你的[FFFE0D]徒弟$ZFT[-]采摘一支[FFFE0D]赤心花[-]	为[FFFE0D]徒弟$ZFT[-]采摘[FFFE0D]赤心花[-]	为[FFFE0D]徒弟$ZFT[-]采摘[FFFE0D]赤心花[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70006	ZhenFaTask2_5	[常]阵法试炼	为你的[FFFE0D]结拜$ZFT[-]采摘一支[FFFE0D]赤心花[-]	为[FFFE0D]结拜$ZFT[-]采摘[FFFE0D]赤心花[-]	为[FFFE0D]结拜$ZFT[-]采摘[FFFE0D]赤心花[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70007	ZhenFaTask2_6	[常]阵法试炼	为你的[FFFE0D]好友$ZFT[-]采摘一支[FFFE0D]赤心花[-]	为[FFFE0D]好友$ZFT[-]采摘[FFFE0D]赤心花[-]	为[FFFE0D]好友$ZFT[-]采摘[FFFE0D]赤心花[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70008	ZhenFaTask2_7	[常]阵法试炼	携你的[FFFE0D]情缘$ZFT[-]在苗岭叶亭前[FFFE0D]吟诗一首[-]	携[FFFE0D]情缘$ZFT[-]吟诗一首	携[FFFE0D]情缘$ZFT[-]吟诗一首	[url=taskitem:test, $T]												1	1		6				4002								1		
70009	ZhenFaTask2_8	[常]阵法试炼	携你的[FFFE0D]侠侣$ZFT[-]在苗岭叶亭前[FFFE0D]吟诗一首[-]	携[FFFE0D]侠侣$ZFT[-]吟诗一首	携[FFFE0D]侠侣$ZFT[-]吟诗一首	[url=taskitem:test, $T]												1	1		6				4002								1		
70010	ZhenFaTask2_9	[常]阵法试炼	携你的[FFFE0D]师傅$ZFT[-]在苗岭叶亭前[FFFE0D]吟诗一首[-]	携[FFFE0D]师傅$ZFT[-]吟诗一首	携[FFFE0D]师傅$ZFT[-]吟诗一首	[url=taskitem:test, $T]												1	1		6				4002								1		
70011	ZhenFaTask2_10	[常]阵法试炼	携你的[FFFE0D]徒弟$ZFT[-]在苗岭叶亭前[FFFE0D]吟诗一首[-]	携[FFFE0D]徒弟$ZFT[-]吟诗一首	携[FFFE0D]徒弟$ZFT[-]吟诗一首	[url=taskitem:test, $T]												1	1		6				4002								1		
70012	ZhenFaTask2_11	[常]阵法试炼	携你的[FFFE0D]结拜$ZFT[-]在苗岭叶亭前[FFFE0D]吟诗一首[-]	携[FFFE0D]结拜$ZFT[-]吟诗一首	携[FFFE0D]结拜$ZFT[-]吟诗一首	[url=taskitem:test, $T]												1	1		6				4002								1		
70013	ZhenFaTask2_12	[常]阵法试炼	携你的[FFFE0D]好友$ZFT[-]在苗岭叶亭前[FFFE0D]吟诗一首[-]	携[FFFE0D]好友$ZFT[-]吟诗一首	携[FFFE0D]好友$ZFT[-]吟诗一首	[url=taskitem:test, $T]												1	1		6				4002								1		
70014	ZhenFaTask2_13	[常]阵法试炼	与你的[FFFE0D]情缘$ZFT[-]一同到点苍山[FFFE0D]登高望雪[-]	与[FFFE0D]情缘$ZFT[-]登高望雪	与[FFFE0D]情缘$ZFT[-]登高望雪	[url=taskitem:test, $T]												1	1		6				4003								1		
70015	ZhenFaTask2_14	[常]阵法试炼	与你的[FFFE0D]侠侣$ZFT[-]一同到点苍山[FFFE0D]登高望雪[-]	与[FFFE0D]侠侣$ZFT[-]登高望雪	与[FFFE0D]侠侣$ZFT[-]登高望雪	[url=taskitem:test, $T]												1	1		6				4003								1		
70016	ZhenFaTask2_15	[常]阵法试炼	与你的[FFFE0D]师傅$ZFT[-]一同到点苍山[FFFE0D]登高望雪[-]	与[FFFE0D]师傅$ZFT[-]登高望雪	与[FFFE0D]师傅$ZFT[-]登高望雪	[url=taskitem:test, $T]												1	1		6				4003								1		
