nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat	szAchievement
1	MainTask1_1	[主]红尘如梦	不行！我一定要想办法……可恶！身体不听使唤了……	好像做了一个很长很长的梦	好像做了一个很长很长的梦	[url=pos:test,1000,1736,4253]	[url=pos:test,1000,1736,4253]				2				1								1	1					1000				413				
2	MainTask1_2	[主]梦醒时分	咦？这是哪里？我仿佛已睡了好久好久，做了一个好长好长的梦，全身都没有力气……奇怪，怎地全身都没有力气，莫非是睡得太久了？那位姑娘是谁？长得如此之美，莫非是仙境中的仙女不成？等等，她在呼唤我，也许她会告诉我事情的始末。	怎么回事？这位[FFFE0D]姑娘[-]是？	怎么回事？这位[FFFE0D]姑娘[-]是？	[url=clientnpcbyidx:test, 1]	[url=clientnpcbyidx:test, 1]	1|4	1|4	1	3	2								Exp|8000000;Item|1183|1;Item|1123|1			1	1													
3	MainTask1_3	[主]活泼少年	我水性不佳，能侥幸捡回一命已是颇为不易，幸亏有这位小方兄生性活泼，偶然发现了我，不然说不定我可真要死无葬身之地了！得赶紧去道谢！	向[FFFE0D]小殷方[-]道谢	向[FFFE0D]小殷方[-]道谢	[url=clientnpcbyidx:test, 3]	[url=clientnpcbyidx:test, 3]	2|3	3	2	4	3								Exp|4000			1	1													
4	MainTask1_4	[主]忘忧岛主	这座小岛的主人不知道会是何许人物，去见见他！	前去拜见[FFFE0D]忘忧岛主[-]	前去拜见[FFFE0D]忘忧岛主[-]	[url=clientnpcbyidx:test, 7]	[url=clientnpcbyidx:test, 7]	2|4|7	2|4|7	3	5	4								Exp|4000			1	1													
5	MainTask1_5	[主]再次道谢	想不到这次虽然保全了性命，却受了如此严重的伤，所幸大难不死，可恨！也不知道和我一同前去的同门师兄师姐和卓大哥如今怎样了，唉，罢了罢了，如今也轮不到我来担心，还是先去向纳兰姑娘道谢吧。	回去见见[FFFE0D]纳兰姑娘[-]	回去见见[FFFE0D]纳兰姑娘[-]	[url=clientnpcbyidx:test, 1]	[url=clientnpcbyidx:test, 1]	1|4|8	1	4	6	5						1	1	Exp|4000;Item|1246|1			1	1													
6	MainTask1_6	[主]小试身手	这位纳兰姑娘淳朴善良，着实是一位好姑娘，嗯，如今我的内伤已经恢复得差不多了，也该找个地方试试身手了，纳兰姑娘说这附近有座雪峰，便去那儿看看吧！	去[FFFE0D]$NP[-]活动筋骨	去[FFFE0D]$NP[-]活动筋骨	[url=gotofuben:test, 1, 1, 1]		2|4|8	2	5	7			1|1|1	1			1		Exp|30000			1	1													
7	MainTask1_7	[主]知己好友	想不到参与那场大战的同门师兄师姐竟然逝去大半……武林中的精英折损如此之多，不知接下来有何打算？对了，还有卓大哥，不知他如今身在何方，是否安全，能找到他就好了，或许他知道详细情况。	告诉[FFFE0D]纳兰姑娘[-]途中所见	告诉[FFFE0D]纳兰姑娘[-]途中所见	[url=clientnpcbyidx:test, 1]	[url=clientnpcbyidx:test, 1]	1|4|8	1|8	6	8	7						1	1	Exp|4000;Item|1251|1			1	1													
8	MainTask1_8	[主]翩翩青年	这座忘忧岛此前从未听过，想不到风景如此秀丽，称之为世外桃源亦不为过，纳兰姑娘更是钟天地之灵秀，让人心生安定，不知道这座岛的主人，纳兰姑娘的父亲会是一个怎样的人。	和纳兰真一起到[FFFE0D]屋中[-]	和纳兰真一起到[FFFE0D]屋中[-]	[url=pos:test,1000,4700,6450]	[url=pos:test,1000,4700,6450]	4|5|10	10	7	9	8			1					Exp|4000			1	1	[url=dialog:test, 8]				484								
9	MainTask1_9	[主]同病相怜	纳兰岛主性格沉稳，只是感觉有些难以接近，似乎有种不怒自威的感觉，倒是想一派宗师，不知道他是不是武学大家。对了，方才纳兰姑娘朝我使了个眼色，也不知道意欲何为，先过去看看她想对我说些什么。	到[FFFE0D]床边[-]看看受伤的杨影枫	到[FFFE0D]床边[-]看看受伤的杨影枫	[url=taskitem:test, $T]	[url=taskitem:test, $T]	4|5|8|203	203	8	10	9			1	1	9			Exp|4000			1	1	[url=dialog:test, 9]												
10	MainTask1_10	[主]欲言又止	方才纳兰姑娘对我使了个眼色，似乎是让我出去？	先[FFFE0D]离开[-]屋子	先[FFFE0D]离开[-]屋子	[url=pos:test,484,2700,2260]	[url=pos:test,484,2700,2260]	4|5|8|9|204	5|204	9	11				1					Exp|4000			1	1	[url=clientnpcbyidx:test, 9]				1000								
