nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	Target_Achievement	Target_KillNpc	bNotAutoNext	bKillNpcToAllPlayer	bAutoFinish	Target_ExtPoint	szAwardInfo	nTaskType	bShowFinish	nNeedConfirmFinish	Target_ExtInfo	nTaskItemId	szOnFinishTrack	Target_EnterMap	Target_CollectItem	nAcceptTaskNpcId	Target_MinLevel	Require_MinLevel	Require_MaxLevel	bCanRepeat	nAcceptDialogId	IsFinishGuide	DeleteClientNpc	ShowClientNpc	Target_OnTrap
3001	PedagogicalTask1_2	[支]鉴定	装备开始都是[FFFE0D]未鉴定状态[-]，需要[FFFE0D]花费一定银两[-]进行鉴定，才能够穿戴！也许下一件就是极品装备哦！	鉴定一件[FFFE0D]装备[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, ItemBox]	[url=npc:testtt,$F,15]		3002						1		1		Exp|10000	2			JianDing														
3002	PedagogicalTask1_3	[支]洗练	洗练能够将[FFFE0D]同部位装备[-]的[FFFE0D]强力属性转移[-]到[FFFE0D]穿戴的装备[-]上，大幅度提升装备的能力！	给装备洗练一条[FFFE0D]属性[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, ItemBox]	[url=npc:testtt,$F,15]	3001		3002	626		EquipRefinement_1|1		1				Exp|10000;Gold|50	2	1	1															
3004	PedagogicalTask1_4	[支]家族	如今江湖纷乱，侠士若是没有家族可是寸步难行哦，若是[FFFE0D] 不打算创建家族 [-]或是[FFFE0D] 没有心仪的家族 [-]，不妨试试[FFFE0D] 一键申请 [-]哦！	[FFFE0D]加入或创建[-]一个家族	[FFFE0D]加入或创建[-]一个家族	[url=openwnd:test, KinJoinPanel, 1]	[url=npc:testtt,$F,15]		3005				Family_1|1		1		1		Exp|20000	2																	
3005	PedagogicalTask1_5	[支]家族捐献	家族最重要的除了兄弟姐妹之间的情谊，就是家族[FFFE0D] 贡献 [-]了，[FFFE0D] 贡献 [-]可以在家族[FFFE0D] 天工坊、兵甲坊 [-]等等建筑购买所需的物资，而捐献则是性价比最高的贡献获取途径之一！快来试试捐献吧！	打开[FFFE0D]金库[-]进行一次[FFFE0D]捐献[-]	打开[FFFE0D]金库[-]进行一次[FFFE0D]捐献[-]	[url=openwnd:test, KinVaultPanel, "FamilyBuilding", 1]	[url=npc:testtt,$F,15]	3004	3006				FamilyContribute_1|1		1		1		Exp|10000	2																	
3006	PedagogicalTask1_6	[支]家族礼盒	通过参与[FFFE0D] 家族活动 [-]以及进行[FFFE0D] 家族捐献 [-]都能够获得[FFFE0D] 贡献 [-]，每天有若干次在[FFFE0D] 金库 [-]购买[FFFE0D] 家族礼盒 [-]的机会，奖励非常丰富！千万不要忘记哦！	打开[FFFE0D]金库[-]兑换一个[FFFE0D]礼盒[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, KinVaultPanel, "FamilyBuilding", 1]	[url=npc:testtt,$F,15]	3005		3006	627		Family_3|1		1				Exp|10000;Item|212|10	2	1	1															
3007	PedagogicalTask1_7	[支]家族烤火	每日晚上的[FFFE0D] 19：15 [-]将会在家族开启烤火！只要来参与的家族成员都将获得[FFFE0D] 经验奖励 [-]哦！烤火期间更有[FFFE0D] 趣味答题 [-]，可以获得很多奖励哦！	参与一次[FFFE0D]家族烤火[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 18]	[url=npc:testtt,$F,15]			3007	627		Family_5|1		1				Exp|80000;Gold|50	2	1	1															
3008	PedagogicalTask1_8	[支]了解强化	侠士若想名扬江湖，那么提升装备的属性就变得异常重要！侠士玩家只需花费一定数量的[FFFE0D]水晶和银两[-]就能够提升装备的能力，神器在手问鼎江湖指日可待！	找[FFFE0D]$NF[-]了解强化	找[FFFE0D]$NF[-]了解强化	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]		3009	3008	626				1				Item|212|1	2	1																
3009	PedagogicalTask1_9	[支]强化	侠士若想名扬江湖，那么提升装备的属性就变得异常重要！侠士玩家只需花费一定数量的[FFFE0D]水晶和银两[-]就能够提升装备的能力，神器在手问鼎江湖指日可待！	强化一次[FFFE0D]装备[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, StrengthenPanel, "Strengthen"]	[url=npc:testtt,$F,15]	3008		3009	626		EnhanceOnce_1|1		1				Exp|40000;Item|212|10	2	1	1															
3010	PedagogicalTask1_10	[支]山贼秘窟	讨伐无恶不作的[FFFE0D]山贼[-]，维护武林秩序，既简单又轻松，是不可错过的活动哦！	参与一次[FFFE0D]山贼秘窟[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 21]	[url=npc:testtt,$F,15]			3010	97				1				Exp|40000;Contrib|500	2	1	1	ShanZeiMiKu														
3011	PedagogicalTask1_11	[支]商城	商城乃是天下宝物的聚集地，其中的东西只能够通过元宝购买，快去看看有没有什么需要的东西吧！	前往商城购买[FFFE0D]任意物品[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CommonShop, Treasure, 1, 1242]	[url=npc:testtt,$F,15]			3011	632				1				Exp|40000;Gold|50	2	1	1	ShangCheng														
3012	PedagogicalTask1_12	[支]组队秘境	与武林中志同道合的侠士[FFFE0D] 结成队伍 [-]，一同挑战强力的敌人，更有机会获得[FFFE0D] 丰厚的奖励 [-]。	参与一次[FFFE0D]组队秘境[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, TeamFubenPanel]	[url=npc:testtt,$F,15]			3012	629		TeamFuben_1|1		1				Exp|40000;Coin|5000	2	1	1															
3013	PedagogicalTask1_13	[支]武神殿	[FFFE0D]携带四名同伴[-]进行战斗，通过挑战榜单上的其他侠士来提升自己的排名，[FFFE0D]排名[-]越高奖励越高！	进行一次武神殿[FFFE0D]挑战[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, RankPanel, 1, 9]	[url=npc:testtt,$F,15]			3013	633		RankBattle_1|1		1				Exp|40000;Item|212|10	2	1	1															
3014	PedagogicalTask1_14	[支]元宝招募	要拜访一些隐士的侠客，需要不少的盘缠，通过元宝可以招募到一些隐世的武林高手出山，帮助你征战江湖！	进行一次[FFFE0D]元宝招募[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, Partner, "CardPickingPanel"]	[url=npc:testtt,$F,15]		3015						1		1		Exp|20000;Item|1969|1	2			YuanBaoZhaoMu														
3015	PedagogicalTask1_15	[支]提升资质	同伴的资质可以通过服用丹药提升，提升资质将提升同伴的基础属性，而且会将服用丹药前的基础属性都补回哦！	同伴提升一次[FFFE0D]资质[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, Partner]	[url=npc:testtt,$F,15]	3014		3015	622				1				Exp|20000;Item|1968|1	2	1	1	TiShengZiZhi														
3016	PedagogicalTask1_16	[支]同伴技能	同伴乃是行走江湖的好帮手，他们也能够修习一些武功招式，只需要将对应的同伴技能书学习即可，每本技能书只能给[FFFE0D]一位同伴[-]学习，学习后同伴技能书将消失。	找[FFFE0D]$NF[-]了解同伴	找[FFFE0D]$NF[-]了解同伴	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			3016	622				1				Item|1971|1	2	1	1															
3017	PedagogicalTask1_17	[支]同伴技能书	同伴乃是行走江湖的好帮手，他们也能够修习一些武功招式，只需要将对应的同伴技能书学习即可，每本技能书只能给[FFFE0D]一位同伴[-]学习，学习后同伴技能书将消失。	给同伴学习一本[FFFE0D]技能书[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, Partner, "PartnerMainPanel", "PId=0;EP=LearnSkill;"]	[url=npc:testtt,$F,15]			3017	622				1				Exp|20000;Gold|50	2	1	1	TongBanDaShu														
3018	PedagogicalTask1_18	[支]头衔	「头衔」是江湖侠士能力的综合评判标准，除了拉风的名前标识，还能获得强大的属性！武林中那些人人敬仰的大侠，均是先从获得一个「头衔」开始的！去获取属于自己的头衔吧！	获得一个[FFFE0D]头衔[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, HonorLevelPanel, 1]	[url=npc:testtt,$F,15]			3018	88		HonorLevel_1|1		1				Exp|40000	2	1	1															
3019	PedagogicalTask1_19	[支]宝藏探索	武林中有许多不为人知的宝藏，在闯荡江湖的过程中可能会遇见意外惊喜哦！	进行一次[FFFE0D]宝藏探索[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 8]	[url=npc:testtt,$F,15]			3019	625		SearchFuben_1|1		1				Exp|40000;Item|212|10	2	1	1															
3020	PedagogicalTask1_20	[支]江湖试炼	江湖中有许多武功高强之人，通过他们的试练，才能够名扬天下！去挑战他们吧！	参加[FFFE0D]江湖试炼[-]直到试炼结束	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 31]	[url=npc:testtt,$F,15]			3020	99				1					2	1	1	JiangHuTrain														
3021	PedagogicalTask1_21	[支]了解镶嵌	江湖中武林人士的内力所化，能够与某些特定部位的装备产生共鸣，故而只能够镶嵌在[FFFE0D]指定位置的装备[-]上，从而提升属性，千万别忘记镶嵌魂石！	找[FFFE0D]$NF[-]了解镶嵌	向[FFFE0D]$NF[-]汇报情况	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			3021	626				1				Item|1720|1	2	1	1															
