Index	NpcName	TitleID	NpcTemplateId	HideTaskId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	
Enemy1	无忧教死士		1148				30	2472	4291		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	2017	4006		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	1880	3665		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	2040	3131		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	2312	3620		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	2494	3074		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	2938	3426		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	2892	3961		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	6111	4257		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	5679	3972		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	5417	3574		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	5736	2824		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	5781	3301		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	6259	2937		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	6077	3665		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	6566	3222		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	6555	3824		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	6600	4245		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	6975	3881		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	7044	3392		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	7806	6941		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	7101	6292		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	7066	5906		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	7555	5565		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	7499	6099		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	8022	6179		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	7965	5678		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	8181	6622		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	8522	6292		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	8499	5849		-1	0	0	0	0	0	0	0	0	0	0	0	0
Enemy1	无忧教死士		1148				30	7428	6641		-1	0	0	0	0	0	0	0	0	0	0	0	0
