ParamId	nKey1	nCount1	nKey2	nCount2	nKey3	nCount3	nKey4	nCount4	nKey5	nCount5	nKey6	nCount6	nKey7	nCount7	nKey8	nCount8	nKey9	nCount9	nKey10	nCount10
100065	6149	2	6150	2	6276	2														
110091	1394	10	2804	2	10014	1	10015	1												
110092	1395	20	2804	20	10014	10	10015	10												
110093	1396	15	2804	50	10014	25	10015	25												
110094	6444	1																		
520155	2804	2480	10014	1240	10015	1240														
520156	2804	1240	10014	620	10015	620														
520157	1393	10	2804	2	10014	1	10015	1														
520158	2424	5000	2527	5000																		
520159	2424	5000	2527	5000																		
520160	6277	2																				
110100	100055	1																				
