TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
1971	【初级】命中	PartnerSkillLevel1_1	35	1971	1971		PartnerSkillBook	35	【被动】提升同伴自身命中	50000	1	1	1000	1	1	0	99999	28									
1972	【初级】闪避	PartnerSkillLevel1_2	35	1972	1972		PartnerSkillBook	35	【被动】提升同伴自身闪避	50000	1	1	1000	1	1	0	99999	31									
1973	【初级】忽略闪避	PartnerSkillLevel1_3	35	1973	1973		PartnerSkillBook	35	【被动】提升同伴自身忽略闪避的能力	50000	1	1	1000	1	1	0	99999	34									
1974	【初级】抗会心几率	PartnerSkillLevel1_4	35	1974	1974		PartnerSkillBook	35	【被动】提升同伴自身抗会心几率	50000	1	1	1000	1	1	0	99999	37									
1975	【初级】生命回复	PartnerSkillLevel1_5	35	1975	1975		PartnerSkillBook	35	【被动】提升同伴自身生命回复	50000	1	1	1000	1	1	0	99999	40									
1976	【初级】抗受伤效果	PartnerSkillLevel1_6	35	1976	1976		PartnerSkillBook	35	【被动】提升同伴自身抵御受伤效果的能力	50000	1	1	1000	1	1	0	99999	43									
1977	【初级】抗迟缓效果	PartnerSkillLevel1_7	35	1977	1977		PartnerSkillBook	35	【被动】提升同伴自身抵御迟缓效果的能力	50000	1	1	1000	1	1	0	99999	46									
1978	【初级】抗致缠效果	PartnerSkillLevel1_8	35	1978	1978		PartnerSkillBook	35	【被动】提升同伴自身抵御致缠效果的能力	50000	1	1	1000	1	1	0	99999	49									
1979	【初级】抗麻痹效果	PartnerSkillLevel1_9	35	1979	1979		PartnerSkillBook	35	【被动】提升同伴自身抵御麻痹效果的能力	50000	1	1	1000	1	1	0	99999	52									
1980	【初级】抗眩晕效果	PartnerSkillLevel1_10	35	1980	1980		PartnerSkillBook	35	【被动】提升同伴自身抵御眩晕效果的能力	50000	1	1	1000	1	1	0	99999	55									
1981	无名斩	PartnerSkillLevel2_1	35	1981	1981		PartnerSkillBook	35	【主动】近程攻击\n\n[FFFE0D]五行属【金】的同伴可学习该技能[-]	150000	1	1	1000	2	1	0	99999	1									
1982	寒霜印	PartnerSkillLevel2_2	35	1982	1982		PartnerSkillBook	35	【主动】远程攻击目标\n\n[FFFE0D]五行属【水】的同伴可学习该技能[-]	150000	1	1	1000	2	1	0	99999	2									
1983	剧毒镖	PartnerSkillLevel2_3	35	1983	1983		PartnerSkillBook	35	【主动】远程攻击目标\n\n[FFFE0D]五行属【木】的同伴可学习该技能[-]	150000	1	1	1000	2	1	0	99999	3									
1984	霹雳印	PartnerSkillLevel2_4	35	1984	1984		PartnerSkillBook	35	【主动】远程攻击目标\n\n[FFFE0D]五行属【火】的同伴可学习该技能[-]	150000	1	1	1000	2	1	0	99999	4									
1985	雷霆印	PartnerSkillLevel2_5	35	1985	1985		PartnerSkillBook	35	【主动】远程攻击目标\n\n[FFFE0D]五行属【土】的同伴可学习该技能[-]	150000	1	1	1000	2	1	0	99999	5									
1986	治愈术	PartnerSkillLevel2_6	35	1986	1986		PartnerSkillBook	35	【主动】对单个友方目标进行治疗	150000	1	1	1000	2	1	0	99999	16									
1987	【中级】命中	PartnerSkillLevel2_7	35	1987	1987		PartnerSkillBook	35	【被动】提升同伴自身命中	150000	1	1	1000	2	1	0	99999	29									
1988	【中级】闪避	PartnerSkillLevel2_8	35	1988	1988		PartnerSkillBook	35	【被动】提升同伴自身闪避	150000	1	1	1000	2	1	0	99999	32									
1989	【中级】忽略闪避	PartnerSkillLevel2_9	35	1989	1989		PartnerSkillBook	35	【被动】提升同伴自身忽略闪避的能力	150000	1	1	1000	2	1	0	99999	35									
1990	【中级】抗会心几率	PartnerSkillLevel2_10	35	1990	1990		PartnerSkillBook	35	【被动】提升同伴自身抗会心几率	150000	1	1	1000	2	1	0	99999	38									
1991	【中级】生命回复	PartnerSkillLevel2_11	35	1991	1991		PartnerSkillBook	35	【被动】提升同伴自身生命回复	150000	1	1	1000	2	1	0	99999	41									
1992	【中级】抗受伤效果	PartnerSkillLevel2_12	35	1992	1992		PartnerSkillBook	35	【被动】提升同伴自身抵御受伤效果的能力	150000	1	1	1000	2	1	0	99999	44									
1993	【中级】抗迟缓效果	PartnerSkillLevel2_13	35	1993	1993		PartnerSkillBook	35	【被动】提升同伴自身抵御迟缓效果的能力	150000	1	1	1000	2	1	0	99999	47									
1994	【中级】抗致缠效果	PartnerSkillLevel2_14	35	1994	1994		PartnerSkillBook	35	【被动】提升同伴自身抵御致缠效果的能力	150000	1	1	1000	2	1	0	99999	50									
1995	【中级】抗麻痹效果	PartnerSkillLevel2_15	35	1995	1995		PartnerSkillBook	35	【被动】提升同伴自身抵御麻痹效果的能力	150000	1	1	1000	2	1	0	99999	53									
1996	【中级】抗眩晕效果	PartnerSkillLevel2_16	35	1996	1996		PartnerSkillBook	35	【被动】提升同伴自身抵御眩晕效果的能力	150000	1	1	1000	2	1	0	99999	56									
1997	【初级】会心几率	PartnerSkillLevel2_17	35	1997	1997		PartnerSkillBook	35	【被动】提升同伴自身会心几率	150000	1	1	1000	2	1	0	99999	58									
1998	【初级】攻击力	PartnerSkillLevel2_18	35	1998	1998		PartnerSkillBook	35	【被动】提升同伴自身攻击力	150000	1	1	1000	2	1	0	99999	61									
1999	【初级】生命	PartnerSkillLevel2_19	35	1999	1999		PartnerSkillBook	35	【被动】提升同伴自身生命	150000	1	1	1000	2	1	0	99999	64									
2000	【初级】移动速度	PartnerSkillLevel2_20	35	2000	2000		PartnerSkillBook	35	【被动】提升同伴自身移动速度	150000	1	1	1000	2	1	0	99999	67									
2001	【初级】金系抗性	PartnerSkillLevel2_21	35	2001	2001		PartnerSkillBook	35	【被动】提升同伴自身金系抗性	150000	1	1	1000	2	1	0	99999	70									
2002	【初级】木系抗性	PartnerSkillLevel2_22	35	2002	2002		PartnerSkillBook	35	【被动】提升同伴自身木系抗性	150000	1	1	1000	2	1	0	99999	73									
2003	【初级】水系抗性	PartnerSkillLevel2_23	35	2003	2003		PartnerSkillBook	35	【被动】提升同伴自身水系抗性	150000	1	1	1000	2	1	0	99999	76									
2004	【初级】火系抗性	PartnerSkillLevel2_24	35	2004	2004		PartnerSkillBook	35	【被动】提升同伴自身火系抗性	150000	1	1	1000	2	1	0	99999	79									
2005	【初级】土系抗性	PartnerSkillLevel2_25	35	2005	2005		PartnerSkillBook	35	【被动】提升同伴自身土系抗性	150000	1	1	1000	2	1	0	99999	82									
2006	【初级】抗属性效果	PartnerSkillLevel2_26	35	2006	2006		PartnerSkillBook	35	【被动】提升同伴自身抵御属性效果的能力	150000	1	1	1000	2	1	0	99999	85									
2007	破天斩	PartnerSkillLevel3_1	35	2007	2007		PartnerSkillBook	35	【主动】近程攻击，附带受伤效果\n\n[FFFE0D]五行属【金】的同伴可学习该技能[-]	500000	1	1	1000	3	1	0	99999	6									
2008	冰封指	PartnerSkillLevel3_2	35	2008	2008		PartnerSkillBook	35	【主动】远程攻击目标，附带迟缓效果\n\n[FFFE0D]五行属【水】的同伴可学习该技能[-]	500000	1	1	1000	3	1	0	99999	7									
2009	袖里箭	PartnerSkillLevel3_3	35	2009	2009		PartnerSkillBook	35	【主动】远程攻击目标，附带致缠效果\n\n[FFFE0D]五行属【木】的同伴可学习该技能[-]	500000	1	1	1000	3	1	0	99999	8									
2010	烈焰指	PartnerSkillLevel3_4	35	2010	2010		PartnerSkillBook	35	【主动】远程攻击目标，附带麻痹效果\n\n[FFFE0D]五行属【火】的同伴可学习该技能[-]	500000	1	1	1000	3	1	0	99999	9									
2011	怒雷指	PartnerSkillLevel3_5	35	2011	2011		PartnerSkillBook	35	【主动】远程攻击目标，附带眩晕效果\n\n[FFFE0D]五行属【土】的同伴可学习该技能[-]	500000	1	1	1000	3	1	0	99999	10									
2012	群体治愈术	PartnerSkillLevel3_6	35	2012	2012		PartnerSkillBook	35	【主动】对视野范围内友方目标进行治疗	500000	1	1	1000	3	1	0	99999	17									
2013	毒瘴术	PartnerSkillLevel3_7	35	2013	2013		PartnerSkillBook	35	【主动】使目标中毒，造成回复效果无效	500000	1	1	1000	3	1	0	99999	19									
2014	金刚护体	PartnerSkillLevel3_8	35	2014	2014		PartnerSkillBook	35	【主动】使单个友方一定时间内不受任何伤害	500000	1	1	1000	3	1	0	99999	21									
2015	不动明王	PartnerSkillLevel3_9	35	2015	2015		PartnerSkillBook	35	【主动】使单个友方一定时间内免疫任何属性状态和负面状态	500000	1	1	1000	3	1	0	99999	23									
2016	枯木逢春	PartnerSkillLevel3_10	35	2016	2016		PartnerSkillBook	35	【主动】重伤时有一定概率回复生命	500000	1	1	1000	3	1	0	99999	25									
2017	蓄力箭	PartnerSkillLevel3_11	35	2017	2017		PartnerSkillBook	35	【主动】远程攻击目标，造成击退	500000	1	1	1000	3	1	0	99999	27									
2018	【高级】命中	PartnerSkillLevel3_12	35	2018	2018		PartnerSkillBook	35	【被动】提升同伴自身命中	500000	1	1	1000	3	1	0	99999	30									
2019	【高级】闪避	PartnerSkillLevel3_13	35	2019	2019		PartnerSkillBook	35	【被动】提升同伴自身闪避	500000	1	1	1000	3	1	0	99999	33									
2020	【高级】忽略闪避	PartnerSkillLevel3_14	35	2020	2020		PartnerSkillBook	35	【被动】提升同伴自身忽略闪避的能力	500000	1	1	1000	3	1	0	99999	36									
2021	【高级】抗会心几率	PartnerSkillLevel3_15	35	2021	2021		PartnerSkillBook	35	【被动】提升同伴自身抗会心几率	500000	1	1	1000	3	1	0	99999	39									
2022	【高级】生命回复	PartnerSkillLevel3_16	35	2022	2022		PartnerSkillBook	35	【被动】提升同伴自身生命回复	500000	1	1	1000	3	1	0	99999	42									
2023	【高级】抗受伤效果	PartnerSkillLevel3_17	35	2023	2023		PartnerSkillBook	35	【被动】提升同伴自身抵御受伤效果的能力	500000	1	1	1000	3	1	0	99999	45									
2024	【高级】抗迟缓效果	PartnerSkillLevel3_18	35	2024	2024		PartnerSkillBook	35	【被动】提升同伴自身抵御迟缓效果的能力	500000	1	1	1000	3	1	0	99999	48									
2025	【高级】抗致缠效果	PartnerSkillLevel3_19	35	2025	2025		PartnerSkillBook	35	【被动】提升同伴自身抵御致缠效果的能力	500000	1	1	1000	3	1	0	99999	51									
2026	【高级】抗麻痹效果	PartnerSkillLevel3_20	35	2026	2026		PartnerSkillBook	35	【被动】提升同伴自身抵御麻痹效果的能力	500000	1	1	1000	3	1	0	99999	54									
2027	【高级】抗眩晕效果	PartnerSkillLevel3_21	35	2027	2027		PartnerSkillBook	35	【被动】提升同伴自身抵御眩晕效果的能力	500000	1	1	1000	3	1	0	99999	57									
2028	【中级】会心几率	PartnerSkillLevel3_22	35	2028	2028		PartnerSkillBook	35	【被动】提升同伴自身会心几率	500000	1	1	1000	3	1	0	99999	59									
2029	【中级】攻击力	PartnerSkillLevel3_23	35	2029	2029		PartnerSkillBook	35	【被动】提升同伴自身攻击力	500000	1	1	1000	3	1	0	99999	62									
