TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
8314	《击壤歌》	GuestFriendItem_1	35	8314	8314		PartnerCardGift	1	日出而作，日入而息。凿井而饮，耕田而食。帝力于我何有哉！\n\n——[FFFE0D]后羿[-]喜爱之物	1800	1	1	100	4	1	0	999										
8322	《荆轲歌》	GuestFriendItem_2	35	8314	8314		PartnerCardGift	1	风萧萧兮易水寒，\n壮士一去兮不复还。\n探虎穴兮入蛟宫，\n仰天呼气兮成白虹。\n\n——[FFFE0D]荆轲[-]喜爱之物	1800	1	1	100	4	1	0	999										
8323	《垓下歌》	GuestFriendItem_3	35	8314	8314		PartnerCardGift	1	力拔山兮气盖世。\n时不利兮骓不逝。\n骓不逝兮可奈何！\n虞兮虞兮奈若何！——[FFFE0D]项羽/虞姬[-]喜爱之物	1800	1	1	100	4	1	0	999										
8324	《北方有佳人》	GuestFriendItem_4	35	8314	8314		PartnerCardGift	1	由来称独立，本自号倾城。\n柳叶眉间发，桃花脸上生。\n腕摇金钏响，步转玉环鸣。\n纤腰宜宝袜，红衫艳织成。\n悬知一顾重，别觉舞腰轻。\n\n——[FFFE0D]苏妲己[-]喜爱之物	1800	1	1	100	4	1	0	999										
8325	《田家元日》	GuestFriendItem_5	35	8314	8314		PartnerCardGift	1	昨夜斗回北，今朝岁起东。\n我年已强仕，无禄尚忧农。\n桑野就耕父，荷锄随牧童。\n田家占气候，共说此年丰。\n\n——[FFFE0D]李广[-]喜爱之物	1800	1	1	100	4	1	0	999										
8326	《元日》	GuestFriendItem_6	35	8314	8314		PartnerCardGift	1	爆竹声中一岁除，\n春风送暖入屠苏。\n千门万户曈曈日，\n总把新桃换旧符。\n\n——[FFFE0D]天星道长[-]喜爱之物	1800	1	1	100	4	1	0	999										
8327	《相思》	GuestFriendItem_7	35	8314	8314		PartnerCardGift	1	红豆生南国，春来发几枝。\n愿君多采撷，此物最相思。\n\n——[FFFE0D]张风[-]喜爱之物	1800	1	1	100	4	1	0	999										
8328	《野望》	GuestFriendItem_8	35	8314	8314		PartnerCardGift	1	东皋薄暮望，徙倚欲何依。\n树树皆秋色，山山唯落晖。\n牧人驱犊返，猎马带禽归。\n相顾无相识，长歌怀采薇。\n\n——[FFFE0D]燕若雪[-]喜爱之物	1800	1	1	100	4	1	0	999										
8329	《风雨》	GuestFriendItem_9	35	8314	8314		PartnerCardGift	1	凄凉宝剑篇，羁泊欲穷年。\n黄叶仍风雨，青楼自管弦。\n新知遭薄俗，旧好隔良缘。\n心断新丰酒，销愁斗几千。\n\n——[FFFE0D]杨影枫[-]喜爱之物	1800	1	1	100	4	1	0	999										
8330	《归嵩山作》	GuestFriendItem_10	35	8314	8314		PartnerCardGift	1	清川带长薄，车马去闲闲。\n流水如有意，暮禽相与还。\n荒城临古渡，落日满秋山。\n迢递嵩高下，归来且闭关。\n\n——[FFFE0D]鬼谷子[-]喜爱之物	1800	1	1	100	4	1	0	999										
8331	《兵车行（残卷）》	GuestFriendItem_11	35	8314	8314		PartnerCardGift	1	车辚辚，马萧萧，\n行人弓箭各在腰。\n耶娘妻子走相送，\n尘埃不见咸阳桥。\n\n——[FFFE0D]赵云[-]喜爱之物	1800	1	1	100	4	1	0	999										
8332	《西施咏（残卷）》	GuestFriendItem_12	35	8314	8314		PartnerCardGift	1	艳色天下重，西施宁久微。\n朝为越溪女，暮作吴宫妃。\n\n——[FFFE0D]西施[-]喜爱之物	1800	1	1	100	4	1	0	999										
8479	《关雎》	GuestFriendItem_45	35	8314	8314		PartnerCardGift	1	关关雎鸠，在河之洲。\n窈窕淑女，君子好逑。\n参差荇菜，左右流之。\n窈窕淑女，寤寐求之。\n\n——[FFFE0D]杨瑛[-]喜爱之物	1800	1	1	100	4	1	0	999										
8480	《木瓜》	GuestFriendItem_46	35	8314	8314		PartnerCardGift	1	投我以木瓜，报之以琼琚。\n匪报也，永以为好也！\n\n——[FFFE0D]祝子虚[-]喜爱之物	1800	1	1	100	4	1	0	999										
