TemplateId	NextTemplateId	Name	Debris	InsetType	FightPower	Weapon	Helm	Cuff	Armor	Belt	Boots	Necklace	Ring	Pendant	Amulet	AttribType1	Value11	Value21	Value31	AttribType2	Value12	Value22	Value32
201	230	生命宝石碎片	1	0																			
230	231	生命宝石1级		0	20		1	1		1	1					lifemax_v	480						
231	232	生命宝石2级		0	60		1	1		1	1					lifemax_v	960						
232	233	生命宝石3级		0	180		1	1		1	1					lifemax_v	1680						
233	234	生命宝石4级		0	540		1	1		1	1					lifemax_v	2400						
234	235	生命宝石5级		0	1650		1	1		1	1					lifemax_v	3360						
235	236	生命宝石6级		0	5000		1	1		1	1					lifemax_v	4320						
236	237	生命宝石7级		0	15000		1	1		1	1					lifemax_v	6160						
237	238	生命宝石8级		0	45000		1	1		1	1					lifemax_v	8000						
238		生命宝石9级		0	50000		1	1		1	1					lifemax_v	9840						
202	240	攻击宝石碎片	1	0																			
240	241	攻击宝石1级		0	20							1	1	1	1	physical_damage_v	24		24				
241	242	攻击宝石2级		0	60							1	1	1	1	physical_damage_v	48		48				
242	243	攻击宝石3级		0	180							1	1	1	1	physical_damage_v	84		84				
243	244	攻击宝石4级		0	540							1	1	1	1	physical_damage_v	120		120				
244	245	攻击宝石5级		0	1650							1	1	1	1	physical_damage_v	168		168				
245	246	攻击宝石6级		0	5000							1	1	1	1	physical_damage_v	216		216				
246	247	攻击宝石7级		0	15000							1	1	1	1	physical_damage_v	308		308				
247	248	攻击宝石8级		0	45000							1	1	1	1	physical_damage_v	400		400				
248		攻击宝石9级		0	50000							1	1	1	1	physical_damage_v	492		492				
203	250	抗性宝石碎片	1	0																			
250	251	抗性宝石1级		0	20		1	1	1	1						all_series_resist_v	12						
251	252	抗性宝石2级		0	60		1	1	1	1						all_series_resist_v	24						
252	253	抗性宝石3级		0	180		1	1	1	1						all_series_resist_v	42						
253	254	抗性宝石4级		0	540		1	1	1	1						all_series_resist_v	60						
254	255	抗性宝石5级		0	1650		1	1	1	1						all_series_resist_v	84						
255	256	抗性宝石6级		0	5000		1	1	1	1						all_series_resist_v	108						
256	257	抗性宝石7级		0	15000		1	1	1	1						all_series_resist_v	154						
257	258	抗性宝石8级		0	45000		1	1	1	1						all_series_resist_v	200						
258		抗性宝石9级		0	50000		1	1	1	1						all_series_resist_v	246						
204	260	忽抗宝石碎片	1	0																			
260	261	忽抗宝石1级		0	20	1						1	1	1		ignore_all_resist_v	100	12					
261	262	忽抗宝石2级		0	60	1						1	1	1		ignore_all_resist_v	100	24					
262	263	忽抗宝石3级		0	180	1						1	1	1		ignore_all_resist_v	100	42					
263	264	忽抗宝石4级		0	540	1						1	1	1		ignore_all_resist_v	100	60					
264	265	忽抗宝石5级		0	1650	1						1	1	1		ignore_all_resist_v	100	84					
265	266	忽抗宝石6级		0	5000	1						1	1	1		ignore_all_resist_v	100	108					
266	267	忽抗宝石7级		0	15000	1						1	1	1		ignore_all_resist_v	100	154					
267	268	忽抗宝石8级		0	45000	1						1	1	1		ignore_all_resist_v	100	200					
268		忽抗宝石9级		0	50000	1						1	1	1		ignore_all_resist_v	100	246					
205	270	闪避宝石碎片	1	0																			
270	271	闪避宝石1级		0	20		1	1	1		1					defense_v	48						
271	272	闪避宝石2级		0	60		1	1	1		1					defense_v	96						
272	273	闪避宝石3级		0	180		1	1	1		1					defense_v	168						
273	274	闪避宝石4级		0	540		1	1	1		1					defense_v	240						
274	275	闪避宝石5级		0	1650		1	1	1		1					defense_v	336						
275	276	闪避宝石6级		0	5000		1	1	1		1					defense_v	432						
276	277	闪避宝石7级		0	15000		1	1	1		1					defense_v	616						
277	278	闪避宝石8级		0	45000		1	1	1		1					defense_v	800						
278		闪避宝石9级		0	50000		1	1	1		1					defense_v	984						
206	280	忽闪宝石碎片	1	0																			
280	281	忽闪宝石1级		0	20	1						1	1		1	ignore_defense_v	48						
281	282	忽闪宝石2级		0	60	1						1	1		1	ignore_defense_v	96						
282	283	忽闪宝石3级		0	180	1						1	1		1	ignore_defense_v	168						
283	284	忽闪宝石4级		0	540	1						1	1		1	ignore_defense_v	240						
284	285	忽闪宝石5级		0	1650	1						1	1		1	ignore_defense_v	336						
285	286	忽闪宝石6级		0	5000	1						1	1		1	ignore_defense_v	432						
286	287	忽闪宝石7级		0	15000	1						1	1		1	ignore_defense_v	616						
287	288	忽闪宝石8级		0	45000	1						1	1		1	ignore_defense_v	800						
288		忽闪宝石9级		0	50000	1						1	1		1	ignore_defense_v	984						
207	290	会心宝石碎片	1	0																			
290	291	会心宝石1级		0	20	1						1		1	1	deadlystrike_v	24						
291	292	会心宝石2级		0	60	1						1		1	1	deadlystrike_v	48						
292	293	会心宝石3级		0	180	1						1		1	1	deadlystrike_v	84						
293	294	会心宝石4级		0	540	1						1		1	1	deadlystrike_v	120						
294	295	会心宝石5级		0	1650	1						1		1	1	deadlystrike_v	168						
295	296	会心宝石6级		0	5000	1						1		1	1	deadlystrike_v	216						
296	297	会心宝石7级		0	15000	1						1		1	1	deadlystrike_v	308						
297	298	会心宝石8级		0	45000	1						1		1	1	deadlystrike_v	400						
298		会心宝石9级		0	50000	1						1		1	1	deadlystrike_v	492						
208	300	减会心宝石碎片	1	0																			
300	301	减会心宝石1级		0	20			1	1	1	1					weaken_deadlystrike_v	24						
301	302	减会心宝石2级		0	60			1	1	1	1					weaken_deadlystrike_v	48						
302	303	减会心宝石3级		0	180			1	1	1	1					weaken_deadlystrike_v	84						
303	304	减会心宝石4级		0	540			1	1	1	1					weaken_deadlystrike_v	120						
304	305	减会心宝石5级		0	1650			1	1	1	1					weaken_deadlystrike_v	168						
305	306	减会心宝石6级		0	5000			1	1	1	1					weaken_deadlystrike_v	216						
306	307	减会心宝石7级		0	15000			1	1	1	1					weaken_deadlystrike_v	308						
307	308	减会心宝石8级		0	45000			1	1	1	1					weaken_deadlystrike_v	400						
308		减会心宝石9级		0	50000			1	1	1	1					weaken_deadlystrike_v	492						
209	310	效果宝石碎片	1	0																			
310	311	效果宝石1级		0	20	1							1	1	1	add_seriesstate_rate_v	12						
311	312	效果宝石2级		0	60	1							1	1	1	add_seriesstate_rate_v	24						
312	313	效果宝石3级		0	180	1							1	1	1	add_seriesstate_rate_v	42						
313	314	效果宝石4级		0	540	1							1	1	1	add_seriesstate_rate_v	60						
314	315	效果宝石5级		0	1650	1							1	1	1	add_seriesstate_rate_v	84						
315	316	效果宝石6级		0	5000	1							1	1	1	add_seriesstate_rate_v	108						
316	317	效果宝石7级		0	15000	1							1	1	1	add_seriesstate_rate_v	154						
317	318	效果宝石8级		0	45000	1							1	1	1	add_seriesstate_rate_v	200						
318		效果宝石9级		0	50000	1							1	1	1	add_seriesstate_rate_v	246						
210	320	减效果宝石碎片	1	0																			
320	321	减效果宝石1级		0	20		1		1	1	1					resist_allseriesstate_rate_v	12						
321	322	减效果宝石2级		0	60		1		1	1	1					resist_allseriesstate_rate_v	24						
322	323	减效果宝石3级		0	180		1		1	1	1					resist_allseriesstate_rate_v	42						
323	324	减效果宝石4级		0	540		1		1	1	1					resist_allseriesstate_rate_v	60						
324	325	减效果宝石5级		0	1650		1		1	1	1					resist_allseriesstate_rate_v	84						
325	326	减效果宝石6级		0	5000		1		1	1	1					resist_allseriesstate_rate_v	108						
326	327	减效果宝石7级		0	15000		1		1	1	1					resist_allseriesstate_rate_v	154						
327	328	减效果宝石8级		0	45000		1		1	1	1					resist_allseriesstate_rate_v	200						
328		减效果宝石9级		0	50000		1		1	1	1					resist_allseriesstate_rate_v	246						
212	222	白水晶		0																			
222	223	绿水晶		0																			
223	224	蓝水晶		0																			
224	225	紫水晶		0																			
225	227	橙水晶		0																			
227		金水晶		0																			
213	214	破损的神秘矿石		0																			
214	215	普通的神秘矿石		0																			
215	216	无暇的神秘矿石		0																			
216	217	璀璨的神秘矿石		0																			
217		完美的神秘矿石		0																			
1693	1772	初级魂石·李三		0	50	1										attackrate_v	80						
1694	1771	初级魂石·卢青		0	50							1				water_resist_v	30						
1695	1773	初级魂石·莺儿		0	50				1							recover_life_v	100	75					
1696	1774	初级魂石·顾武		0	50			1								attackrate_v	80						
1697	1775	初级魂石·小武		0	150										1	earth_resist_v	40			lifemax_v	256		
1698	1776	初级魂石·苏墨芸		0	50				1							lifemax_v	400						
1699	1777	初级魂石·萧动尘		0	50										1	earth_resist_v	30						
1700	1778	初级魂石·胡神医		0	50									1		state_palsy_resistrate	30						
1701	1779	初级魂石·秦沐白		0	50							1				state_slowall_resistrate	30						
1702	1780	初级魂石·张仲天		0	50										1	state_stun_resistrate	30						
1703	1781	初级魂石·路达		0	50								1			state_zhican_resistrate	30						
1704	1782	初级魂石·白眉猴王		1	150					1						metal_resist_v	48						
1705	1783	初级魂石·大地狼王		2	150					1						wood_resist_v	48						
1706	1784	初级魂石·寒玉鹿王		3	150					1						fire_resist_v	48						
1707	1785	初级魂石·蔷薇		0	50					1						vitality_v	20						
1708	1786	初级魂石·紫轩		0	50						1					dexterity_v	20						
1709	1787	初级魂石·卓非凡		4	150							1				deadlystrike_v	32						
1710	1788	初级魂石·月明瑶		0	150		1									metal_resist_v	40			lifemax_v	256		
1711	1789	初级魂石·龙傲天		0	150				1							state_zhican_resisttime	40			lifemax_v	256		
1712	1790	初级魂石·沫天然		0	150				1							state_hurt_resisttime	40			lifemax_v	256		
1713	1791	初级魂石·少年杨影枫		5	450				1							meleedamagereturn_p	5			lifemax_v	690		
1714	1792	初级魂石·南宫彩虹		0	50			1								energy_v	20						
1715	1793	初级魂石·林海		0	50						1					lifemax_v	400						
1716	1794	初级魂石·陆文龙		0	50		1									state_zhican_resisttime	30						
1717	1795	初级魂石·赵无双		0	50									1		fire_resist_v	30						
1718	1796	初级魂石·无相		0	50					1						lifemax_v	400						
1719	1797	初级魂石·唐潇		0	150			1								energy_v	25			lifemax_v	256		
1720	1798	初级魂石·张如梦		0	50	1										strength_v	20						
1721	1799	初级魂石·张琳心		0	150				1							recover_life_v	128	75		lifemax_v	256		
1722	1800	初级魂石·封玉书		0	150								1			wood_resist_v	40			lifemax_v	256		
1723	1801	初级魂石·赵节		0	50								1			wood_resist_v	30						
1724	1802	初级魂石·邵骑风		0	50		1									metal_resist_v	30						
1725	1803	初级魂石·何暮雪		0	150									1		fire_resist_v	40			lifemax_v	256		
1726	1804	初级魂石·赵升权		0	150			1								energy_v	25			attackrate_v	52		
1727	1805	初级魂石·纳兰真		0	150					1						vitality_v	25			lifemax_v	256		
1728	1806	初级魂石·柴嵩		0	150							1				water_resist_v	40			lifemax_v	256		
1729	1807	初级魂石·曲霞		0	450										1	lifemax_p	9			recover_life_v	96	75	
1730	1808	初级魂石·耶律辟离(唯一)		53	450	1										basic_damage_v	48		48				
1731	1809	初级魂石·杨铁心		6	450								1			basic_damage_v	38		38	state_zhican_resistrate	28		
1732	1810	初级魂石·无想		0	450				1							all_series_resist_v	20			recover_life_v	96	75	
1733	1811	初级魂石·柳潇庭		7	450										1	resist_allseriesstate_rate_v	20			state_stun_resisttime	28		
1734	1812	初级魂石·李恬儿		8	450					1						rangedamagereturn_p	5			lifemax_v	690		
1735	1813	初级魂石·李天目		9	450			1								attackspeed_v	6			attackrate_v	96		
1736	1814	初级魂石·完颜襄		10	450		1									deadlystrike_damage_p	4			state_hurt_resistrate	28		
2847	2849	初级魂石·玄慈(唯一)		49	450										1	lifemax_p	13						
1737	1815	初级魂石·邵宏渊		0	150	1										strength_v	25			attackrate_v	52		
1738	1816	初级魂石·白彦敬		0	150					1						vitality_v	25			attackrate_v	52		
1739	1817	初级魂石·耶律楚材		11	450									1		weaken_deadlystrike_damage_p	4			state_palsy_resistrate	28		
1740	1818	初级魂石·雷风		0	150				1							state_stun_resistrate	40			lifemax_v	256		
1741	1819	初级魂石·雷同		0	150				1							state_slowall_resistrate	40			lifemax_v	256		
1742	1820	初级魂石·唐娟娟		0	150				1							state_palsy_resistrate	40			lifemax_v	256		
