TemplateId	Faction	ChooseItem	Num	TimeFrame	Level	CheckLimit	szCheckTip	ThisNeedCount	Desc	NotVersion_vn	NotVersion_hk	NotVersion_xm	NotVersion_en	NotVersion_kor	NotVersion_th
2153		1134	1						T3稀有项链						
2153		1144	1						T3稀有戒指						
2153		1154	1						T3稀有玉佩						
2153		1164	1						T3稀有护身符						
3521		1135	1						T4稀有项链						
3521		1145	1						T4稀有戒指						
3521		1155	1						T4稀有玉佩						
3521		1165	1						T4稀有护身符						
3522		1136	1						T5稀有项链						
3522		1146	1						T5稀有戒指						
3522		1156	1						T5稀有玉佩						
3522		1166	1						T5稀有护身符						
3523		1137	1						T6稀有项链						
3523		1147	1						T6稀有戒指						
3523		1157	1						T6稀有玉佩						
3523		1167	1						T6稀有护身符						
2306		1135	1												
2306		1145	1												
2306		1155	1												
2306		1165	1												
2307		1175	1												
2307		1195	1												
2307		1205	1												
2307		1215	1												
2424	1	2398	1												
2424	1	2401	1												
2424	1	2719	1												
2424	1	2402	1												
2424	2	2720	1												
2424	2	2403	1												
2424	2	2404	1												
2424	2	2405	1												
2424	4	2721	1												
2424	4	2406	1												
2424	4	2407	1												
2424	4	2408	1												
2424	3	2409	1												
2424	3	2722	1												
2424	3	2410	1												
2424	3	2411	1												
2424	5	2412	1												
2424	5	2414	1												
2424	5	2413	1												
2424	5	2723	1												
2424	6	2724	1												
2424	6	2415	1												
2424	6	2416	1												
2424	6	2417	1												
2424	7	2713	1												
2424	7	2714	1												
2424	7	2715	1												
2424	7	2749	1												
2424	8	2716	1												
2424	8	2717	1												
2424	8	2718	1												
2424	8	2750	1												
2424	9	3267	1												
2424	9	3268	1												
2424	9	3269	1												
2424	9	3270	1												
2424	10	3271	1												
2424	10	3272	1												
2424	10	3273	1												
2424	10	3274	1												
2424	11	4021	1												
2424	11	4022	1												
2424	11	4023	1												
2424	11	4024	1												
2424	12	4025	1												
2424	12	4026	1												
2424	12	4027	1												
2424	12	4028	1												
2424	13	5201	1												
2424	13	5202	1												
2424	13	5203	1												
2424	13	5204	1												
2424	14	5205	1												
2424	14	5206	1												
2424	14	5207	1												
2424	14	5208	1												
2424	15	6675	1												
2424	15	6674	1												
2424	15	6676	1												
2424	15	6677	1												
2424	16	7520	1												
2424	16	7521	1												
2424	16	7522	1												
2424	16	7523	1												
2424	17	8445	1												
2424	17	8446	1												
2424	17	8447	1												
2424	17	8448	1												
2424	18	9879	1												
2424	18	9880	1												
2424	18	9881	1												
2424	18	9882	1												
2424	19	10537	1												
2424	19	10538	1												
2424	19	10539	1												
2424	19	10540	1												
2424	20	11273	1												
2424	20	11274	1												
2424	20	11275	1												
2424	20	11276	1												
2424	21	11952	1												
2424	21	11953	1												
2424	21	11954	1												
2424	21	11955	1												
2424	1	7991	1	OpenDay279				150	绝学·金钟罩						
2424	2	8001	1	OpenDay279				150	绝学·慈航普渡						
2424	3	8011	1	OpenDay279				150	绝学·火凤燎原						
2424	4	8021	1	OpenDay279				150	绝学·白虹贯日						
2424	5	8031	1	OpenDay279				150	绝学·无我无剑						
2424	6	8041	1	OpenDay279				150	绝学·死亡回旋						
2424	7	8051	1	OpenDay279				150	绝学·大力金刚指						
2424	8	8061	1	OpenDay279				150	绝学·召唤啵啵						
2424	9	8071	1	OpenDay279				150	绝学·暴雨梨花						
2424	10	8081	1	OpenDay279				150	绝学·混沌剑阵						
2424	11	8091	1	OpenDay279				150	绝学·亢龙有悔						
2424	12	8101	1	OpenDay279				150	绝学·五毒笛法						
2424	13	8111	1	OpenDay279				150	绝学·玉泉鱼跃						
2424	14	8121	1	OpenDay279				150	绝学·余音绕梁						
2424	15	8131	1	OpenDay279				150	绝学·梅花三弄						
2424	16	8141	1	OpenDay279				150	绝学·浴血蹈锋						
2424	17	8151	1	OpenDay279				150	绝学·风送紫霞						
2424	18	9988	1	OpenDay279				150	绝学·火光残影						
2424	19	10557	1	OpenDay279				150	绝学·一阳指						
