TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ShowType
579	红药瓶小	test29	34	129	3		test	999	测试道具，该ID尚未被用		1	1	1000		1	1	99999											
580	红药瓶中	test30	34	130	3		test	999	测试道具，该ID尚未被用		1	1	1000		1	1	99999											
581	蓝药瓶小	test31	34	131	3		test	999	测试道具，该ID尚未被用		1	1	1000		1	1	99999											
582	蓝药瓶中	test32	34	132	3		test	999	测试道具，该ID尚未被用		1	1	1000		1	1	99999											
213	未雕琢的神秘矿石	mystery_stone_1	34	213	213		MysteryStone	2	装备强化至+20后，进行突破所需的材料。\n4个相同矿石可合成1个高级矿石	20000	1	3	1000	1	1	1	99999											
214	普通的神秘矿石	mystery_stone_2	34	214	214		MysteryStone	2	装备强化至+40后，进行突破所需的材料。\n4个相同矿石可合成1个高级矿石	80000	1	3	1000	2	1	1	99999											
215	无瑕的神秘矿石	mystery_stone_3	34	215	215		MysteryStone	2	装备强化至+60后，进行突破所需的材料。\n4个相同矿石可合成1个高级矿石	320000	1	3	1000	3	1	1	99999											
216	璀璨的神秘矿石	mystery_stone_4	34	216	216		MysteryStone	2	装备强化至+80后，进行突破所需的材料。\n4个相同矿石可合成1个高级矿石	810000	1	3	1000	4	1	1	99999											
217	完美的神秘矿石	mystery_stone_5	34	217	217		MysteryStone	2	装备强化至+100后，进行突破所需的材料。\n已达到最高级，不可再合成	1280000	1	3	1000	5	1	1	99999											
218	神秘矿石（占ID）	mystery_stone_6	34	218	218			2	强化+50后突破		1	3	1000	6	1	1	99999											
219	神秘矿石（占ID）	mystery_stone_7	34	219	219			2	强化+50后突破		1	3	1000	7	1	1	99999											
221	神秘矿石（占ID）	mystery_stone_8	34	221	221			2	强化+50后突破		1	3	1000	7	1	1	99999											
220	神秘矿石（占ID）	mystery_stone_9	34	220	220			2	强化+50后突破		1	3	1000	7	1	1	99999											
598	初级技能书（同伴）	Partner_SkillExp_1	35	598	598		PartnerSkillExpItem	6	给同伴技能增加经验	10000	1	1	1000	3	1	0	99999	10000										
599	中级技能书（同伴）	Partner_SkillExp_2	35	599	599		PartnerSkillExpItem	6	给同伴技能增加经验	50000	1	1	1000	4	1	0	99999	50000										
600	高级技能书（同伴）	Partner_SkillExp_3	35	600	600		PartnerSkillExpItem	6	给同伴技能增加经验	300000	1	1	1000	13	1	0	99999	300000										
601	同伴经验药水	Partner_Exp	35	601	601		PartnerExpItem	5	使用后可以给指定的同伴增加经验	500	1	1	1500		1	1	99999	1500										
1016	强效同伴经验药水	Partner_Exp_Plus	35	1016	1016		PartnerExpItem	5	使用后可以给指定的同伴增加经验	5000	1	1	15000	2	1	1	99999	15000										
1342	特效同伴经验药水	Partner_Exp_Plus2	35	1342	1342		PartnerExpItem	5	使用后可以给指定的同伴增加经验	50000	1	1	150000	3	1	1	99999	150000										
736	碧玉扳指	antique_1	34	736	736		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
737	翡翠手镯	antique_2	34	737	737		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
738	青花瓷瓶	antique_3	34	738	738		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
739	鎏金银盘	antique_4	34	739	739		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
740	铜编钟	antique_5	34	740	740		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
741	白玉钗	antique_6	34	741	741		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
742	墨玉砚	antique_7	34	742	742		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
743	青竹简	antique_8	34	743	743		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
744	七弦古琴	antique_9	34	744	744		TaskItem	10	古董级别：[6cdd00]2级（珍贵）[-]\n\n古董可用来完成商会任务（30级开启）	24000	1	1	1000	2	1	1	99999											
745	千手观音	antique_10	34	745	745		TaskItem	10	古董级别：[6cdd00]2级（珍贵）[-]\n\n古董可用来完成商会任务（30级开启）	24000	1	1	1000	2	1	1	99999											
746	长明宫灯	antique_11	34	746	746		TaskItem	10	古董级别：[6cdd00]2级（珍贵）[-]\n\n古董可用来完成商会任务（30级开启）	24000	1	1	1000	2	1	1	99999											
747	青铜大鼎	antique_12	34	747	747		TaskItem	10	古董级别：[11c6fd]3级（稀有）[-]\n\n古董可用来完成商会任务（30级开启）	60000	1	1	1000	3	1	1	99999											
749	武神黄金箱	BossBoxA1	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，前[FFFE0D]400[-]以上自动扣除[FFFE0D]1000[-]荣誉兑换\n\n可能获得：\n[FFFE0D]2阶稀有项链、2阶传承项链、魂石·杨铁心、贡献[-]		1	1	1000	4	1	0	99999	749										
750	武神黄金箱	BossBoxA2	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，前[FFFE0D]400[-]以上自动扣除[FFFE0D]1000[-]荣誉兑换\n\n可能获得：\n[FFFE0D]3阶稀有项链、3阶传承项链、魂石·杨铁心、贡献[-]		1	1	1000	4	1	0	99999	750										
751	武神黄金箱	BossBoxB1	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，前[FFFE0D]400[-]以上自动扣除[FFFE0D]1000[-]荣誉兑换\n\n可能获得：\n[FFFE0D]4阶稀有项链碎片、4阶传承项链、魂石·杨铁心、贡献[-]		1	1	1000	4	1	0	99999	751										
752	武神黄金箱	BossBoxB2	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，前[FFFE0D]400[-]以上自动扣除[FFFE0D]1000[-]荣誉兑换\n\n可能获得：\n[FFFE0D]5阶稀有项链碎片、5阶传承项链碎片、魂石·杨瑛、魂石·杨铁心、贡献[-]		1	1	1000	4	1	0	99999	752										
753	武神黄金箱	BossBoxC1	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，前[FFFE0D]400[-]以上自动扣除[FFFE0D]1000[-]荣誉兑换\n\n可能获得：\n[FFFE0D]5阶稀有项链碎片、5阶传承项链碎片、魂石·杨瑛、魂石·杨铁心、贡献[-]		1	1	1000	4	1	0	99999	753										
754	武神白银箱	BossBoxC2	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，自动扣除[FFFE0D]500[-]荣誉兑换\n\n可能获得：\n[FFFE0D]2阶传承项链、魂石·杨铁心、贡献[-]		1	1	1000	3	1	0	99999	754										
760	武神白银箱	BossBoxD1	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，自动扣除[FFFE0D]500[-]荣誉兑换\n\n可能获得：\n[FFFE0D]3阶传承项链、魂石·杨铁心、贡献[-]		1	1	1000	3	1	0	99999	760										
761	武神白银箱	BossBoxE1	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，自动扣除[FFFE0D]500[-]荣誉兑换\n\n可能获得：\n[FFFE0D]4阶传承项链碎片、魂石·杨铁心、贡献[-]		1	1	1000	3	1	0	99999	761										
762	武神白银箱	BossBoxD2	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，自动扣除[FFFE0D]500[-]荣誉兑换\n\n可能获得：\n[FFFE0D]5阶传承项链碎片、魂石·杨铁心、贡献[-]		1	1	1000	3	1	0	99999	762										
763	武神白银箱	BossBoxE2	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，自动扣除[FFFE0D]500[-]荣誉兑换\n\n可能获得：\n[FFFE0D]5阶传承项链碎片、魂石·杨铁心、贡献[-]		1	1	1000	3	1	0	99999	763										
755	战场黄金宝箱	Battle_award_1	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	4	1	0	99999	2										
756	战场宝箱	Battle_award_2	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	3	1	0	99999	2										
757	战场宝箱	Battle_award_3	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	3	1	0	99999	2										
758	战场宝箱	Battle_award_4	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	3	1	0	99999	2										
759	战场宝箱	Battle_award_5	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	3	1	0	99999	2										
2148	战场白银宝箱	Battle_silve_box1	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	3	1	0	99999	31										
764	初级修为书	SkillExp_200	34	598	598		SkillBookExp	1	研习后，增加200点修为，可用来升级门派秘籍	20000	1	1	1000		1	0	99999	200										
2395	中级修为书	SkillExp_Lv2	34	599	599		SkillBookExp	1	研习后，增加1000点修为，可用来升级门派秘籍	20000	1	1	1000	3	1	0	99999	1000										
2396	高级修为书	SkillExp_Lv3	34	600	600		SkillBookExp	1	研习后，增加10000点修为，可用来升级门派秘籍	1000000	1	1	1000	4	1	0	99999	10000										
7121	初级修为典籍	SkillExp_Lv2_Unsellable	34	599	599		SkillBookExp	1	研习后，增加[FFFE0D]1000点修为[-]，可用来升级门派秘籍	20000	1	1	1000	3	1	0	99999	1000										
7122	中级修为典籍	SkillExp_Lv3_Unsellable	34	600	600		SkillBookExp	1	研习后，增加[FFFE0D]10000点修为[-]，可用来升级门派秘籍	1000000	1	1	1000	4	1	0	99999	10000										
765	名将挑战宝箱	Boss_AttendAward_1	34	100	100		RandomItemByLevel	1	参与历代名将挑战获得的宝箱	20000	1	1	1000	3	1	0	99999	3										
766	名将挑战宝箱	Boss_AttendAward_2	34	100	100		RandomItemByLevel	1	参与历代名将挑战获得的宝箱	20000	1	1	1000	3	1	0	99999	3										
767	名将挑战宝箱	Boss_AttendAward_3	34	100	100		RandomItemByLevel	1	参与历代名将挑战获得的宝箱	20000	1	1	1000	3	1	0	99999	3										
768	名将挑战宝箱	Boss_AttendAward_4	34	100	100		RandomItemByLevel	1	参与历代名将挑战获得的宝箱	20000	1	1	1000	3	1	0	99999	3										
769	名将挑战宝箱	Boss_AttendAward_5	34	100	100		RandomItemByLevel	1	参与历代名将挑战获得的宝箱	20000	1	1	1000	3	1	0	99999	3										
770	名将击杀宝箱	FieldBoss_Award_1	34	100	100		RandomItemByLevel	1	击杀历代名将获得的宝箱	20000	1	1	1000	2	1	0	99999	4										
771	名将击杀宝箱	FieldBoss_Award_2	34	100	100		RandomItemByLevel	1	击杀历代名将获得的宝箱	20000	1	1	1000	2	1	0	99999	4										
772	名将击杀宝箱	FieldBoss_Award_3	34	100	100		RandomItemByLevel	1	击杀历代名将获得的宝箱	20000	1	1	1000	2	1	0	99999	4										
773	名将击杀宝箱	FieldBoss_Award_4	34	100	100		RandomItemByLevel	1	击杀历代名将获得的宝箱	20000	1	1	1000	2	1	0	99999	4										
774	名将击杀宝箱	FieldBoss_Award_5	34	100	100		RandomItemByLevel	1	击杀历代名将获得的宝箱	20000	1	1	1000	2	1	0	99999	4										
775	首领挑战宝箱	Leader_AttendAward_1	34	100	100		RandomItemByLevel	1	参与首领挑战获得的宝箱	20000	1	1	1000	2	1	0	99999	5										
776	首领挑战宝箱	Leader_AttendAward_2	34	100	100		RandomItemByLevel	1	参与首领挑战获得的宝箱	20000	1	1	1000	2	1	0	99999	5										
777	首领挑战宝箱	Leader_AttendAward_3	34	100	100		RandomItemByLevel	1	参与首领挑战获得的宝箱	20000	1	1	1000	2	1	0	99999	5										
778	首领挑战宝箱	Leader_AttendAward_4	34	100	100		RandomItemByLevel	1	参与首领挑战获得的宝箱	20000	1	1	1000	2	1	0	99999	5										
779	首领挑战宝箱	Leader_AttendAward_5	34	100	100		RandomItemByLevel	1	参与首领挑战获得的宝箱	20000	1	1	1000	2	1	0	99999	5										
947	寒玉鹿王	FieldLeader_Award_1_1	34	100	100		RandomItem	1	击杀首领寒玉鹿王获得的宝箱	20000	1	1	1000		1	0	99999	947	1									
948	大地狼王	FieldLeader_Award_1_2	34	100	100		RandomItem	1	击杀首领大地狼王获得的宝箱	20000	1	1	1000		1	0	99999	948	1									
949	白眉猴王	FieldLeader_Award_1_3	34	100	100		RandomItem	1	击杀首领白眉猴王获得的宝箱	20000	1	1	1000		1	0	99999	949	1									
950	首领击杀宝箱（废弃）	FieldLeader_Award_1_4	34	100	100		RandomItemByLevel	1	击杀首领寒玉鹿王获得的宝箱	20000	1	1	1000		1	0	99999	6	1									
951	首领击杀宝箱（废弃）	FieldLeader_Award_1_5	34	100	100		RandomItemByLevel	1	击杀首领寒玉鹿王获得的宝箱	20000	1	1	1000		1	0	99999	6	1									
952	九尾狐王	FieldLeader_Award_2_1	34	100	100		RandomItem	1	击杀首领九尾狐王获得的宝箱	20000	1	1	1000		1	0	99999	952	1									
953	奔焰豹王	FieldLeader_Award_2_2	34	100	100		RandomItem	1	击杀首领奔焰豹王获得的宝箱	20000	1	1	1000		1	0	99999	953	1									
954	双首异兽	FieldLeader_Award_2_3	34	100	100		RandomItem	1	击杀首领双首异兽获得的宝箱	20000	1	1	1000		1	0	99999	954	1									
955	九尾狐王	FieldLeader_Award_2_4	34	100	100		RandomItem	1	击杀首领九尾狐王获得的宝箱	20000	1	1	1000		1	0	99999	955	1									
956	奔焰豹王	FieldLeader_Award_2_5	34	100	100		RandomItem	1	击杀首领奔焰豹王获得的宝箱	20000	1	1	1000		1	0	99999	956	1									
2224	双首异兽	FieldLeader_Award_2_6	34	100	100		RandomItem	1	击杀首领双首异兽获得的宝箱	20000	1	1	1000		1	0	99999	2234	1									
957	定海金刚	FieldLeader_Award_3_1	34	100	100		RandomItem	1	击杀首领定海金刚获得的宝箱	20000	1	1	1000		1	0	99999	957	1									
958	金翅鹏皇	FieldLeader_Award_3_2	34	100	100		RandomItem	1	击杀首领金翅鹏皇获得的宝箱	20000	1	1	1000		1	0	99999	958	1									
959	银角犀皇	FieldLeader_Award_3_3	34	100	100		RandomItem	1	击杀首领银角犀皇获得的宝箱	20000	1	1	1000		1	0	99999	959	1									
960	定海金刚	FieldLeader_Award_3_4	34	100	100		RandomItem	1	击杀首领定海金刚获得的宝箱	20000	1	1	1000		1	0	99999	960	1									
961	金翅鹏皇	FieldLeader_Award_3_5	34	100	100		RandomItem	1	击杀首领金翅鹏皇获得的宝箱	20000	1	1	1000		1	0	99999	961	1									
2522	银角犀皇	FieldLeader_Award_3_6	34	100	100		RandomItem	1	击杀首领银角犀皇获得的宝箱	20000	1	1	1000		1	0	99999	2522	1									
962	赤睛虎皇	FieldLeader_Award_4_1	34	100	100		RandomItem	1	击杀首领赤睛虎皇获得的宝箱	20000	1	1	1000		1	0	99999	962	1									
963	撼天熊皇	FieldLeader_Award_4_2	34	100	100		RandomItem	1	击杀首领撼天熊皇获得的宝箱	20000	1	1	1000		1	0	99999	963	1									
964	紫背鳄皇	FieldLeader_Award_4_3	34	100	100		RandomItem	1	击杀首领紫背鳄皇获得的宝箱	20000	1	1	1000		1	0	99999	964	1									
965	赤睛虎皇	FieldLeader_Award_4_4	34	100	100		RandomItem	1	击杀首领赤睛虎皇获得的宝箱	20000	1	1	1000		1	0	99999	965	1									
966	撼天熊皇	FieldLeader_Award_4_5	34	100	100		RandomItem	1	击杀首领撼天熊皇获得的宝箱	20000	1	1	1000		1	0	99999	966	1									
3421	紫背鳄皇	FieldLeader_Award_4_6	34	100	100		RandomItem	1	击杀首领紫背鳄皇获得的宝箱	20000	1	1	1000		1	0	99999	3421	1									
4598	冰鳞蜥皇	FieldLeader_Award_5_1	34	100	100		RandomItem	1	击杀首领冰鳞蜥皇获得的宝箱	20000	1	1	1000		1	0	99999	4598	1									
4599	银钩蝎皇	FieldLeader_Award_5_2	34	100	100		RandomItem	1	击杀首领银钩蝎皇获得的宝箱	20000	1	1	1000		1	0	99999	4599	1									
4600	狂鬃獒皇	FieldLeader_Award_5_3	34	100	100		RandomItem	1	击杀首领狂鬃獒皇获得的宝箱	20000	1	1	1000		1	0	99999	4600	1									
4601	冰鳞蜥皇	FieldLeader_Award_5_4	34	100	100		RandomItem	1	击杀首领冰鳞蜥皇获得的宝箱	20000	1	1	1000		1	0	99999	4601	1									
4602	银钩蝎皇	FieldLeader_Award_5_5	34	100	100		RandomItem	1	击杀首领银钩蝎皇获得的宝箱	20000	1	1	1000		1	0	99999	4602	1									
4603	狂鬃獒皇	FieldLeader_Award_5_6	34	100	100		RandomItem	1	击杀首领狂鬃獒皇获得的宝箱	20000	1	1	1000		1	0	99999	4603	1									
7425	龙纹狮王	FieldLeader_Award_lv120_1	34	100	100		RandomItem	1	击杀首领龙纹狮王获得的宝箱	20000	1	1	1000		1	0	99999	7425	1									
7426	巨螯蜂后	FieldLeader_Award_lv120_2	34	100	100		RandomItem	1	击杀首领巨螯蜂后获得的宝箱	20000	1	1	1000		1	0	99999	7426	1									
7427	龙纹狮王	FieldLeader_Award_lv130_1	34	100	100		RandomItem	1	击杀首领龙纹狮王获得的宝箱	20000	1	1	1000		1	0	99999	7427	1									
7428	巨螯蜂后	FieldLeader_Award_lv130_2	34	100	100		RandomItem	1	击杀首领巨螯蜂后获得的宝箱	20000	1	1	1000		1	0	99999	7428	1									
7492	龙纹狮王	FieldLeader_Award_lv140_1	34	100	100		RandomItem	1	击杀首领龙纹狮王获得的宝箱	20000	1	1	1000		1	0	99999	7492	1									
7493	巨螯蜂后	FieldLeader_Award_lv140_2	34	100	100		RandomItem	1	击杀首领巨螯蜂后获得的宝箱	20000	1	1	1000		1	0	99999	7493	1									
8357	龙纹狮王	FieldLeader_Award_lv150_1	34	100	100		RandomItem	1	击杀首领龙纹狮王获得的宝箱	20000	1	1	1000		1	0	99999	8357	1									
8358	巨螯蜂后	FieldLeader_Award_lv150_2	34	100	100		RandomItem	1	击杀首领巨螯蜂后获得的宝箱	20000	1	1	1000		1	0	99999	8358	1									
9796	龙纹狮王	FieldLeader_Award_lv160_1	34	100	100		RandomItem	1	击杀首领龙纹狮王获得的宝箱	20000	1	1	1000		1	0	99999	9796	1									
9797	巨螯蜂后	FieldLeader_Award_lv160_2	34	100	100		RandomItem	1	击杀首领巨螯蜂后获得的宝箱	20000	1	1	1000		1	0	99999	9797	1									
9998	万毒棘皇	FieldLeader_Award_lv140_3	34	100	100		RandomItem	1	击杀首领万毒棘皇获得的宝箱	20000	1	1	1000		1	0	99999	9998	1									
9999	玄冰貂皇	FieldLeader_Award_lv140_4	34	100	100		RandomItem	1	击杀首领玄冰貂皇获得的宝箱	20000	1	1	1000		1	0	99999	9999	1									
10000	万毒棘皇	FieldLeader_Award_lv150_3	34	100	100		RandomItem	1	击杀首领万毒棘皇获得的宝箱	20000	1	1	1000		1	0	99999	10000	1									
10001	玄冰貂皇	FieldLeader_Award_lv150_4	34	100	100		RandomItem	1	击杀首领玄冰貂皇获得的宝箱	20000	1	1	1000		1	0	99999	10001	1									
10002	万毒棘皇	FieldLeader_Award_lv160_3	34	100	100		RandomItem	1	击杀首领万毒棘皇获得的宝箱	20000	1	1	1000		1	0	99999	10002	1									
10003	玄冰貂皇	FieldLeader_Award_lv160_4	34	100	100		RandomItem	1	击杀首领玄冰貂皇获得的宝箱	20000	1	1	1000		1	0	99999	10003	1									
10433	龙纹狮王	FieldLeader_Award_lv170_1	34	100	100		RandomItem	1	击杀首领龙纹狮王获得的宝箱	20000	1	1	1000		1	0	99999	10433	1									
10434	巨螯蜂后	FieldLeader_Award_lv170_2	34	100	100		RandomItem	1	击杀首领巨螯蜂后获得的宝箱	20000	1	1	1000		1	0	99999	10434	1									
10435	万毒棘皇	FieldLeader_Award_lv170_3	34	100	100		RandomItem	1	击杀首领万毒棘皇获得的宝箱	20000	1	1	1000		1	0	99999	10435	1									
10436	玄冰貂皇	FieldLeader_Award_lv170_4	34	100	100		RandomItem	1	击杀首领玄冰貂皇获得的宝箱	20000	1	1	1000		1	0	99999	10436	1									
1414	通天塔1层宝箱	TongTian_floor1	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	1	1	0	99999	1414	1									
1415	通天塔2层宝箱	TongTian_floor2	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	2	1	0	99999	1415	1									
1416	通天塔3层宝箱	TongTian_floor3	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	2	1	0	99999	1416	1									
1417	通天塔4层宝箱	TongTian_floor4	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	3	1	0	99999	1417	1									
1418	通天塔5层宝箱	TongTian_floor5	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	3	1	0	99999	1418	1									
1419	通天塔6层宝箱	TongTian_floor6	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	4	1	0	99999	1419	1									
1420	通天塔7层宝箱	TongTian_floor7	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	4	1	0	99999	1420	1									
785	黄金钥匙	TheKey_1	34	101	101			1	可以用来开启一个[FFFE0D]黄金宝箱[-]	20000	1	1	1000	2	1	0	99999											
786	黄金宝箱	TheBox_1	34	100	100		OpenCase	1	需要消耗[FFFE0D]1把黄金钥匙[-]来开启\n随机获得一个物品，有可能获得[FFFE0D]家具材料、资质丹、水晶、随机魂石、随机同伴技能书、随机装备、银两[-]等奖励	20000	1	1	1000	2	1	0	99999	15										
787	藏宝图	Cangbaotu_1	34	787	787		CangBaoTu	1	江湖中流传甚广的普通藏宝图纸，上面记录着藏宝信息	10000	1	1	1000		1	0	99999	7	1									
