ParamId	nKey1	nCount1	nKey2	nCount2	nKey3	nCount3	nKey4	nCount4	nKey5	nCount5	nKey6	nCount6	nKey7	nCount7	nKey8	nCount8	nKey9	nCount9	nKey10	nCount10
786	785	1																		
998323	998322	1																		
995131	995141	1																		
995132	995142	1																		
995133	995143	1																		
995134	995144	1																		
995135	995145	1																		
995136	995146	1																		
995137	995147	1																		
995138	995148	1																		
995139	995149	1																		
995140	995150	1																		
