Index	NpcName	TitleID	NpcTemplateId	HideTaskId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	
enemy1	飞龙堡精锐		1247				30	2088	2132		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡精锐		1247				30	3241	1590		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡精锐		1247				30	2007	3875		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡精锐		1247				30	3091	3478		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡精锐		1247				30	2281	6252		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡精锐		1247				30	3815	7432		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡精锐		1247				30	4062	6187		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡精锐		1247				30	5929	7888		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡精锐		1247				30	5988	5758		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡精锐		1247				30	7554	6053		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡精锐		1247				30	7581	7952		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy2	无忧教弟子		1246				30	2222	6600		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy2	无忧教弟子		1246				30	2635	6123		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy2	无忧教弟子		1246				30	3488	7523		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy2	无忧教弟子		1246				30	3933	7115		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy2	无忧教弟子		1246				30	4174	6520		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy2	无忧教弟子		1246				30	3718	6209		-1	0	0	0	0	0	0	0	0	0	0	0	0
