TargetTemplateID	Desc	BagSort	IsHideItemTip	IsShowFrag	NoSellAttachTarget	IsHideTip	ConsumeType	ConsumeCount	KinMsg	ChildTemplateID1	NeedCount1	ChildTemplateID2	NeedCount2	ChildTemplateID3	NeedCount3	ChildTemplateID4	NeedCount4	ChildTemplateID5	NeedCount5	ChildTemplateID6	NeedCount6	ChildTemplateID7	NeedCount7	ChildTemplateID8	NeedCount8	ValidTime
788	高级藏宝图	1					Coin	2000		1424	1	1425	1	1426	1	1427	1	1428	1							
2592	粽子包	2					Coin	2000		2586	1	2587	1	2588	1	2589	1									
3403	感恩节礼盒	3					Coin	2000		3398	1	3399	1	3400	1	3401	1									
4808	兔子灯	4								4800	1	4807	1													
2688	花与酒	5					Coin	2000		2684	1	2685	1													
2690	诗与剑	6					Coin	2000		2686	1	2687	1													
2875	月饼	7				1	Coin	1000		2872	3	2873	1	2874	1											
5422	兔子灯	8								5420	4	5421	1													
7455	小白犬	93		1						7484	5															
7418	1阶稀有诀要随机卷	94		1						7419	3															
6148	天级同伴任选箱	10								7619	5															
7670	5级魂石任选箱	12		1	1					7671	3															
10149	初级魂石·叶无心（唯一）	12								10170	100															
10475	初级魂石·云浩然（唯一）	12								10478	100															
10896	剑心食盒	24								10894	5															
10903	粽子包	25					Coin	2000		10899	1	10900	1	10901	1	10902	1									
11061	初级魂石·本相(唯一)	12								11064	100															
11700	初级魂石·张承素(唯一)	12								11698	100															
11773	红袖锦囊	30	1							11767	1	11768	1	11769	1	11770	1	11771	1	11772	1
11775	主题·寒江雪	31		1						11911	3
12020	初级魂石·杨继周(唯一)	12								12023	100
4282	【稀有】太虚之灵	11								7620	3															
9445	五彩线	13								9440	1	9441	1	9442	1	9443	1	9444	1							
9448	九孔针	14								9446	9	9447	1													
10252	T3武器外装·20天	15								10254	5															
10449	初级魂石·天音(唯一)	26								10961	5															
10239	挂饰·新年金猪	16		1						10256	5															
5566	【稀有】16阶武器(未鉴定)	89		1						10316	10															
5567	【稀有】17阶武器(未鉴定)	87		1						10317	10															
5568	【稀有】18阶武器(未鉴定)	85		1						10318	10
5626	【稀有】16阶衣服(未鉴定)	89		1						10376	10															
5627	【稀有】17阶衣服(未鉴定)	87		1						10377	10															
5628	【稀有】18阶衣服(未鉴定)	85		1						10378	10
5576	【稀有】姹紫之链(未鉴定)	89		1						10326	10															
5577	【稀有】姹紫之链(未鉴定)	87		1						10327	10															
5578	【稀有】姹紫之链(未鉴定)	85		1						10328	10
5586	【稀有】衍花之戒(未鉴定)	89		1						10336	10															
5587	【稀有】衍花之戒(未鉴定)	87		1						10337	10															
5588	【稀有】衍花之戒(未鉴定)	85		1						10338	10
5596	【稀有】郁金佩(未鉴定)	89		1						10346	10															
5597	【稀有】郁金佩(未鉴定)	87		1						10347	10															
5598	【稀有】郁金佩(未鉴定)	85		1						10348	10
5606	【稀有】比翼符(未鉴定)	89		1						10356	10															
5607	【稀有】比翼符(未鉴定)	87		1						10357	10															
5608	【稀有】比翼符(未鉴定)	85		1						10358	10
5616	【稀有】16阶帽子(未鉴定)	89		1						10366	10															
5617	【稀有】17阶帽子(未鉴定)	87		1						10367	10															
5618	【稀有】18阶帽子(未鉴定)	85		1						10368	10
5636	【稀有】16阶护腕(未鉴定)	89		1						10386	10															
5637	【稀有】17阶护腕(未鉴定)	87		1						10387	10															
5638	【稀有】18阶护腕(未鉴定)	85		1						10388	10
5646	【稀有】16阶腰带(未鉴定)	89		1						10396	10															
5647	【稀有】17阶腰带(未鉴定)	87		1						10397	10															
5648	【稀有】18阶腰带(未鉴定)	85		1						10398	10
5656	【稀有】16阶鞋子(未鉴定)	89		1						10406	10															
5657	【稀有】17阶鞋子(未鉴定)	87		1						10407	10															
5658	【稀有】18阶鞋子(未鉴定)	85		1						10408	10
