Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
citynpc1	唐影	100	620	200	1	99	10000	11000	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc2	陆文龙		630	150		99	5930	11625	34	-1	0	0		0	0	0	0	0	0	0	0	
citynpc3	纳兰真	128	90	200	1	99	8094	11650	24	-1	0	0		0	0	0	0	0	0	0	0	
citynpc4	紫轩	121	622	150	1	99	11354	4884	48	-1	0	0		0	0	0	0	0	0	0	0	
citynpc5	纳兰潜凛	151	629	150	1	99	6682	7118	24	-1	0	0		0	0	0	0	0	0	0	0	
citynpc6	小殷方	106	623	150		99	7759	7165	16	-1	0	0		0	0	0	0	0	0	0	0	
citynpc7	孟知秋	107	100	150		99	13120	14900	55	-1	0	0		0	0	0	0	0	0	0	0	
citynpc8	月眉儿		97	150		99	11870	12950	40	-1	0	0		0	0	0	0	0	0	0	0	
citynpc9	公孙惜花	110	99	150		99	14100	8150	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc10	玄天道人		626	150		99	17700	11250	45	-1	0	0		0	0	0	0	0	0	0	0	
citynpc11	家族总管		627	150		99	11072	17028	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc12	杨影枫	113	624	150		99	8777	11800	52	-1	0	0		0	0	0	0	0	0	0	0	
citynpc13	独孤剑	114	88	150		99	14000	10210	54	-1	0	0		0	0	0	0	0	0	0	0	
citynpc14	张琳心	101	621	200	1	99	14160	10450	41	-1	0	0		0	0	0	0	0	0	0	0	
citynpc15	杨瑛		633	150		99	13770	9980	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc16	燕若雪		631	150	1	99	12471	13956	16	-1	0	0		0	0	0	0	0	0	0	0	
citynpc17	蔷薇		632	150		99	8790	10650	50	-1	0	0		0	0	0	0	0	0	0	0	
citynpc18	张如梦	108	625	150		99	13333	8730	38	-1	0	0		0	0	0	0	0	0	0	0	
