Type	Target	StartFrame	EndFrame	Value1	Value2
Move	TxtGroup	0	1	{537.8600,0.0000,0.0000}	{488.1477,0.0000,0.0000}
Move	TxtGroup	1	2	{488.1477,0.0000,0.0000}	{438.4354,0.0000,0.0000}
Move	TxtGroup	2	3	{438.4354,0.0000,0.0000}	{404.1000,0.0000,0.0000}
Move	TxtGroup	3	4	{404.1000,0.0000,0.0000}	{391.3915,0.0000,0.0000}
Move	TxtGroup	4	5	{391.3915,0.0000,0.0000}	{382.5497,0.0000,0.0000}
Move	TxtGroup	5	6	{382.5497,0.0000,0.0000}	{376.7078,0.0000,0.0000}
Move	TxtGroup	6	7	{376.7078,0.0000,0.0000}	{372.9987,0.0000,0.0000}
Move	TxtGroup	7	8	{372.9987,0.0000,0.0000}	{370.5556,0.0000,0.0000}
Move	TxtGroup	8	9	{370.5556,0.0000,0.0000}	{368.5117,0.0000,0.0000}
Move	TxtGroup	9	10	{368.5117,0.0000,0.0000}	{366.0000,0.0000,0.0000}
Scalc	BtnRetract	0	1	{-1.0000,1.0000,1.0000}	{-3.0000,1.0000,1.0000}
Scalc	BtnRetract	1	2	{-3.0000,1.0000,1.0000}	{-2.8933,1.0000,1.0000}
Scalc	BtnRetract	2	3	{-2.8933,1.0000,1.0000}	{-2.6190,1.0000,1.0000}
Scalc	BtnRetract	3	4	{-2.6190,1.0000,1.0000}	{-2.2420,1.0000,1.0000}
Scalc	BtnRetract	4	5	{-2.2420,1.0000,1.0000}	{-1.8268,1.0000,1.0000}
Scalc	BtnRetract	5	6	{-1.8268,1.0000,1.0000}	{-1.4382,1.0000,1.0000}
Scalc	BtnRetract	6	7	{-1.4382,1.0000,1.0000}	{-1.1411,1.0000,1.0000}
Scalc	BtnRetract	7	8	{-1.1411,1.0000,1.0000}	{-1.0000,1.0000,1.0000}
