Type	Target	StartFrame	EndFrame	Value1	Value2
Commander		0	0	self.pPanel:SetActive("Muxie", true)	
Move	muxie01	0	37	{195,-35,0}	{195,-35,0}
Move	muxie01	37	41	{195,-35,0}	{208.5672,-47.98722,15.73984}
Move	muxie01	41	50	{208.5672,-47.98722,15.73984}	{264.9737,-107.1273,78.24735}
Move	muxie01	50	54	{264.9737,-107.1273,78.24735}	{284.7261,-127.4642,103.1525}
Move	muxie01	54	57	{284.7261,-127.4642,103.1525}	{291,-133,115}
Move	muxie02	0	122	{195,-35,0}	{195,-35,0}
Move	muxie02	122	126	{195,-35,0}	{208.5672,-47.98722,15.73984}
Move	muxie02	126	135	{208.5672,-47.98722,15.73984}	{264.9737,-107.1273,78.24735}
Move	muxie02	136	139	{264.9737,-107.1273,78.24735}	{284.7261,-127.4642,103.1525}
Move	muxie02	139	142	{284.7261,-127.4642,103.1525}	{291,-133,115}
Commander		142	142	self.pPanel:SetActive("Muxie", false)	
