Type	Target	StartFrame	EndFrame	Value1	Value2
Move	BtnSelect	0	1	{10.0000,261.0000,0.0000}	{-17.0000,261.0000,0.0000}
Move	BtnSelect	1	2	{-17.0000,261.0000,0.0000}	{-44.0000,261.0000,0.0000}
Move	BtnSelect	2	3	{-44.0000,261.0000,0.0000}	{-71.0000,261.0000,0.0000}
Move	BtnSelect	3	4	{-71.0000,261.0000,0.0000}	{-98.0000,261.0000,0.0000}
Move	BtnSelect	4	5	{-98.0000,261.0000,0.0000}	{-125.0000,261.0000,0.0000}
Move	BtnSelect	5	6	{-125.0000,261.0000,0.0000}	{-152.0000,261.0000,0.0000}
Move	BtnSelect	6	7	{-152.0000,261.0000,0.0000}	{-179.0000,261.0000,0.0000}
Alpha	BtnSelect	2	3	0.0000	0.1360
Alpha	BtnSelect	3	4	0.1360	0.3280
Alpha	BtnSelect	4	5	0.3280	0.5520
Alpha	BtnSelect	5	6	0.5520	0.7840
Alpha	BtnSelect	6	7	0.7840	1.0000
Move	SchoolSubs	1	2	{150.0000,45.0000,0.0000}	{100.4299,45.0000,0.0000}
Move	SchoolSubs	2	3	{100.4299,45.0000,0.0000}	{50.6563,45.0000,0.0000}
Move	SchoolSubs	3	4	{50.6563,45.0000,0.0000}	{2.7732,45.0000,0.0000}
Move	SchoolSubs	4	5	{2.7732,45.0000,0.0000}	{-41.1256,45.0000,0.0000}
Move	SchoolSubs	5	6	{-41.1256,45.0000,0.0000}	{-78.9461,45.0000,0.0000}
Move	SchoolSubs	6	7	{-78.9461,45.0000,0.0000}	{-108.5946,45.0000,0.0000}
Move	SchoolSubs	7	8	{-108.5946,45.0000,0.0000}	{-127.9772,45.0000,0.0000}
Move	SchoolSubs	8	9	{-127.9772,45.0000,0.0000}	{-135.0000,45.0000,0.0000}
Alpha	SchoolSubs	5	6	0.0000	0.1656
Alpha	SchoolSubs	6	7	0.1656	0.4250
Alpha	SchoolSubs	7	8	0.4250	0.7219
Alpha	SchoolSubs	8	9	0.7219	1.0000
Alpha	BtnTitles	5	6	0.0000	0.2296
Alpha	BtnTitles	6	7	0.2296	0.6148
Alpha	BtnTitles	7	8	0.6148	1.0000
AnchorMove	Anchor4	2	3	{40.0000,0.0000,0.0000}	{32.0000,0.0000,0.0000}
AnchorMove	Anchor4	3	4	{32.0000,0.0000,0.0000}	{24.0000,0.0000,0.0000}
AnchorMove	Anchor4	4	5	{24.0000,0.0000,0.0000}	{16.0000,0.0000,0.0000}
AnchorMove	Anchor4	5	6	{16.0000,0.0000,0.0000}	{8.0000,0.0000,0.0000}
AnchorMove	Anchor4	6	7	{8.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
AnchorMove	Anchor2	8	9	{40.0000,0.0000,0.0000}	{19.2674,0.0000,0.0000}
AnchorMove	Anchor2	9	10	{19.2674,0.0000,0.0000}	{5.3736,0.0000,0.0000}
AnchorMove	Anchor2	10	11	{5.3736,0.0000,0.0000}	{-1.2070,0.0000,0.0000}
AnchorMove	Anchor2	11	12	{-1.2070,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Alpha	Anchor2	7	8	0.0000	0.2000
Alpha	Anchor2	8	9	0.2000	0.4000
Alpha	Anchor2	9	10	0.4000	0.6000
Alpha	Anchor2	10	11	0.6000	0.8000
Alpha	Anchor2	11	12	0.8000	1.0000
AnchorMove	Anchor3	0	1	{-700.0000,0.0000,0.0000}	{-612.5000,0.0000,0.0000}
AnchorMove	Anchor3	1	2	{-612.5000,0.0000,0.0000}	{-525.0000,0.0000,0.0000}
AnchorMove	Anchor3	2	3	{-525.0000,0.0000,0.0000}	{-437.5000,0.0000,0.0000}
AnchorMove	Anchor3	3	4	{-437.5000,0.0000,0.0000}	{-350.0000,0.0000,0.0000}
AnchorMove	Anchor3	4	5	{-350.0000,0.0000,0.0000}	{-262.5000,0.0000,0.0000}
AnchorMove	Anchor3	5	6	{-262.5000,0.0000,0.0000}	{-175.0000,0.0000,0.0000}
AnchorMove	Anchor3	6	7	{-175.0000,0.0000,0.0000}	{-87.5001,0.0000,0.0000}
AnchorMove	Anchor3	7	8	{-87.5001,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Scalc	BtnArrow3	0	1	{1.0000,1.0000,1.0000}	{0.4375,0.4375,0.4375}
Scalc	BtnArrow3	1	2	{0.4375,0.4375,0.4375}	{0.0000,0.0000,0.0000}
Scalc	BtnArrow3	2	3	{0.0000,0.0000,0.0000}	{-0.0625,-0.0625,-0.0625}
Scalc	BtnArrow3	3	4	{-0.0625,-0.0625,-0.0625}	{0.0000,0.0000,0.0000}
Scalc	BtnArrow3	4	5	{0.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Scalc	BtnArrow3	5	6	{0.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Scalc	BtnArrow3	6	7	{0.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Scalc	BtnArrow3	7	8	{0.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Scalc	BtnArrow3	8	9	{0.0000,0.0000,0.0000}	{1.0000,1.0000,1.0000}
Scalc	BtnArrow3	9	10	{1.0000,1.0000,1.0000}	{1.4625,1.4625,1.1250}
Scalc	BtnArrow3	10	11	{1.4625,1.4625,1.1250}	{1.6000,1.6000,1.0000}
Scalc	BtnArrow3	11	12	{1.6000,1.6000,1.0000}	{1.3750,1.3750,1.0000}
Scalc	BtnArrow3	12	13	{1.3750,1.3750,1.0000}	{1.0000,1.0000,1.0000}
Rotation	BtnArrow3	0	1	{0.0000,-180.0000,-360.0000}	{0.0000,-156.2695,-360.0000}
Rotation	BtnArrow3	1	2	{0.0000,-156.2695,-360.0000}	{0.0000,-130.7813,-360.0000}
Rotation	BtnArrow3	2	3	{0.0000,-130.7813,-360.0000}	{0.0000,-104.5899,-360.0000}
Rotation	BtnArrow3	3	4	{0.0000,-104.5899,-360.0000}	{0.0000,-78.7500,-360.0000}
Rotation	BtnArrow3	4	5	{0.0000,-78.7500,-360.0000}	{0.0000,-54.3164,-360.0000}
Rotation	BtnArrow3	5	6	{0.0000,-54.3164,-360.0000}	{0.0000,-32.3438,-360.0000}
Rotation	BtnArrow3	6	7	{0.0000,-32.3438,-360.0000}	{0.0000,-13.8867,-360.0000}
Rotation	BtnArrow3	7	8	{0.0000,-13.8867,-360.0000}	{0.0000,0.0000,-360.0000}
Rotation	BtnArrow3	8	9	{0.0000,0.0000,-360.0000}	{0.0000,5.0000,-360.0000}
Rotation	BtnArrow3	9	10	{0.0000,5.0000,-360.0000}	{0.0000,2.5000,-360.0000}
Rotation	BtnArrow3	10	11	{0.0000,2.5000,-360.0000}	{0.0000,0.0000,-360.0000}
Rotation	BtnArrow3	11	12	{0.0000,0.0000,-360.0000}	{0.0000,0.0000,-360.0000}
Rotation	BtnArrow3	12	13	{0.0000,0.0000,-360.0000}	{0.0000,0.0000,-360.0000}
AnchorMove	BtnAnchor	0	1	{0.0000,0.0000,0.0000}	{17.4375,0.0000,0.0000}
AnchorMove	BtnAnchor	1	2	{17.4375,0.0000,0.0000}	{31.0000,0.0000,0.0000}
AnchorMove	BtnAnchor	2	3	{31.0000,0.0000,0.0000}	{38.4400,0.0000,0.0000}
AnchorMove	BtnAnchor	3	4	{38.4400,0.0000,0.0000}	{44.0200,0.0000,0.0000}
AnchorMove	BtnAnchor	4	5	{44.0200,0.0000,0.0000}	{45.8800,0.0000,0.0000}
AnchorMove	BtnAnchor	5	6	{45.8800,0.0000,0.0000}	{42.1600,0.0000,0.0000}
AnchorMove	BtnAnchor	6	7	{42.1600,0.0000,0.0000}	{31.0000,0.0000,0.0000}
AnchorMove	BtnAnchor	7	8	{31.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Move	maleBTN	0	1	{400.0000,-166.0000,0.0000}	{333.3333,-166.0000,0.0000}
