Type	Target	StartFrame	EndFrame	Value1	Value2
AnchorMove	Anchor3	0	1	{-700.0000,0.0000,0.0000}	{-614.6296,0.0000,0.0000}
AnchorMove	Anchor3	1	2	{-614.6296,0.0000,0.0000}	{-529.2593,0.0000,0.0000}
AnchorMove	Anchor3	2	3	{-529.2593,0.0000,0.0000}	{-450.0000,0.0000,0.0000}
AnchorMove	Anchor3	3	4	{-450.0000,0.0000,0.0000}	{-378.3333,0.0000,0.0000}
AnchorMove	Anchor3	4	5	{-378.3333,0.0000,0.0000}	{-320.0000,0.0000,0.0000}
AnchorMove	Anchor3	5	6	{-320.0000,0.0000,0.0000}	{-282.0313,0.0000,0.0000}
AnchorMove	Anchor3	6	7	{-282.0313,0.0000,0.0000}	{-256.2500,0.0000,0.0000}
AnchorMove	Anchor3	7	8	{-256.2500,0.0000,0.0000}	{-232.3438,0.0000,0.0000}
AnchorMove	Anchor3	8	9	{-232.3438,0.0000,0.0000}	{-200.0000,0.0000,0.0000}
AnchorMove	Anchor3	9	10	{-200.0000,0.0000,0.0000}	{-155.6250,0.0000,0.0000}
AnchorMove	Anchor3	10	11	{-155.6250,0.0000,0.0000}	{-105.0000,0.0000,0.0000}
AnchorMove	Anchor3	11	12	{-105.0000,0.0000,0.0000}	{-51.8750,0.0000,0.0000}
AnchorMove	Anchor3	12	13	{-51.8750,0.0000,0.0000}	{0.0000,0.0000,0.0000}
AnchorMove	BtnAnchor	3	4	{0.0000,0.0000,0.0000}	{-1.1563,0.0000,0.0000}
AnchorMove	BtnAnchor	4	5	{-1.1563,0.0000,0.0000}	{-2.0000,0.0000,0.0000}
AnchorMove	BtnAnchor	5	6	{-2.0000,0.0000,0.0000}	{-2.2285,0.0000,0.0000}
AnchorMove	BtnAnchor	6	7	{-2.2285,0.0000,0.0000}	{-2.2031,0.0000,0.0000}
AnchorMove	BtnAnchor	7	8	{-2.2031,0.0000,0.0000}	{-1.9824,0.0000,0.0000}
AnchorMove	BtnAnchor	8	9	{-1.9824,0.0000,0.0000}	{-1.6250,0.0000,0.0000}
AnchorMove	BtnAnchor	9	10	{-1.6250,0.0000,0.0000}	{-1.1895,0.0000,0.0000}
AnchorMove	BtnAnchor	10	11	{-1.1895,0.0000,0.0000}	{-0.7344,0.0000,0.0000}
AnchorMove	BtnAnchor	11	12	{-0.7344,0.0000,0.0000}	{-0.3184,0.0000,0.0000}
AnchorMove	BtnAnchor	12	13	{-0.3184,0.0000,0.0000}	{0.0000,0.0000,0.0000}
