Type	Target	StartFrame	EndFrame	Value1	Value2
Move	TxtGroup	0	1	{366.0000,0.0000,0.0000}	{356.9259,0.0000,0.0000}
Move	TxtGroup	1	2	{356.9259,0.0000,0.0000}	{360.5929,0.0000,0.0000}
Move	TxtGroup	2	3	{360.5929,0.0000,0.0000}	{375.1198,0.0000,0.0000}
Move	TxtGroup	3	4	{375.1198,0.0000,0.0000}	{398.6255,0.0000,0.0000}
Move	TxtGroup	4	5	{398.6255,0.0000,0.0000}	{429.2291,0.0000,0.0000}
Move	TxtGroup	5	6	{429.2291,0.0000,0.0000}	{465.0494,0.0000,0.0000}
Move	TxtGroup	6	7	{465.0494,0.0000,0.0000}	{504.2054,0.0000,0.0000}
Move	TxtGroup	7	8	{504.2054,0.0000,0.0000}	{544.8160,0.0000,0.0000}
Move	TxtGroup	8	9	{544.8160,0.0000,0.0000}	{585.0000,0.0000,0.0000}
Scalc	BtnRetract	2	3	{-1.0000,1.0000,1.0000}	{-1.1433,1.0000,1.0000}
Scalc	BtnRetract	3	4	{-1.1433,1.0000,1.0000}	{-1.4885,1.0000,1.0000}
Scalc	BtnRetract	4	5	{-1.4885,1.0000,1.0000}	{-1.8394,1.0000,1.0000}
Scalc	BtnRetract	5	6	{-1.8394,1.0000,1.0000}	{-2.0000,1.0000,1.0000}
Scalc	BtnRetract	6	7	{-2.0000,1.0000,1.0000}	{-1.8456,1.0000,1.0000}
Scalc	BtnRetract	7	8	{-1.8456,1.0000,1.0000}	{-1.4718,1.0000,1.0000}
Scalc	BtnRetract	8	9	{-1.4718,1.0000,1.0000}	{-1.0124,1.0000,1.0000}
Scalc	BtnRetract	9	10	{-1.0124,1.0000,1.0000}	{-0.6016,1.0000,1.0000}
Scalc	BtnRetract	10	11	{-0.6016,1.0000,1.0000}	{-0.3733,1.0000,1.0000}
Scalc	BtnRetract	11	12	{-0.3733,1.0000,1.0000}	{-0.4614,1.0000,1.0000}
Scalc	BtnRetract	12	13	{-0.4614,1.0000,1.0000}	{-1.0000,1.0000,1.0000}
Move	BtnRetract	0	1	{-100.5000,-34.0000,0.0000}	{-105.2037,-34.0000,0.0000}
Move	BtnRetract	1	2	{-105.2037,-34.0000,0.0000}	{-109.9074,-34.0000,0.0000}
Move	BtnRetract	2	3	{-109.9074,-34.0000,0.0000}	{-110.1154,-34.0000,0.0000}
Move	BtnRetract	3	4	{-110.1154,-34.0000,0.0000}	{-110.3235,-34.0000,0.0000}
Move	BtnRetract	4	5	{-110.3235,-34.0000,0.0000}	{-110.5315,-34.0000,0.0000}
Move	BtnRetract	5	6	{-110.5315,-34.0000,0.0000}	{-110.9171,-34.0000,0.0000}
Move	BtnRetract	6	7	{-110.9171,-34.0000,0.0000}	{-111.3026,-34.0000,0.0000}
Move	BtnRetract	7	8	{-111.3026,-34.0000,0.0000}	{-111.0647,-34.0000,0.0000}
Move	BtnRetract	8	9	{-111.0647,-34.0000,0.0000}	{-115.0000,-34.0000,0.0000}
Scalc	TxtGroupBg	0	1	{1.0000,1.0000,1.0000}	{1.0679,1.0000,1.0000}
Scalc	TxtGroupBg	1	2	{1.0679,1.0000,1.0000}	{1.1000,1.0000,1.0000}
