Type	Target	StartFrame	EndFrame	Value1	Value2
Move	Skill1	0	7	{75,-75,0}	{-218.763,72.10698,0}
Move	Skill1	7	9	{-218.763,72.10698,0}	{-223.5132,76.3623,0}
Move	Skill1	9	10	{-223.5132,76.3623,0}	{-205,63,0}
Move	Skill2	0	7	{75,-75,0}	{-206.925,158.9503,0}
Move	Skill2	7	9	{-206.925,158.9503,0}	{-224.4106,171.4712,0}
Move	Skill2	9	10	{-224.4106,171.4712,0}	{-210,157,0}
Move	Skill3	0	7	{75,-75,0}	{-132.1054,209.3916,0}
Move	Skill3	7	9	{-132.1054,209.3916,0}	{-148.3582,233.2372,0}
Move	Skill3	9	10	{-148.3582,233.2372,0}	{-138,220,0}
Move	Skill4	0	7	{75,-75,0}	{-53.3311,224.5948,0}
Move	Skill4	7	9	{-53.3311,224.5948,0}	{-56.71448,233.843,0}
Move	Skill4	9	10	{-56.71448,233.843,0}	{-45,205,0}
Move	BtnDazuo	0	10	{75,-75,0}	{-77,295,0}
Move	SkillDodge	0	10	{75,-75,0}	{-292,107,0}
