Type	Target	StartFrame	EndFrame	Value1	Value2
AnchorMove	Anchor3	2	3	{0.0000,0.0000,0.0000}	{-9.9217,0.0000,0.0000}
AnchorMove	Anchor3	3	4	{-9.9217,0.0000,0.0000}	{-28.1273,0.0000,0.0000}
AnchorMove	Anchor3	4	5	{-28.1273,0.0000,0.0000}	{-53.6760,0.0000,0.0000}
AnchorMove	Anchor3	5	6	{-53.6760,0.0000,0.0000}	{-85.6272,0.0000,0.0000}
AnchorMove	Anchor3	6	7	{-85.6272,0.0000,0.0000}	{-123.0402,0.0000,0.0000}
AnchorMove	Anchor3	7	8	{-123.0402,0.0000,0.0000}	{-164.9744,0.0000,0.0000}
AnchorMove	Anchor3	8	9	{-164.9744,0.0000,0.0000}	{-210.4890,0.0000,0.0000}
AnchorMove	Anchor3	9	10	{-210.4890,0.0000,0.0000}	{-258.6435,0.0000,0.0000}
AnchorMove	Anchor3	10	11	{-258.6435,0.0000,0.0000}	{-308.4971,0.0000,0.0000}
AnchorMove	Anchor3	11	12	{-308.4971,0.0000,0.0000}	{-359.1092,0.0000,0.0000}
AnchorMove	Anchor3	12	13	{-359.1092,0.0000,0.0000}	{-409.5391,0.0000,0.0000}
AnchorMove	Anchor3	13	14	{-409.5391,0.0000,0.0000}	{-458.8461,0.0000,0.0000}
AnchorMove	Anchor3	14	15	{-458.8461,0.0000,0.0000}	{-506.0897,0.0000,0.0000}
AnchorMove	Anchor3	15	16	{-506.0897,0.0000,0.0000}	{-550.3290,0.0000,0.0000}
AnchorMove	Anchor3	16	17	{-550.3290,0.0000,0.0000}	{-590.6235,0.0000,0.0000}
AnchorMove	Anchor3	17	18	{-590.6235,0.0000,0.0000}	{-626.0325,0.0000,0.0000}
AnchorMove	Anchor3	18	19	{-626.0325,0.0000,0.0000}	{-655.6153,0.0000,0.0000}
AnchorMove	Anchor3	19	20	{-655.6153,0.0000,0.0000}	{-678.4312,0.0000,0.0000}
AnchorMove	Anchor3	20	21	{-678.4312,0.0000,0.0000}	{-693.5397,0.0000,0.0000}
AnchorMove	Anchor3	21	22	{-693.5397,0.0000,0.0000}	{-700.0000,0.0000,0.0000}
AnchorMove	BtnAnchor	4	5	{0.0000,0.0000,0.0000}	{-43.8841,0.0000,0.0000}
AnchorMove	BtnAnchor	5	6	{-43.8841,0.0000,0.0000}	{-77.8908,0.0000,0.0000}
AnchorMove	BtnAnchor	6	7	{-77.8908,0.0000,0.0000}	{-77.0141,0.0000,0.0000}
AnchorMove	BtnAnchor	7	8	{-77.0141,0.0000,0.0000}	{-76.1373,0.0000,0.0000}
AnchorMove	BtnAnchor	8	9	{-76.1373,0.0000,0.0000}	{-75.2606,0.0000,0.0000}
AnchorMove	BtnAnchor	9	10	{-75.2606,0.0000,0.0000}	{-74.3838,0.0000,0.0000}
AnchorMove	BtnAnchor	10	11	{-74.3838,0.0000,0.0000}	{-73.5070,0.0000,0.0000}
AnchorMove	BtnAnchor	11	12	{-73.5070,0.0000,0.0000}	{-72.6303,0.0000,0.0000}
AnchorMove	BtnAnchor	12	13	{-72.6303,0.0000,0.0000}	{-71.7535,0.0000,0.0000}
AnchorMove	BtnAnchor	13	14	{-71.7535,0.0000,0.0000}	{-70.8768,0.0000,0.0000}
AnchorMove	BtnAnchor	14	15	{-70.8768,0.0000,0.0000}	{-70.0000,0.0000,0.0000}
AnchorMove	BtnAnchor	15	16	{-70.0000,0.0000,0.0000}	{-25.9315,0.0000,0.0000}
AnchorMove	BtnAnchor	16	17	{-25.9315,0.0000,0.0000}	{8.0462,0.0000,0.0000}
AnchorMove	BtnAnchor	17	18	{8.0462,0.0000,0.0000}	{10.7473,0.0000,0.0000}
AnchorMove	BtnAnchor	18	19	{10.7473,0.0000,0.0000}	{9.6768,0.0000,0.0000}
AnchorMove	BtnAnchor	19	20	{9.6768,0.0000,0.0000}	{6.4512,0.0000,0.0000}
AnchorMove	BtnAnchor	20	21	{6.4512,0.0000,0.0000}	{2.6868,0.0000,0.0000}
AnchorMove	BtnAnchor	21	22	{2.6868,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Scalc	BtnArrow3	0	1	{1.0000,1.0000,1.0000}	{1.6507,1.5875,1.0000}
