nFubenIndex	Tips	Npc	Tips1	szFubenTitle	szDesc	nNormalRecommendEdge	nEliteRecommendEdge	nTimeLimite	szNormalTime	szEliteTime	nNeedLevel	nMapTemplateId	nNormalGatherPoint	nEliteGatherPoint	nNormalFreeTimes	nEliteFreeTimes	szLeaveFubenPos
1	1、1		雪山古道		重伤初愈，决定出去活动一下筋骨	0	0	300	0	0	1	20	0	0	999	999	
2	1、2		离忧山		你陪同纳兰真来到离忧山采集银丝草	0	0	300	0	0	1	21	0	0	999	999	
3	1、3		无忧禁地		在纳兰真的请求下，你们来到了无忧禁地入口处	0	0	300	0	0	1	22	0	0	999	999	400|8150|7250
4	1、4		离忧山洞		纳兰真说起儿时玩耍的山洞，她带领大家来到此处	0	0	300	0	0	1	23	0	0	999	999	499|5400|2250
5	2、1		呼啸栈道		杨影枫决定离开忘忧岛回中原找紫轩，这一日来到了一处山脚下……	0	0	300	0	0	1	24	0	0	999	999	
6	2、2		藏剑山庄		你来到藏剑山庄，打算探查一番	0	0	300	0	0	1	25	0	0	999	999	
7	2、3		忘忧旅道		杨影枫心灰意冷，决定返回忘忧岛，途中来到一处断崖……	0	0	300	0	0	1	26	0	0	999	999	
8	2、4		心魔阵		听从纳兰潜凛的建议，进入无忧教的心魔阵锻炼心智	0	0	300	0	0	1	27	0	0	999	999	
9	2、5		藏剑幽谷		前往藏剑山庄的途中，似乎有一些不太平……	0	0	300	0	0	1	28	0	0	999	999	
10	2、6		剑气峰		跟随杨影枫依约来到剑气峰，找卓非凡作个了断	0	0	300	0	0	1	29	0	0	999	999	
11	3、1		天山古道		紫衣姑娘要求与你们比武……	0	0	300	0	0	1	30	0	0	999	999	403|5700|7770
12	3、3		红叶谷		离开飞龙堡，回悲魔山庄的路上，你们来到一处山谷	0	0	300	0	0	1	31	0	0	999	999	403|5400|12000
13	3、4		凌绝峰		同意月眉儿的邀约，来到了凌绝峰……	0	0	300	0	0	1	32	0	0	999	999	498|6600|3000
14	3、5		无忧禁地		你们打算去无忧禁地救出纳兰真和月眉儿	0	0	300	0	0	1	33	0	0	999	999	
15	3、6		摘星地牢		纳兰真、月眉儿及蔷薇被关押在摘星楼，你们来到了其下的地牢中……	0	0	300	0	0	1	34	0	0	999	999	
16	3、7		通天塔		月眉儿告知蔷薇被关在通天塔，于是你们来到了此处……	0	0	300	0	0	1	35	0	0	999	999	
17	3、8		悲魔山庄		纳兰潜凛要求去悲魔山庄的练武场了结这段恩怨……	0	0	300	0	0	1	36	0	0	999	999	498|5340|8560
18	4、1	卢青	衡山脚下		卢青缓缓说起几十年前的那一天：独孤剑在衡山脚下寻找血书……	0	0	300	0	0	1	37	0	0	999	999	486|2750|5350
19	4、2	无	九猴洞		欲上武夷，先过九猴。昔日为武夷派用于练武的天然猴洞，早已不复当年模样	0	0	300	0	0	1	38	0	0	999	999	487|6200|6500
20	4、3	公孙惜花	福缘庄		公孙惜花一脸神往，兴奋地谈起独孤剑与张如梦在酒楼联手惩处路达	0	0	300	0	0	1	39	0	0	999	999	
21	4、4	老王	碧霞岛		老王说起了独孤剑在碧霞岛救下张琳心的故事……	0	0	300	0	0	1	40	0	0	999	999	
