Level	LevelMin	FightPowerWeapon	FightPowerCloth	FightPowerJewelry	FightPowerArmor	ValueWeapon	ValueArmorCloth	ValueJewelry	ValueArmor	ConsumeItem	ConsumeCountWeapon	ConsumeCountCloth	ConsumeCountJewelry	ConsumeCountArmor	Probility	BreakItem	BreakCountWeapon	BreakCountCloth	BreakCountJewelry	BreakCountArmor
0	1	0	0	0	0	0	0	0	0	crystal_1	5	3	2	1	1000					
1	1	25	15	10	5	25000	15000	10000	5000	crystal_1	5	3	2	1	1000					
2	1	50	30	20	10	50000	30000	20000	10000	crystal_1	5	3	2	1	950					
3	1	76	45	30	15	76315	45789	30526	15263	crystal_1	5	3	2	1	950					
4	1	102	61	41	20	102631	61578	41052	20526	crystal_1	5	3	2	1	900					
5	1	130	78	52	26	130409	78245	52163	26081	crystal_1	5	3	2	1	900					
6	1	158	94	63	31	158187	94912	63274	31637	crystal_1	5	3	2	1	850					
7	1	187	112	75	37	187598	112559	75039	37519	crystal_1	5	3	2	1	850					
8	1	217	130	86	43	217010	130206	86804	43402	crystal_1	5	3	2	1	800					
9	1	248	148	99	49	248260	148956	99304	49652	crystal_1	5	3	2	1	800					
10	1	279	167	111	55	279510	167706	111804	55902	crystal_1	5	3	2	1	750					
11	1	312	187	125	62	312843	187706	125137	62568	crystal_1	5	3	2	1	750					
12	1	346	207	138	69	346177	207706	138470	69235	crystal_1	5	3	2	1	700					
13	1	381	229	152	76	381891	229134	152756	76378	crystal_1	5	3	2	1	700					
14	1	417	250	167	83	417605	250563	167042	83521	crystal_1	5	3	2	1	600					
15	1	459	275	183	91	459272	275563	183709	91854	crystal_1	5	3	2	1	600					
16	1	500	300	200	100	500939	300563	200375	100187	crystal_1	5	3	2	1	500					
17	1	550	330	220	110	550939	330563	220375	110187	crystal_1	5	3	2	1	500					
18	1	600	360	240	120	600939	360563	240375	120187	crystal_1	5	3	2	1	400					
19	1	663	398	265	132	663439	398063	265375	132687	crystal_1	5	3	2	1	400					
20	2	725	435	290	145	725939	435563	290375	145187	crystal_2	5	3	2	1	1000	mystery_stone_1	5	3	2	1
21	2	825	495	330	165	825939	495563	330375	165187	crystal_2	5	3	2	1	1000					
22	2	925	555	370	185	925939	555563	370375	185187	crystal_2	5	3	2	1	950					
23	2	1031	618	412	206	1031202	618721	412480	206240	crystal_2	5	3	2	1	950					
24	2	1136	681	454	227	1136465	681879	454586	227293	crystal_2	5	3	2	1	900					
25	2	1247	748	499	249	1247576	748545	499030	249515	crystal_2	5	3	2	1	900					
26	2	1358	815	543	271	1358687	815212	543475	271737	crystal_2	5	3	2	1	850					
27	2	1476	885	590	295	1476334	885800	590533	295266	crystal_2	5	3	2	1	850					
28	2	1593	956	637	318	1593981	956389	637592	318796	crystal_2	5	3	2	1	800					
29	2	1718	1031	687	343	1718981	1031389	687592	343796	crystal_2	5	3	2	1	800					
30	2	1843	1106	737	368	1843981	1106389	737592	368796	crystal_2	5	3	2	1	750					
31	2	1977	1186	790	395	1977315	1186389	790926	395463	crystal_2	5	3	2	1	750					
32	2	2110	1266	844	422	2110648	1266389	844259	422129	crystal_2	5	3	2	1	700					
