Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme
yewai_100_1	灵猴		2067	50		110	2265	13093	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2542	13078	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2084	12729	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2351	12944	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2033	12949	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2325	12705	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2593	12839	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2546	12567	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2328	12430	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2744	12921	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2121	12460	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2293	12211	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2569	12262	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2799	12670	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2802	12428	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	5324	11999	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2727	10642	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2410	10655	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2180	10584	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2132	10306	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2202	10021	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2461	9948	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	2717	9951	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4933	10706	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	5306	10700	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	5090	10331	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	5300	10508	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4889	10458	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4691	10062	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4605	10319	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4679	10617	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4954	9926	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	5285	9923	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	5575	9982	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	5332	10186	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4921	10138	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	5604	10280	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	5563	10623	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4611	8889	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	3842	8432	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4511	8693	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4676	8135	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4319	8124	0	0	-1	0	0	-1	0	0	0	0	0	0	0
yewai_100_1	灵猴		2067	50		110	4780	8700	0	0	-1	0	0	-1	0	0	0	0	0	0	0
