nFubenLevel	szType	SubType	nItemId	nCount	nAwardLevel	nRate	bCritAward	bFirst	nSpecialRate	bStarAward
1			971	1	2				0.7	
1			212	1	1	35000				
1			786	1	1	5800				
1			785	1	1	2900				
1	Coin			120	1	389000				
1			601	1	1	532180				
1			1023	1	1	2330				
1			1033	1	1	2330				
1			1043	1	1	2330				
1			1053	1	1	2330				
1			1063	1	1	2330				
1			1073	1	1	2330				
1			1083	1	1	2330				
1			1093	1	1	2330				
1			1103	1	1	2330				
1			1113	1	1	2330				
1			787	1	1	11820				
1			212	3		-1				1
2	PartnerFamiliar	84		30		-1	1			
2	PStone0			1	1	280000				
2			212	1	1	26200				
2			786	1	1	4400				
2			785	1	1	2200				
2	Coin			200	1	175000				
2			601	1	1	494750				
2			1024	1	1	875				
2			1034	1	1	875				
2			1044	1	1	875				
2			1054	1	1	875				
2			1064	1	1	875				
2			1074	1	1	875				
2			1084	1	1	875				
2			1094	1	1	875				
2			1104	1	1	875				
2			1114	1	1	875				
2			787	1	1	8700				
2			251	1		-1				1
