Idx	AttribType	Level	FightPower	AttribValue	ValueMin1	ValueMin2	ValueMin3	ValueRange1	ValueRange2	ValueRange3
1	basic_damage_v	1			29		29	29		29
1	basic_damage_v	2			44		44	44		44
1	basic_damage_v	3			66		66	66		66
1	basic_damage_v	4			100		100	100		100
1	basic_damage_v	5			150		150	150		150
1	basic_damage_v	6			225		225	225		225
1	basic_damage_v	7			337		337	337		337
1	basic_damage_v	8			506		506	506		506
1	basic_damage_v	9			759		759	759		759
1	basic_damage_v	10			1139		1139	1139		1139
1	basic_damage_v	11			1708		1708	1708		1708
1	basic_damage_v	12			2562		2562	2562		2562
1	basic_damage_v	13			3844		3844	3844		3844
1	basic_damage_v	14			5766		5766	5766		5766
1	basic_damage_v	15			8649		8649	8649		8649
2	rangedamagereturn_v	1			103			103		
2	rangedamagereturn_v	2			155			155		
2	rangedamagereturn_v	3			233			233		
2	rangedamagereturn_v	4			350			350		
2	rangedamagereturn_v	5			525			525		
2	rangedamagereturn_v	6			787			787		
2	rangedamagereturn_v	7			1181			1181		
2	rangedamagereturn_v	8			1771			1771		
2	rangedamagereturn_v	9			2657			2657		
2	rangedamagereturn_v	10			3986			3986		
2	rangedamagereturn_v	11			5980			5980		
2	rangedamagereturn_v	12			8970			8970		
2	rangedamagereturn_v	13			13455			13455		
2	rangedamagereturn_v	14			20182			20182		
2	rangedamagereturn_v	15			30274			30274		
3	meleedamagereturn_v	1			103			103		
3	meleedamagereturn_v	2			155			155		
3	meleedamagereturn_v	3			233			233		
3	meleedamagereturn_v	4			350			350		
3	meleedamagereturn_v	5			525			525		
3	meleedamagereturn_v	6			787			787		
3	meleedamagereturn_v	7			1181			1181		
3	meleedamagereturn_v	8			1771			1771		
3	meleedamagereturn_v	9			2657			2657		
3	meleedamagereturn_v	10			3986			3986		
3	meleedamagereturn_v	11			5980			5980		
3	meleedamagereturn_v	12			8970			8970		
3	meleedamagereturn_v	13			13455			13455		
3	meleedamagereturn_v	14			20182			20182		
3	meleedamagereturn_v	15			30274			30274		
4	vitality_v	1			14			14		
4	vitality_v	2			22			22		
4	vitality_v	3			33			33		
4	vitality_v	4			50			50		
4	vitality_v	5			75			75		
4	vitality_v	6			112			112		
4	vitality_v	7			168			168		
4	vitality_v	8			253			253		
4	vitality_v	9			379			379		
4	vitality_v	10			569			569		
4	vitality_v	11			854			854		
4	vitality_v	12			1281			1281		
4	vitality_v	13			1922			1922		
4	vitality_v	14			2883			2883		
4	vitality_v	15			4324			4324		
5	strength_v	1			14			14		
5	strength_v	2			22			22		
5	strength_v	3			33			33		
5	strength_v	4			50			50		
5	strength_v	5			75			75		
5	strength_v	6			112			112		
5	strength_v	7			168			168		
5	strength_v	8			253			253		
5	strength_v	9			379			379		
5	strength_v	10			569			569		
5	strength_v	11			854			854		
5	strength_v	12			1281			1281		
5	strength_v	13			1922			1922		
5	strength_v	14			2883			2883		
5	strength_v	15			4324			4324		
6	dexterity_v	1			14			14		
6	dexterity_v	2			22			22		
6	dexterity_v	3			33			33		
6	dexterity_v	4			50			50		
6	dexterity_v	5			75			75		
6	dexterity_v	6			112			112		
6	dexterity_v	7			168			168		
6	dexterity_v	8			253			253		
6	dexterity_v	9			379			379		
6	dexterity_v	10			569			569		
6	dexterity_v	11			854			854		
6	dexterity_v	12			1281			1281		
6	dexterity_v	13			1922			1922		
6	dexterity_v	14			2883			2883		
6	dexterity_v	15			4324			4324		
7	energy_v	1			14			14		
7	energy_v	2			22			22		
7	energy_v	3			33			33		
7	energy_v	4			50			50		
7	energy_v	5			75			75		
7	energy_v	6			112			112		
7	energy_v	7			168			168		
7	energy_v	8			253			253		
7	energy_v	9			379			379		
7	energy_v	10			569			569		
7	energy_v	11			854			854		
7	energy_v	12			1281			1281		
7	energy_v	13			1922			1922		
7	energy_v	14			2883			2883		
7	energy_v	15			4324			4324		
8	ignore_all_resist_v	1			100	14			14	
8	ignore_all_resist_v	2			100	22			22	
8	ignore_all_resist_v	3			100	33			33	
8	ignore_all_resist_v	4			100	50			50	
8	ignore_all_resist_v	5			100	75			75	
8	ignore_all_resist_v	6			100	112			112	
8	ignore_all_resist_v	7			100	168			168	
8	ignore_all_resist_v	8			100	253			253	
8	ignore_all_resist_v	9			100	379			379	
8	ignore_all_resist_v	10			100	569			569	
8	ignore_all_resist_v	11			100	854			854	
8	ignore_all_resist_v	12			100	1281			1281	
8	ignore_all_resist_v	13			100	1922			1922	
8	ignore_all_resist_v	14			100	2883			2883	
8	ignore_all_resist_v	15			100	4324			4324	
9	defense_v	1			59			59		
9	defense_v	2			88			88		
9	defense_v	3			133			133		
9	defense_v	4			200			200		
9	defense_v	5			300			300		
9	defense_v	6			450			450		
9	defense_v	7			675			675		
9	defense_v	8			1012			1012		
9	defense_v	9			1518			1518		
9	defense_v	10			2278			2278		
9	defense_v	11			3417			3417		
9	defense_v	12			5125			5125		
9	defense_v	13			7688			7688		
9	defense_v	14			11533			11533		
9	defense_v	15			17299			17299		
10	ignore_defense_v	1			59			59		
10	ignore_defense_v	2			88			88		
10	ignore_defense_v	3			133			133		
10	ignore_defense_v	4			200			200		
10	ignore_defense_v	5			300			300		
10	ignore_defense_v	6			450			450		
10	ignore_defense_v	7			675			675		
10	ignore_defense_v	8			1012			1012		
10	ignore_defense_v	9			1518			1518		
10	ignore_defense_v	10			2278			2278		
10	ignore_defense_v	11			3417			3417		
10	ignore_defense_v	12			5125			5125		
10	ignore_defense_v	13			7688			7688		
10	ignore_defense_v	14			11533			11533		
10	ignore_defense_v	15			17299			17299		
11	deadlystrike_v	1			29			29		
11	deadlystrike_v	2			44			44		
11	deadlystrike_v	3			66			66		
11	deadlystrike_v	4			100			100		
11	deadlystrike_v	5			150			150		
11	deadlystrike_v	6			225			225		
11	deadlystrike_v	7			337			337		
11	deadlystrike_v	8			506			506		
11	deadlystrike_v	9			759			759		
11	deadlystrike_v	10			1139			1139		
11	deadlystrike_v	11			1708			1708		
11	deadlystrike_v	12			2562			2562		
11	deadlystrike_v	13			3844			3844		
11	deadlystrike_v	14			5766			5766		
11	deadlystrike_v	15			8649			8649		
12	weaken_deadlystrike_v	1			29			29		
12	weaken_deadlystrike_v	2			44			44		
12	weaken_deadlystrike_v	3			66			66		
12	weaken_deadlystrike_v	4			100			100		
12	weaken_deadlystrike_v	5			150			150		
12	weaken_deadlystrike_v	6			225			225		
12	weaken_deadlystrike_v	7			337			337		
12	weaken_deadlystrike_v	8			506			506		
12	weaken_deadlystrike_v	9			759			759		
12	weaken_deadlystrike_v	10			1139			1139		
12	weaken_deadlystrike_v	11			1708			1708		
12	weaken_deadlystrike_v	12			2562			2562		
12	weaken_deadlystrike_v	13			3844			3844		
12	weaken_deadlystrike_v	14			5766			5766		
12	weaken_deadlystrike_v	15			8649			8649		
13	add_seriesstate_rate_v	1			11			11		
13	add_seriesstate_rate_v	2			17			17		
13	add_seriesstate_rate_v	3			26			26		
13	add_seriesstate_rate_v	4			40			40		
13	add_seriesstate_rate_v	5			60			60		
13	add_seriesstate_rate_v	6			90			90		
13	add_seriesstate_rate_v	7			135			135		
13	add_seriesstate_rate_v	8			202			202		
13	add_seriesstate_rate_v	9			303			303		
13	add_seriesstate_rate_v	10			455			455		
13	add_seriesstate_rate_v	11			683			683		
13	add_seriesstate_rate_v	12			1025			1025		
13	add_seriesstate_rate_v	13			1537			1537		
13	add_seriesstate_rate_v	14			2306			2306		
13	add_seriesstate_rate_v	15			3459			3459		
14	resist_allseriesstate_rate_v	1			11			11		
14	resist_allseriesstate_rate_v	2			17			17		
14	resist_allseriesstate_rate_v	3			26			26		
14	resist_allseriesstate_rate_v	4			40			40		
14	resist_allseriesstate_rate_v	5			60			60		
14	resist_allseriesstate_rate_v	6			90			90		
14	resist_allseriesstate_rate_v	7			135			135		
14	resist_allseriesstate_rate_v	8			202			202		
14	resist_allseriesstate_rate_v	9			303			303		
14	resist_allseriesstate_rate_v	10			455			455		
14	resist_allseriesstate_rate_v	11			683			683		
14	resist_allseriesstate_rate_v	12			1025			1025		
14	resist_allseriesstate_rate_v	13			1537			1537		
14	resist_allseriesstate_rate_v	14			2306			2306		
14	resist_allseriesstate_rate_v	15			3459			3459		
15	state_hurt_resistrate	1			59			59		
15	state_hurt_resistrate	2			88			88		
15	state_hurt_resistrate	3			133			133		
15	state_hurt_resistrate	4			200			200		
15	state_hurt_resistrate	5			300			300		
15	state_hurt_resistrate	6			450			450		
15	state_hurt_resistrate	7			675			675		
15	state_hurt_resistrate	8			1012			1012		
15	state_hurt_resistrate	9			1518			1518		
15	state_hurt_resistrate	10			2278			2278		
15	state_hurt_resistrate	11			3417			3417		
15	state_hurt_resistrate	12			5125			5125		
15	state_hurt_resistrate	13			7688			7688		
15	state_hurt_resistrate	14			11533			11533		
15	state_hurt_resistrate	15			17299			17299		
16	state_zhican_resistrate	1			59			59		
16	state_zhican_resistrate	2			88			88		
16	state_zhican_resistrate	3			133			133		
16	state_zhican_resistrate	4			200			200		
16	state_zhican_resistrate	5			300			300		
16	state_zhican_resistrate	6			450			450		
