GroupId	AttribIdx	Rate	Desc
1	1	45454	basic_damage_v
1	2	45454	rangedamagereturn_v
1	3	45454	meleedamagereturn_v
1	4	45454	vitality_v
1	5	45454	strength_v
1	6	45454	dexterity_v
1	7	45454	energy_v
1	8	45454	ignore_all_resist_v
1	9	45454	defense_v
1	10	45454	ignore_defense_v
1	11	45454	deadlystrike_v
1	12	45454	weaken_deadlystrike_v
1	13	45454	add_seriesstate_rate_v
1	14	45454	resist_allseriesstate_rate_v
1	15	45454	state_hurt_resistrate
1	16	45454	state_zhican_resistrate
1	17	45454	state_slowall_resistrate
1	18	45454	state_palsy_resistrate
1	19	45454	state_stun_resistrate
1	20	45454	add_seriesstate_time_v
1	21	45454	resist_allseriesstate_time_v
1	22	45466	resist_allspecialstate_time_v
2	101	34482	recover_life_v
2	102	34482	lifemax_v
2	103	34482	physical_damage_v
2	104	34482	rangedamagereturn_v
2	105	34482	meleedamagereturn_v
2	106	34482	all_series_resist_v
2	107	34482	metal_resist_v
2	108	34482	wood_resist_v
2	109	34482	water_resist_v
2	110	34482	fire_resist_v
2	111	34482	earth_resist_v
2	112	34482	ignore_all_resist_v
2	113	34482	attackrate_v
2	114	34482	defense_v
2	115	34482	ignore_defense_v
2	116	34482	deadlystrike_v
2	117	34482	weaken_deadlystrike_v
2	118	34482	add_seriesstate_rate_v
2	119	34482	resist_allseriesstate_rate_v
2	120	34482	state_hurt_resistrate
2	121	34482	state_zhican_resistrate
2	122	34482	state_slowall_resistrate
2	123	34482	state_palsy_resistrate
2	124	34482	state_stun_resistrate
2	125	34482	state_hurt_resisttime
2	126	34482	state_zhican_resisttime
2	127	34482	state_slowall_resisttime
2	128	34482	state_palsy_resisttime
2	129	34504	state_stun_resisttime
