TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	ExtParam1	ExtParam2	ExtParam3	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
7967	【普通】绝学秘本	Miben_lv1		23		1	100	1	7967	7967			1296	1	800000		MibenBook		800	1	1																																																
7968	【优秀】绝学秘本	Miben_lv2		23		2	100	2	7967	7967			1296	2	2400000		MibenBook		2400	1	2																																																
7969	【精良】绝学秘本	Miben_lv3		23		3	100	3	7967	7967			1296	3	7200000		MibenBook		7200	1	3																																																
7970	【传承】绝学秘本	Miben_lv4		23		4	100	4	7967	7967			1296	4	21600000		MibenBook		21600	1	4																																																
7971	【卓越】绝学秘本	Miben_lv5		23		5	100	5	7967	7967			1296	5	64800000		MibenBook		64800	1	5																																																
7972	【稀有】绝学秘本	Miben_lv6		23		6	100	6	7967	7967			1296	6	194400000		MibenBook		194400	1	6																																																
7973	【黄金】绝学秘本	Miben_lv7		23		7	100	7	7967	7967			1296	7	583200000		MibenBook		583200	1	7																																																
7974	【普通】绝学断篇	Duanpian_lv1		24		1	100	1	7974	7974			324	1	200000		DuanpianBook		200	2	1																																																
7975	【优秀】绝学断篇	Duanpian_lv2		24		2	100	2	7974	7974			324	2	600000		DuanpianBook		600	2	2																																																
7976	【精良】绝学断篇	Duanpian_lv3		24		3	100	3	7974	7974			324	3	1800000		DuanpianBook		1800	2	3																																																
7977	【传承】绝学断篇	Duanpian_lv4		24		4	100	4	7974	7974			324	4	5400000		DuanpianBook		5400	2	4																																																
7978	【卓越】绝学断篇	Duanpian_lv5		24		5	100	5	7974	7974			324	5	16200000		DuanpianBook		16200	2	5																																																
7979	【稀有】绝学断篇	Duanpian_lv6		24		6	100	6	7974	7974			324	6	48600000		DuanpianBook		48600	2	6																																																
7980	【黄金】绝学断篇	Duanpian_lv7		24		7	100	7	7974	7974			324	7	145800000		DuanpianBook		145800	2	7																																																
10938	【传承】绝学断篇	Duanpian_lv4_Suit1		24		4	100	4	7975	7975			324	4	5400000		DuanpianBook		5400	2	4	1																																															
10939	【传承】绝学断篇	Duanpian_lv4_Suit2		24		4	100	4	7976	7976			324	4	5400000		DuanpianBook		5400	2	4	2																																															
10940	【传承】绝学断篇	Duanpian_lv4_Suit3		24		4	100	4	7977	7977			324	4	5400000		DuanpianBook		5400	2	4	3																																															
