nId	nType	szName	nPart1	nPart2	nPart3	nPart4	nPart5	nQuality	nScore	szProduce	szIconSprite	szIconAtlas	szPic	szDesc
1	1	水煮鱼片	1	1002				3	2	2:11438;4:11439;6:11440;	shuizhuyu	UI/Atlas/Item/Item/Item21.prefab	shuizhuyupian	寻常菜式，清水煮鲜鱼，材料易得，烹饪简单。油而不腻，肉质滑嫩
2	1	水煮鲜虾	1	14				3	2	2:11441;4:11442;6:11443;	shuizhuxia	UI/Atlas/Item/Item/Item21.prefab	shuizhuxianxia	清水烧开，放虾入锅，煮熟即可，配蘸料食用更佳。虾味鲜美，肉嫩可口
3	1	水煮肉片	1	1001				3	2	2:11444;4:11445;6:11446;	shuizhuroupian	UI/Atlas/Item/Item/Item21.prefab	shuizhuroupian	常见家常菜，瘦肉切片，清水煮熟。肉嫩菜鲜，汤红油亮
4	1	水煮豆腐	1	6				3	2	2:11447;4:11448;6:11449;	shuizhudoufu	UI/Atlas/Item/Item/Item21.prefab	shuizhudoufu	烹饪简单，用料常见，豆腐切块下水，煮熟即可。食之补中益气，清热润燥
5	1	水煮青菜	1	5				3	2	2:11450;4:11451;6:11452;	shuizhuqingcai	UI/Atlas/Item/Item/Item21.prefab	shuizhuqingcai	烹饪简单，用料常见，沸水下入青菜再次沸腾出锅装盘即可。汤清菜明，颇具诗意
6	1	阳春面	1	3				3	2	2:11453;4:11454;6:11455;	yangchunmian	UI/Atlas/Item/Item/Item21.prefab	yangchunmian	又称清汤光面，沸水细面，佐以调料。汤清味鲜，清淡爽口
7	1	荷包面	1	7	3			4	3	3:11456;6:11457;9:11458;	hebaodan	UI/Atlas/Item/Item/Item22.prefab	hebaodan	清水煮沸放入鸡蛋，九成熟时下面条，面熟出锅。以面为主，以蛋点睛
8	1	蟹黄豆腐	1	15	6	3		5	4	4:11459;8:11460;12:11461;	xiehuangdoufu	UI/Atlas/Item/Item/Item23.prefab	xiehuangdoufu	螃蟹取黄，豆腐混之，面粉收汁。豆腐白嫩、蟹肉黄香，咸中带鲜，香鲜可口，别具风味
9	1	肉酿生麸	1	1001	3			4	3	3:11462;6:11463;9:11464;	rouniangshengfu	UI/Atlas/Item/Item/Item22.prefab	rouniangshengfu	水面筋拉皮，裹入肉末收口，煮熟起锅。面皮薄韧光亮，肉馅鲜嫩多汁
10	1	鸡汤煮干丝	1	11	14	6		5	4	4:11465;8:11466;12:11467;	jitangzhugansi	UI/Atlas/Item/Item/Item22.prefab	jitangzhugansi	鸡肉及豆腐切丝，与虾仁同放入鸡汤中旺火煮之。爽口开胃，异常珍美，百食不厌
11	1	皮蛋瘦肉粥	1	7	1001	2		5	4	4:11468;8:11469;12:11470;	pidanshourouzhou	UI/Atlas/Item/Item/Item22.prefab	pidanshourouzhou	大米煮粥，放入皮蛋及肉片，肉片浮起时离火。入口顺滑，鲜美异常
12	1	麻婆豆腐	4	6	9			4	3	3:11471;6:11472;9:11473;	mapodoufu	UI/Atlas/Item/Item/Item22.prefab	mapodoufu	川渝传统名菜，用辣椒入味豆腐。口味独特，口感顺滑
13	1	鸿运当头	1	14	9			4	3	3:11474;6:11475;9:11476;	hongyundangtou	UI/Atlas/Item/Item/Item22.prefab	hongyundangtou	虾仁拼圈，辣椒居中。菜品鲜香可口，寓意生动
