nMaterialId	nSpeed	nJumpInterval	nJumpRate	nJumpRangeMin	nJumpRangeMax	nJumpSpeed	szIcon	szDesc
40	50	10	42.5	75	150	75	BtnFish	小虾米
41	80	6.25	68	120	240	120	BtnFish02	河虾
42	100	5	85	150	300	150	BtnFish03	海虾
43	50	10	37.5	100	175	75	BtnFish	河蟹
44	80	6.25	60	160	280	120	BtnFish02	海蟹
45	100	5	75	200	350	150	BtnFish03	大闸蟹
46	50	10	37.5	75	150	75	BtnFish	小鲤鱼
47	80	6.25	60	120	240	120	BtnFish02	鲤鱼
48	100	5	75	150	300	150	BtnFish03	大鲤鱼
49	50	10	37.5	75	150	100	BtnFish	小鲈鱼
50	80	6.25	60	120	240	160	BtnFish02	鲈鱼
51	100	5	75	150	300	200	BtnFish03	大鲈鱼
52	60	6	42.5	125	200	100	BtnFish	小银鱼
53	96	3.75	68	200	320	160	BtnFish02	银鱼
54	120	3	85	250	400	200	BtnFish03	大银鱼
55	60	6	47.5	100	175	100	BtnFish	小鳗鱼
56	96	3.75	76	160	280	160	BtnFish02	鳗鱼
57	120	3	95	200	350	200	BtnFish03	大鳗鱼
58	75	4	42.5	125	200	125	BtnFish	小河豚
59	120	2.5	68	200	320	200	BtnFish02	河豚
60	150	2	85	250	400	250	BtnFish03	大河豚
61	75	4	47.5	100	175	125	BtnFish	小江团
62	120	2.5	76	160	280	200	BtnFish02	江团
63	150	2	95	200	350	250	BtnFish03	大江团
