nDecorationId	Desc	nType	nMaxPlayerCount	nBufferId	szPlayerPos_1_1	szPlayerExtPos_1_1	szSlot_1_1	szPlayerPos_2_1	szPlayerExtPos_2_1	szSlot_2_1	szPlayerPos_2_2	szPlayerExtPos_2_2	szSlot_2_2	szPlayerPos_3_1	szPlayerExtPos_3_1	szSlot_3_1	szPlayerPos_3_2	szPlayerExtPos_3_2	szSlot_3_2	szPlayerPos_3_3	szPlayerExtPos_3_3	szSlot_3_3	szPlayerPos_4_1	szPlayerExtPos_4_1	szSlot_4_1	szPlayerPos_4_2	szPlayerExtPos_4_2	szSlot_4_2	szPlayerPos_4_3	szPlayerExtPos_4_3	szSlot_4_3	szPlayerPos_4_4	szPlayerExtPos_4_4	szSlot_4_4	szPlayerPos_5_1	szPlayerExtPos_5_1	szSlot_5_1	szPlayerPos_5_2	szPlayerExtPos_5_2	szSlot_5_2	szPlayerPos_5_3	szPlayerExtPos_5_3	szSlot_5_3	szPlayerPos_5_4	szPlayerExtPos_5_4	szSlot_5_4	szPlayerPos_5_5	szPlayerExtPos_5_5	szSlot_5_5
1	松木床		1	2321	0|130			0|130																																									
2	桦木床		2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
3	江枫渔火		2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
4	红鸾栖枝		2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
5	金龙戏珠		2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
6	罗帐飞阁		2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
7	有凤来仪		2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
2001	松木浴盆		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160																																					
2002	桦木浴盆		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160																																					
2003	墨香浴盆		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160																																					
2004	镜花水月		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160																																					
2005	琼瑶碧落		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160																																					
2006	晴翠扶风		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160																																					
2007	青龙观月		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160																																					
501	松木橱柜		1	2323	0|0																																												
