GoodsId	TemplateId	Name	Price	MoneyType	ShopType	SubType	Sort	Discount	LimitType	LimitNum	HotTip	TimeFrame	CloseTimeFrame	MinLevel	ShowLevel	ShowVipLevel	OpenTime	CloseTime	ForbidStall	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
1	212	白水晶	12	Gold	Treasure		1													1	1	1	1	1	1	1
2	222	绿水晶	50	Gold	Treasure		2													1	1	1	1	1	1	1
3	213	破损的神秘矿石	50	Gold	Treasure		3													1	1	1	1	1	1	1
4	214	普通的神秘矿石	200	Gold	Treasure		4													1	1	1	1	1	1	1
5	223	蓝水晶	200	Gold	Treasure		5													1	1	1	1	1	1	1
6	224	紫水晶	800	Gold	Treasure		6					OpenLevel69								1	1	1	1	1	1	1
7	215	无暇的神秘矿石	800	Gold	Treasure		7					OpenLevel69								1	1	1	1	1	1	1
8	785	黄金钥匙	20	Gold	Treasure		8													1	1	1	1	1	1	1
9	1412	喇叭·世界频道	50	Gold	Treasure		9													1	1	1	1	1	1	1
10	1413	千里传音	100	Gold	Treasure		10													1	1	1	1	1	1	1
11	1927	陈年女儿红	1	Gold	Treasure		11													1	1	1	1	1	1	1
12	1929	白驹丸	48	Gold	Treasure		12					OpenDay2D								1	1	1	1	1	1	1
13	1930	特效白驹丸	240	Gold	Treasure		13					OpenDay2D				6				1	1	1	1	1	1	1
14	2301	修炼丹	180	Gold	Treasure		14													1	1	1	1	1	1	1
15	1016	强效同伴经验药水	5	Gold	Treasure		15													1	1	1	1	1	1	1
16	2569	染色剂	298	Gold	Treasure		16													1	1	1	1	1	1	1
17	1342	特效同伴经验药水	50	Gold	Treasure		17					OpenLevel49								1	1	1	1	1	1	1
18	1234	玫瑰花	20	Gold	Treasure		18							999	999	25				1	1	1	1	1	1	1
19	1235	幸运草	20	Gold	Treasure		19							999	999	25				1	1	1	1	1	1	1
20	2682	转门派令牌	5000	Gold	Treasure		20													1	1	1	1	1	1	1
21	2759	传功丹	180	Gold	Treasure		21													1	1	1	1	1	1	1
22	3368	金兰谱	1200	Gold	Treasure		22					OpenLevel59								1	1	1	1	1	1	1
23	2180	99朵玫瑰花	388	Gold	Treasure		23							999	999	25				1	1	1	1	1	1	1
24	2181	99棵幸运草	388	Gold	Treasure		24							999	999	25				1	1	1	1	1	1	1
25	3571	喇叭·主播频道	50	Gold	Treasure		25					OpenDay720								1						
26	6151	真气丹（1000点）	250	Gold	Treasure		26					OpenLevel79		999	999	12				1	1	1	1	1	1	1
27	6152	真气丹（5000点）	1250	Gold	Treasure		27					OpenLevel99		999	999	12				1	1	1	1	1	1	1
28	6155	缘定今生	3999	Gold	Treasure		28					OpenLevel69		999	999	25				1	1	1	1	1	1	1
29	6231	三生石	2999	Gold	Treasure		29					OpenLevel69		999	999	25				1	1	1	1	1	1	1
30	7284	精致修裱材料	50	Gold	Treasure		30					OpenLevel89								1	1	1	1	1	1	1
31	7285	传世修裱材料	240	Gold	Treasure		31					OpenLevel89								1	1	1	1	1	1	1
32	2162	1级魂石箱	140	Gold	Treasure		32													1	1	1	1	1	1	1
33	2163	2级魂石箱	700	Gold	Treasure		33							69	69					1	1	1	1	1	1	1
34	2164	3级魂石箱	4500	Gold	Treasure		34							79	79					1	1	1	1	1	1	1
35	2165	4级魂石箱	20000	Gold	Treasure		35							89	89					1	1	1	1	1	1	1
36	786	黄金宝箱	1000	Gold	Treasure		36													1	1	1	1	1	1	1
37	1968	洗髓丹	150	Gold	Treasure		37													1	1	1	1	1	1	1
38	4816	元气瓶（中）	4000	Gold	Treasure		38							999	999	12				1	1	1	1	1	1	1
39	995307	兑换卡-逐鹿令	50	Gold	Treasure		39							79	79					1	1	1	1	1	1	1
40	995308	兑换卡-名将令	50	Gold	Treasure		40							69	69					1	1	1	1	1	1	1
41	995309	兑换卡-盟主令	50	Gold	Treasure		41							39	39					1	1	1	1	1	1	1
42	995371	兑换卡-山贼信物	50	Gold	Treasure		42							39	39					1	1	1	1	1	1	1
43	995372	兑换卡-战场信物	50	Gold	Treasure		43							39	39					1	1	1	1	1	1	1
44	995373	兑换卡-杀手信物	50	Gold	Treasure		44							39	39					1	1	1	1	1	1	1
45	995374	兑换卡-家族信物	50	Gold	Treasure		45							39	39					1	1	1	1	1	1	1
46	995375	兑换卡-惩恶信物	50	Gold	Treasure		46							39	39					1	1	1	1	1	1	1
47	1969	资质丹	150	Gold	Treasure		47													1	1	1	1	1	1	1
48	995318	兑换卡-转生果	50	Gold	Treasure		48							39	39					1	1	1	1	1	1	1
49	995304	转生卡	1000	Gold	Treasure		49							39	39					1	1	1	1	1	1	1
50	998166	物品销毁	1000	Gold	Treasure		50							39	39					1	1	1	1	1	1	1
1000	212	白水晶	8	Gold	Treasure		1	6	7	100			OpenLevel69							1	1	1	1	1	1	1
1001	222	绿水晶	40	Gold	Treasure		2	8	7	100			OpenLevel69							1	1	1	1	1	1	1
1002	223	蓝水晶	160	Gold	Treasure		3	8	7	30		OpenLevel69	OpenLevel89							1	1	1	1	1	1	1
1003	224	紫水晶	640	Gold	Treasure		4	8	7	15		OpenLevel89	OpenLevel109							1	1	1	1	1	1	1
1004	213	破损的神秘矿石	30	Gold	Treasure		5	6	7	10			OpenLevel69							1	1	1	1	1	1	1
1005	214	普通的神秘矿石	160	Gold	Treasure		6	8	7	10			OpenLevel69							1	1	1	1	1	1	1
1006	215	无暇的神秘矿石	640	Gold	Treasure		7	8	7	3		OpenLevel69	OpenLevel89							1	1	1	1	1	1	1
1007	1234	玫瑰花	6	Gold	Treasure		8	3	7	100				999	999	25				1	1	1	1	1	1	1
1008	1235	幸运草	6	Gold	Treasure		9	3	7	100				999	999	25				1	1	1	1	1	1	1
1009	212	白水晶	6	Gold	Treasure		10	5	7	100		OpenLevel69	OpenLevel89							1	1	1	1	1	1	1
1010	222	绿水晶	35	Gold	Treasure		11	7	7	100		OpenLevel69	OpenLevel89							1	1	1	1	1	1	1
1011	213	破损的神秘矿石	25	Gold	Treasure		12	5	7	10		OpenLevel69	OpenLevel89							1	1	1	1	1	1	1
1012	214	普通的神秘矿石	140	Gold	Treasure		13	7	7	10		OpenLevel69	OpenLevel89							1	1	1	1	1	1	1
1013	212	白水晶	5	Gold	Treasure		14	4	7	300		OpenLevel89	OpenLevel99							1	1	1	1	1	1	1
1014	222	绿水晶	30	Gold	Treasure		15	6	7	150		OpenLevel89	OpenLevel99							1	1	1	1	1	1	1
1015	223	蓝水晶	140	Gold	Treasure		16	7	7	50		OpenLevel89	OpenLevel109							1	1	1	1	1	1	1
1016	213	破损的神秘矿石	20	Gold	Treasure		17	4	7	10		OpenLevel89	OpenLevel109							1	1	1	1	1	1	1
