TemplateId	Name	Price	MoneyType	PlayerLevel	TimeFrameLimit	NeedForbitStall
603	初级符文·生命	90	Coin			
604	中级符文·生命	300	Coin			
605	高级符文·生命	900	Coin			
606	强效符文·生命	2700	Coin			
607	特效符文·生命	10800	Coin			
608	完美符文·生命	43200	Coin			
609	初级符文·攻击	90	Coin			
610	中级符文·攻击	300	Coin			
611	高级符文·攻击	900	Coin			
612	强效符文·攻击	2700	Coin			
613	特效符文·攻击	10800	Coin			
614	完美符文·攻击	43200	Coin			
615	初级符文·全抗	90	Coin			
616	中级符文·全抗	300	Coin			
617	高级符文·全抗	900	Coin			
618	强效符文·全抗	2700	Coin			
619	特效符文·全抗	10800	Coin			
620	完美符文·全抗	43200	Coin			
621	初级符文·命中	90	Coin			
622	中级符文·命中	300	Coin			
623	高级符文·命中	900	Coin			
624	强效符文·命中	2700	Coin			
625	特效符文·命中	10800	Coin			
626	完美符文·命中	43200	Coin			
627	初级符文·闪避	90	Coin			
628	中级符文·闪避	300	Coin			
629	高级符文·闪避	900	Coin			
630	强效符文·闪避	2700	Coin			
631	特效符文·闪避	10800	Coin			
632	完美符文·闪避	43200	Coin			
633	初级符文·会心	90	Coin			
634	中级符文·会心	300	Coin			
635	高级符文·会心	900	Coin			
636	强效符文·会心	2700	Coin			
637	特效符文·会心	10800	Coin			
638	完美符文·会心	43200	Coin			
639	初级符文·忽闪	90	Coin			
640	中级符文·忽闪	300	Coin			
641	高级符文·忽闪	900	Coin			
642	强效符文·忽闪	2700	Coin			
643	特效符文·忽闪	10800	Coin			
644	完美符文·忽闪	43200	Coin			
645	初级符文·减会心	90	Coin			
646	中级符文·减会心	300	Coin			
647	高级符文·减会心	900	Coin			
648	强效符文·减会心	2700	Coin			
649	特效符文·减会心	10800	Coin			
650	完美符文·减会心	43200	Coin			
651	初级符文·效果	90	Coin			
652	中级符文·效果	300	Coin			
653	高级符文·效果	900	Coin			
654	强效符文·效果	2700	Coin			
655	特效符文·效果	10800	Coin			
656	完美符文·效果	43200	Coin			
657	初级符文·减效果	90	Coin			
658	中级符文·减效果	300	Coin			
659	高级符文·减效果	900	Coin			
660	强效符文·减效果	2700	Coin			
661	特效符文·减效果	10800	Coin			
662	完美符文·减效果	43200	Coin			
663	初级符文·回复	90	Coin			
664	中级符文·回复	300	Coin			
665	高级符文·回复	900	Coin			
666	强效符文·回复	2700	Coin			
667	特效符文·回复	10800	Coin			
668	完美符文·回复	43200	Coin			
727	高级符文·饕餮	2700	Coin			
728	高级符文·帝江	2700	Coin			
729	高级符文·烛龙	2700	Coin			
730	高级符文·夔牛	2700	Coin			
731	高级符文·穷奇	2700	Coin			
732	高级符文·鲲鹏	2700	Coin			
733	高级符文·腾蛇	2700	Coin			
734	高级符文·貔貅	2700	Coin			
669	强效符文·饕餮	8100	Coin			
670	强效符文·帝江	8100	Coin			
671	强效符文·烛龙	8100	Coin			
672	强效符文·夔牛	8100	Coin			
673	强效符文·穷奇	8100	Coin			
674	强效符文·鲲鹏	8100	Coin			
675	强效符文·腾蛇	8100	Coin			
676	强效符文·貔貅	8100	Coin			
677	特效符文·玄武	32400	Coin			
678	特效符文·青龙	32400	Coin			
679	特效符文·凤凰	32400	Coin			
680	特效符文·白虎	32400	Coin			
681	特效符文·朱雀	32400	Coin			
682	特效符文·应龙	32400	Coin			
683	特效符文·白泽	32400	Coin			
684	特效符文·麒麟	32400	Coin			
685	完美符文·玄武	151200	Coin			
686	完美符文·青龙	151200	Coin			
687	完美符文·凤凰	151200	Coin			
688	完美符文·白虎	151200	Coin			
689	完美符文·朱雀	151200	Coin			
690	完美符文·应龙	151200	Coin			
691	完美符文·白泽	151200	Coin			
692	完美符文·麒麟	151200	Coin			
693	高级符文·饕餮卷轴	900	Coin			
694	高级符文·帝江卷轴	900	Coin			
695	高级符文·烛龙卷轴	900	Coin			
696	高级符文·夔牛卷轴	900	Coin			
697	高级符文·穷奇卷轴	900	Coin			
698	高级符文·鲲鹏卷轴	900	Coin			
699	高级符文·腾蛇卷轴	900	Coin			
700	高级符文·貔貅卷轴	900	Coin			
