TimeFrame	PlayerAddExpP	ItemID	LimitAddNum
OpenLevel39	100	212	50
OpenLevel39	150	212	50
OpenLevel39	200	212	100
OpenLevel39	300	212	150
OpenLevel39	100	222	50
OpenLevel39	150	222	50
OpenLevel39	200	222	100
OpenLevel39	300	222	150
OpenLevel39	100	213	5
OpenLevel39	150	213	5
OpenLevel39	200	213	10
OpenLevel39	300	213	15
OpenLevel39	100	214	5
OpenLevel39	150	214	5
OpenLevel39	200	214	10
OpenLevel39	300	214	15
OpenLevel39	100	1234	50
OpenLevel39	150	1234	50
OpenLevel39	200	1234	100
OpenLevel39	300	1234	150
OpenLevel39	100	1235	50
OpenLevel39	150	1235	50
OpenLevel39	200	1235	100
OpenLevel39	300	1235	150
OpenLevel49	100	212	50
OpenLevel49	150	212	50
OpenLevel49	200	212	100
OpenLevel49	300	212	150
OpenLevel49	100	222	50
OpenLevel49	150	222	50
OpenLevel49	200	222	100
OpenLevel49	300	222	150
OpenLevel49	100	213	5
OpenLevel49	150	213	5
OpenLevel49	200	213	10
OpenLevel49	300	213	15
OpenLevel49	100	214	5
OpenLevel49	150	214	5
OpenLevel49	200	214	10
OpenLevel49	300	214	15
OpenLevel49	100	1234	50
OpenLevel49	150	1234	50
OpenLevel49	200	1234	100
OpenLevel49	300	1234	150
OpenLevel49	100	1235	50
OpenLevel49	150	1235	50
OpenLevel49	200	1235	100
OpenLevel49	300	1235	150
OpenLevel59	100	212	50
OpenLevel59	150	212	50
OpenLevel59	200	212	100
OpenLevel59	300	212	150
OpenLevel59	100	222	50
OpenLevel59	150	222	50
OpenLevel59	200	222	100
OpenLevel59	300	222	150
OpenLevel59	100	213	5
OpenLevel59	150	213	5
OpenLevel59	200	213	10
OpenLevel59	300	213	15
OpenLevel59	100	214	5
OpenLevel59	150	214	5
OpenLevel59	200	214	10
OpenLevel59	300	214	15
OpenLevel59	100	1234	50
OpenLevel59	150	1234	50
OpenLevel59	200	1234	100
OpenLevel59	300	1234	150
OpenLevel59	100	1235	50
OpenLevel59	150	1235	50
OpenLevel59	200	1235	100
OpenLevel59	300	1235	150
OpenLevel69	100	212	50
OpenLevel69	150	212	50
OpenLevel69	200	212	100
OpenLevel69	300	212	150
OpenLevel69	100	222	50
OpenLevel69	150	222	50
OpenLevel69	200	222	100
OpenLevel69	300	222	150
OpenLevel69	100	223	15
OpenLevel69	150	223	15
OpenLevel69	200	223	30
OpenLevel69	300	223	45
OpenLevel69	100	213	5
OpenLevel69	150	213	5
