row	col	Index	LeftX	LeftY	RightX	RightY	TopX	TopY	BottomX	BottomY
1	1	24			3746	20242			2969	19460
1	2	25	6578	20423	8061	20382			7381	19477
1	3	10	11171	20463	12817	20446			12097	19399
1	4	11	15941	20370	17678	20343			16932	19320
1	5	12	20770	20390					21683	19392
2	1	23			3884	16128	2852	17049	2869	15297
2	2	9	6379	16003	8330	15987	7342	17064	7330	15134
2	3	2	11067	16002	12997	15992	11991	17031	11970	15099
2	4	3	15952	15998	17886	15989	16935	17024	16937	15112
2	5	13	20844	16274			22006	16950	21728	15514
3	1	22			3739	12066	2944	13064	2976	11300
3	2	8	6371	11996	8335	12050	7299	12961	7397	11015
3	3	1	10945	11981	12808	11718	12033	12993	12097	11087
3	4	4	16153	11917	18157	11912	17141	12906	17122	10885
3	5	14	20747	12123			21883	13057	21666	11089
4	1	21			3813	7954	2947	8855	2953	7280
4	2	7	6362	7543	8314	7607	7289	8533	7404	6592
4	3	6	11054	7437	13018	7425	12013	8511	12024	6411
4	4	5	15945	7462	17957	7458	16907	8496	16925	6409
4	5	15	21113	7164			22208	8220	21602	6534
5	1	20			3757	3912	2971	4667		
5	2	19	6187	2549	8033	3050	7301	3497		
5	3	18	11543	2587	13078	3022	12389	3473		
5	4	17	16578	2541	18078	3016	17477	3530		
5	5	16	21417	2524			22315	3369		
