Id	Info	Name	StoneIcon	StoneValue	Value	Type	QualityLevel	QualityType	GrowthType	GradeType	EquipType	NpcTemplateId	Skill1	Skill2	Skill3	Skill4	Skill5	Skill6	Skill7	Skill8	Skill9	Skill10
1	SSS级同伴	蚩尤	1	50	16000000	8	1	1	201	25	25	279		1270	1278							
2	SSS级同伴	后羿	1	50	16000000	8	1	1	201	25	25	280		1270	1278							
3	SSS级同伴	苏妲己	1	50	16000000	8	1	1	201	25	25	281		1270	1278							
4	SSS级同伴	鬼谷子	1	50	16000000	8	1	1	201	25	25	282		1270	1278							
5	SSS级同伴	项羽	1	50	16000000	8	1	1	201	25	25	283		1270	1278							
6	SSS级同伴	秦始皇	1	50	16000000	8	1	1	201	25	25	284		1270	1278							
7	SSS级同伴	武则天	1	50	16000000	8	1	1	201	25	25	285		1270	1278							
8	SSS级同伴	吕洞宾	1	50	16000000	8	1	1	201	25	25	286		1270	1278							
9	SSS级同伴	张三丰	1	50	16000000	8	1	1	201	25	25	287		1270	1278							
10	SSS级同伴	西施	1	50	16000000	8	1	1	201	25	25	288		1270	1278							
11	SS级同伴	独孤剑	1	50	6000000	2	2	1	201	25	25	289		2671	2672	2674	2623					
12	SS级同伴	南宫飞云	1	50	6000000	2	2	10	210	34	34	290		2850	2851	2674	2623					
13	SS级同伴	杨影枫	1	50	6000000	2	2	9	209	33	33	291		2870	2871	2674	2623					
14	SS级同伴	玄天道人	1	50	6000000	2	2	5	205	29	29	292		2853	2854	2674	2623					
15	SS级同伴	虞姬	1	50	6000000	2	2	2	202	26	26	293		2856	2857	2674	2623					
16	SS级同伴	赵飞燕	1	50	6000000	8	2	8	208	32	32	294		1270	1278							
17	SS级同伴，历代名将	荆轲	1	50	6000000	8	2	6	206	30	30	295		1270	1278							
18	SS级同伴，历代名将	李广	1	50	6000000	8	2	4	204	28	28	296		1270	1278							
19	SS级同伴，历代名将	赵云	1	50	6000000	8	2	3	203	27	27	297		1270	1278							
20	SS级同伴，历代名将	李元霸	1	50	6000000	8	2	7	207	31	31	298		1270	1278							
21	S级同伴	月眉儿	1	50	2000000	1	3	8	308	20	20	299		2641	2642	2620	2622					
22	S级同伴，天王掌门	杨瑛	1	50	2000000	1	3	1	301	13	13	300		2649	2681	2618	2622					
23	S级同伴，逍遥掌门	祝子虚	1	50	2000000	1	3	3	303	15	15	301		1234	1238	2619	2624					
24	S级同伴，峨嵋掌门	清和	1	50	2000000	1	3	2	302	14	14	302		1140	1144	2620	2622					
25	S级同伴，桃花掌门	黄暮云	1	50	2000000	1	3	4	304	16	16	303		1191	1195	2614	2621					
26	S级同伴，武当掌门	道一真人	1	50	2000000	1	3	5	305	17	17	304		2859	2860	2617	2623					
27	S级同伴，天忍掌门	端木睿	1	50	2000000	8	3	6	306	18	18	305		2842	2670	2613	2624					
28	S级同伴，少林掌门	玄因	1	50	2000000	8	3	7	307	19	19	306		1181	1188							
29	S级同伴，翠烟掌门	尹含烟	1	50	2000000	8	3	8	308	20	20	307		1181	1188							
127	S级同伴，丐帮掌门	何人我	1	50	2000000	8	3	9	309	21	21	1051		1181	1188							
128	S级同伴，昆仑掌门	璇玑子	1	50	2000000	8	3	10	310	22	22	1052		1181	1188							
129	S级同伴，五毒掌门	黑面郎君	1	50	2000000	8	3	11	311	23	23	1053		1181	1188							
130	S级同伴，唐门掌门	唐仇	1	50	2000000	8	3	12	312	24	24	1054		1181	1188							
30	S级同伴，历代名将	高长恭	1	50	2000000	1	3	1	301	13	13	308		2645	2646	2616	2623					
31	S级同伴，历代名将	哲别	1	50	2000000	1	3	12	312	24	24	309		2513	2521	2614	2621					
