QualityLevel	SkillLevel	Skill1	Skill2	Skill3	Skill4	Skill5
1	1	0	0	0	0	0
1	2	13000	40000	121000	363000	1088000
1	3	15000	46000	139000	417000	1252000
1	4	17000	52000	157000	472000	1415000
1	5	19000	58000	175000	526000	1578000
1	6	22000	65000	194000	581000	1742000
1	7	24000	71000	212000	635000	1905000
1	8	26000	77000	230000	689000	2068000
1	9	28000	83000	248000	744000	2231000
1	10	30000	89000	266000	798000	2395000
1	11	32000	95000	284000	853000	2558000
1	12	34000	101000	302000	907000	2721000
1	13	36000	107000	320000	961000	2884000
1	14	38000	113000	339000	1016000	3048000
1	15	40000	119000	357000	1070000	3211000
1	16	42000	125000	375000	1125000	3374000
1	17	44000	131000	393000	1179000	3538000
1	18	46000	137000	411000	1234000	3701000
1	19	48000	143000	429000	1288000	3864000
1	20	50000	149000	447000	1342000	4027000
2	1	0	0	0	0	0
2	2	9000	27000	81000	242000	726000
2	3	10000	31000	93000	278000	834000
2	4	12000	35000	105000	314000	943000
2	5	13000	39000	117000	351000	1052000
2	6	14000	43000	129000	387000	1161000
2	7	16000	47000	141000	423000	1270000
2	8	17000	51000	153000	460000	1379000
2	9	18000	55000	165000	496000	1488000
2	10	20000	59000	177000	532000	1596000
2	11	21000	63000	189000	568000	1705000
2	12	22000	67000	202000	605000	1814000
2	13	24000	71000	214000	641000	1923000
2	14	25000	75000	226000	677000	2032000
2	15	26000	79000	238000	714000	2141000
2	16	28000	83000	250000	750000	2249000
2	17	29000	87000	262000	786000	2358000
2	18	30000	91000	274000	822000	2467000
2	19	32000	95000	286000	859000	2576000
2	20	33000	99000	298000	895000	2685000
3	1	0	0	0	0	0
3	2	4000	13000	40000	121000	363000
3	3	5000	15000	46000	139000	417000
3	4	6000	17000	52000	157000	472000
3	5	6000	19000	58000	175000	526000
3	6	7000	22000	65000	194000	581000
3	7	8000	24000	71000	212000	635000
3	8	9000	26000	77000	230000	689000
3	9	9000	28000	83000	248000	744000
3	10	10000	30000	89000	266000	798000
3	11	11000	32000	95000	284000	853000
3	12	11000	34000	101000	302000	907000
3	13	12000	36000	107000	320000	961000
3	14	13000	38000	113000	339000	1016000
3	15	13000	40000	119000	357000	1070000
3	16	14000	42000	125000	375000	1125000
3	17	15000	44000	131000	393000	1179000
3	18	15000	46000	137000	411000	1234000
3	19	16000	48000	143000	429000	1288000
3	20	17000	50000	149000	447000	1342000
4	1	0	0	0	0	0
4	2	2000	7000	20000	60000	181000
4	3	3000	8000	23000	70000	209000
4	4	3000	9000	26000	79000	236000
4	5	3000	10000	29000	88000	263000
4	6	4000	11000	32000	97000	290000
4	7	4000	12000	35000	106000	317000
4	8	4000	13000	38000	115000	345000
4	9	5000	14000	41000	124000	372000
4	10	5000	15000	44000	133000	399000
4	11	5000	16000	47000	142000	426000
4	12	6000	17000	50000	151000	454000
4	13	6000	18000	53000	160000	481000
4	14	6000	19000	56000	169000	508000
4	15	7000	20000	59000	178000	535000
4	16	7000	21000	62000	187000	562000
4	17	7000	22000	66000	197000	590000
4	18	8000	23000	69000	206000	617000
4	19	8000	24000	72000	215000	644000
4	20	8000	25000	75000	224000	671000
5	1	0	0	0	0	0
5	2	2000	7000	20000	60000	181000
5	3	3000	8000	23000	70000	209000
5	4	3000	9000	26000	79000	236000
5	5	3000	10000	29000	88000	263000
5	6	4000	11000	32000	97000	290000
5	7	4000	12000	35000	106000	317000
5	8	4000	13000	38000	115000	345000
5	9	5000	14000	41000	124000	372000
5	10	5000	15000	44000	133000	399000
5	11	5000	16000	47000	142000	426000
5	12	6000	17000	50000	151000	454000
5	13	6000	18000	53000	160000	481000
5	14	6000	19000	56000	169000	508000
5	15	7000	20000	59000	178000	535000
5	16	7000	21000	62000	187000	562000
5	17	7000	22000	66000	197000	590000
5	18	8000	23000	69000	206000	617000
5	19	8000	24000	72000	215000	644000
5	20	8000	25000	75000	224000	671000
6	1	0	0	0	0	0
6	2	2000	7000	20000	60000	181000
6	3	3000	8000	23000	70000	209000
6	4	3000	9000	26000	79000	236000
6	5	3000	10000	29000	88000	263000
6	6	4000	11000	32000	97000	290000
6	7	4000	12000	35000	106000	317000
6	8	4000	13000	38000	115000	345000
6	9	5000	14000	41000	124000	372000
6	10	5000	15000	44000	133000	399000
6	11	5000	16000	47000	142000	426000
6	12	6000	17000	50000	151000	454000
6	13	6000	18000	53000	160000	481000
6	14	6000	19000	56000	169000	508000
6	15	7000	20000	59000	178000	535000
6	16	7000	21000	62000	187000	562000
6	17	7000	22000	66000	197000	590000
6	18	8000	23000	69000	206000	617000
6	19	8000	24000	72000	215000	644000
6	20	8000	25000	75000	224000	671000
