QualityLevel	GradeLevel	FightPower
1	1	18
1	2	36
1	3	61
1	4	100
1	5	160
1	6	300
1	7	540
1	8	960
1	9	1560
1	10	2220
1	11	3120
1	12	4380
1	13	6450
1	14	8790
1	15	12210
1	16	17250
1	17	26250
1	18	36330
1	19	51450
1	20	74490
2	1	18
2	2	36
2	3	61
2	4	100
2	5	160
2	6	240
2	7	420
2	8	720
2	9	1080
2	10	1620
2	11	2280
2	12	3180
2	13	4350
2	14	6330
2	15	8850
2	16	12450
2	17	17130
2	18	25770
2	19	36570
2	20	52410
3	1	18
3	2	36
3	3	61
3	4	100
3	5	160
3	6	240
3	7	360
3	8	600
3	9	900
3	10	1260
3	11	1860
3	12	2580
3	13	3570
3	14	4830
3	15	7170
3	16	10050
3	17	14010
3	18	19050
3	19	29130
3	20	41370
4	1	18
4	2	36
4	3	61
4	4	100
4	5	160
4	6	240
4	7	360
4	8	540
4	9	780
4	10	1080
4	11	1500
4	12	2040
4	13	2850
4	14	3930
4	15	5550
4	16	7710
4	17	10950
4	18	15270
4	19	21750
4	20	30390
5	1	18
5	2	36
5	3	61
5	4	100
5	5	160
5	6	240
5	7	360
5	8	540
5	9	780
5	10	1080
5	11	1500
5	12	2040
5	13	2850
5	14	3930
5	15	5550
5	16	7710
5	17	10950
5	18	15270
5	19	21750
5	20	30390
6	1	18
6	2	36
6	3	61
6	4	100
6	5	160
6	6	240
6	7	360
6	8	540
6	9	780
6	10	1080
6	11	1500
6	12	2040
6	13	2850
6	14	3930
6	15	5550
6	16	7710
6	17	10950
6	18	15270
6	19	21750
6	20	30390
