EquipType	GradeLevel	Pos1	Pos2	Pos3	Pos4	Pos5	Pos6
1	0	603	603	609	609	615	627
1	1	603	603	609	615	633	651
1	2	603	609	609	639	663	616
1	3	627	645	657	604	610	616
1	4	604	604	610	610	622	634
1	5	604	604	610	610	652	629
1	6	616	622	646	605	611	641
1	7	605	611	617	629	659	665
1	8	605	605	611	629	653	618
1	9	605	611	611	617	624	630
1	10	647	659	606	612	618	636
1	11	606	606	612	612	630	642
1	12	606	612	612	618	630	637
1	13	606	606	612	654	625	631
1	14	630	648	607	613	619	661
1	15	607	607	613	613	619	643
1	16	607	607	613	631	655	620
1	17	607	613	613	619	626	632
1	18	649	661	608	614	620	638
1	19	608	608	614	614	632	644
2	0	603	603	609	615	621	651
2	1	603	603	609	627	633	639
2	2	603	609	621	645	657	604
2	3	627	633	663	604	610	616
2	4	604	604	604	610	622	640
2	5	604	610	616	628	658	605
2	6	604	634	646	605	611	653
2	7	605	611	617	623	629	635
2	8	605	605	611	617	623	636
2	9	605	611	629	647	606	654
2	10	605	635	606	612	624	642
2	11	606	606	612	618	630	660
2	12	606	606	612	624	636	643
2	13	606	612	618	630	607	661
2	14	606	648	607	613	625	655
2	15	607	607	613	619	631	637
2	16	607	607	613	619	625	638
2	17	607	613	631	637	608	656
2	18	607	637	608	614	626	644
2	19	608	608	614	620	632	662
3	0	603	609	609	621	633	639
3	1	603	609	609	615	627	645
3	2	603	609	627	633	651	610
3	3	615	657	663	604	610	616
3	4	604	610	622	634	628	646
3	5	604	610	610	634	658	623
3	6	604	634	664	611	641	653
3	7	605	611	617	623	629	635
3	8	605	611	617	629	647	624
3	9	605	611	611	659	636	642
3	10	635	665	606	612	624	654
3	11	606	612	612	618	630	636
3	12	606	612	612	618	648	625
3	13	606	612	630	660	613	637
3	14	636	666	607	613	643	655
3	15	607	613	619	625	631	637
3	16	607	613	619	631	649	626
3	17	607	613	613	661	638	644
3	18	637	667	608	614	626	656
3	19	608	614	614	620	632	638
4	0	603	609	609	621	633	651
4	1	603	609	609	621	633	657
4	2	603	609	609	627	645	610
4	3	621	633	663	604	610	616
4	4	604	610	622	634	640	658
4	5	604	610	622	628	634	611
4	6	604	610	664	611	641	647
4	7	605	611	617	623	635	653
4	8	605	611	611	629	641	624
4	9	605	611	623	659	612	636
4	10	635	665	606	612	648	654
4	11	606	612	612	618	624	636
4	12	606	612	612	618	642	625
4	13	606	612	624	660	613	637
4	14	636	666	607	613	631	649
4	15	607	613	613	625	637	655
4	16	607	613	613	631	643	626
4	17	607	613	625	661	614	638
4	18	637	667	608	614	650	656
4	19	608	614	614	620	626	638
5	0	603	609	609	615	621	633
5	1	603	609	609	615	627	639
5	2	603	609	627	633	651	610
5	3	627	645	657	604	610	616
5	4	604	610	616	622	628	634
5	5	604	610	610	616	640	623
5	6	622	628	664	605	611	653
5	7	605	611	617	629	635	659
5	8	605	611	617	623	665	636
5	9	605	611	611	629	618	654
5	10	635	647	606	612	624	642
5	11	606	612	612	618	630	660
5	12	606	612	612	618	624	631
5	13	606	612	636	642	613	655
5	14	648	666	607	613	619	661
5	15	607	613	619	625	631	637
5	16	607	613	619	625	667	638
5	17	607	613	613	631	620	656
5	18	637	649	608	614	626	644
5	19	608	614	614	620	632	662
6	0	603	609	615	621	633	645
6	1	603	609	621	627	633	651
6	2	603	609	615	621	633	610
6	3	621	657	663	604	610	616
6	4	604	610	622	634	640	652
6	5	604	622	628	634	646	641
6	6	622	634	658	605	611	635
6	7	605	611	617	623	629	635
6	8	605	611	617	623	635	642
6	9	605	611	623	629	636	654
6	10	647	665	606	612	624	636
6	11	606	612	618	624	630	636
6	12	606	612	618	624	660	637
6	13	606	612	624	636	631	643
6	14	630	666	607	613	625	637
6	15	607	613	619	625	637	655
6	16	607	613	619	625	637	644
6	17	607	613	625	631	638	656
6	18	649	667	608	614	626	638
6	19	608	614	620	626	632	638
7	0	603	603	603	609	627	639
7	1	603	603	609	621	633	645
7	2	603	609	615	633	651	604
7	3	603	621	657	604	610	616
7	4	604	604	604	610	622	652
7	5	604	604	610	634	640	611
7	6	628	658	664	605	605	647
7	7	605	605	611	623	635	665
7	8	605	605	611	617	629	606
7	9	605	611	623	635	606	648
7	10	605	659	606	612	642	666
7	11	606	606	612	624	636	654
7	12	606	606	606	612	630	625
7	13	606	612	618	636	607	649
7	14	624	654	607	607	613	667
7	15	607	607	613	637	643	661
7	16	607	607	613	619	631	608
7	17	607	613	625	637	608	650
7	18	607	661	608	614	644	668
7	19	608	608	614	626	638	656
8	0	603	603	609	615	627	639
8	1	603	603	615	621	633	645
8	2	603	621	627	651	663	604
8	3	627	633	657	604	610	616
8	4	604	610	616	622	628	634
8	5	604	604	616	622	628	641
8	6	622	646	658	605	635	665
8	7	605	611	617	623	629	653
8	8	605	611	617	623	647	630
8	9	605	605	629	659	618	636
8	10	635	665	606	624	630	642
8	11	606	606	612	618	624	654
8	12	606	612	618	630	660	637
8	13	606	606	636	666	625	643
8	14	624	648	607	619	631	655
8	15	607	607	613	619	631	637
8	16	607	613	619	625	649	632
8	17	607	607	631	661	620	638
8	18	637	667	608	626	632	644
8	19	608	608	614	620	626	656
9	0	603	609	615	621	627	651
9	1	603	609	615	627	633	639
9	2	603	609	615	621	657	616
9	3	627	633	663	604	610	616
9	4	604	610	616	622	628	652
9	5	604	610	628	634	658	629
9	6	628	640	664	605	611	617
9	7	605	611	617	623	629	635
9	8	605	611	617	623	659	636
9	9	605	611	617	647	630	642
9	10	629	635	606	612	618	654
9	11	606	612	618	624	630	666
9	12	606	612	618	624	636	631
9	13	606	612	618	648	619	643
9	14	630	666	607	613	637	655
9	15	607	613	619	625	631	661
9	16	607	613	619	625	661	638
9	17	607	613	619	649	632	644
9	18	631	637	608	614	620	656
9	19	608	614	620	626	632	668
10	0	603	609	609	609	621	633
