nQualityLevel	nGrowthLevel	nCount
1	2	400
1	3	400
1	4	600
1	5	600
1	6	800
1	7	800
1	8	1200
1	9	1200
1	10	1400
1	11	1400
1	12	1800
1	13	1800
1	14	2000
1	15	2000
1	16	2400
1	17	2400
1	18	2600
1	19	2800
1	20	3000
1	21	3200
2	2	160
2	3	160
2	4	240
2	5	240
2	6	320
2	7	320
2	8	480
2	9	480
2	10	560
2	11	560
2	12	720
2	13	720
2	14	800
2	15	800
2	16	960
2	17	960
2	18	1040
2	19	1120
2	20	1200
2	21	1280
3	2	80
3	3	80
3	4	120
3	5	120
3	6	160
3	7	160
3	8	240
3	9	240
3	10	280
3	11	280
3	12	360
3	13	360
3	14	400
3	15	400
3	16	480
3	17	480
3	18	520
3	19	560
3	20	600
3	21	640
4	2	32
4	3	32
4	4	48
4	5	48
4	6	64
4	7	64
4	8	96
4	9	96
4	10	112
4	11	112
4	12	144
4	13	144
4	14	160
4	15	160
4	16	192
4	17	192
4	18	208
4	19	224
4	20	240
4	21	256
5	2	12
5	3	12
5	4	18
5	5	18
5	6	24
5	7	24
5	8	36
5	9	36
5	10	42
5	11	42
5	12	54
5	13	54
5	14	60
5	15	60
5	16	72
5	17	72
5	18	78
5	19	84
5	20	90
5	21	96
6	2	2
6	3	2
6	4	3
6	5	3
6	6	4
6	7	4
6	8	6
6	9	6
6	10	7
6	11	7
6	12	9
6	13	9
6	14	10
6	15	10
6	16	12
6	17	12
6	18	13
6	19	14
6	20	15
6	21	16
