GradeType	Info	GradeLevel	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib11Type	Attrib11Value1	Attrib11Value2	Attrib11Value3	Attrib12Type	Attrib12Value1	Attrib12Value2	Attrib12Value3
1	天王	1	lifemax_v	600	0	0	lifemax_v	600	0	0	basic_damage_v	30	0	30	basic_damage_v	30	0	30	all_series_resist_v	15	0	0	defense_v	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		2	lifemax_v	600	0	0	lifemax_v	600	0	0	basic_damage_v	30	0	30	all_series_resist_v	15	0	0	deadlystrike_v	30	0	0	add_seriesstate_rate_v	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		3	lifemax_v	600	0	0	basic_damage_v	30	0	30	basic_damage_v	30	0	30	ignore_defense_v	60	0	0	recover_life_v	120	75	0	all_series_resist_v	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		4	defense_v	60	0	0	weaken_deadlystrike_v	30	0	0	resist_allseriesstate_rate_v	15	0	0	lifemax_v	800	0	0	basic_damage_v	40	0	40	all_series_resist_v	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		5	lifemax_v	800	0	0	lifemax_v	800	0	0	basic_damage_v	40	0	40	basic_damage_v	40	0	40	attackrate_v	160	0	0	deadlystrike_v	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		6	lifemax_v	800	0	0	lifemax_v	800	0	0	basic_damage_v	40	0	40	basic_damage_v	40	0	40	add_seriesstate_rate_v	20	0	0	defense_v	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		7	all_series_resist_v	20	0	0	attackrate_v	160	0	0	weaken_deadlystrike_v	40	0	0	lifemax_v	1200	0	0	basic_damage_v	60	0	60	ignore_defense_v	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		8	lifemax_v	1200	0	0	basic_damage_v	60	0	60	all_series_resist_v	30	0	0	defense_v	120	0	0	resist_allseriesstate_rate_v	30	0	0	recover_life_v	240	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		9	lifemax_v	1200	0	0	lifemax_v	1200	0	0	basic_damage_v	60	0	60	defense_v	120	0	0	add_seriesstate_rate_v	30	0	0	all_series_resist_v	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		10	lifemax_v	1200	0	0	basic_damage_v	60	0	60	basic_damage_v	60	0	60	all_series_resist_v	30	0	0	attackrate_v	320	0	0	defense_v	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		11	weaken_deadlystrike_v	60	0	0	resist_allseriesstate_rate_v	30	0	0	lifemax_v	1600	0	0	basic_damage_v	80	0	80	all_series_resist_v	40	0	0	deadlystrike_v	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		12	lifemax_v	1600	0	0	lifemax_v	1600	0	0	basic_damage_v	80	0	80	basic_damage_v	80	0	80	defense_v	160	0	0	ignore_defense_v	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		13	lifemax_v	1600	0	0	basic_damage_v	80	0	80	basic_damage_v	80	0	80	all_series_resist_v	40	0	0	defense_v	160	0	0	deadlystrike_v	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		14	lifemax_v	1600	0	0	lifemax_v	1600	0	0	basic_damage_v	80	0	80	add_seriesstate_rate_v	40	0	0	attackrate_v	480	0	0	defense_v	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		15	defense_v	160	0	0	weaken_deadlystrike_v	80	0	0	lifemax_v	2400	0	0	basic_damage_v	120	0	120	all_series_resist_v	60	0	0	resist_allseriesstate_rate_v	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		16	lifemax_v	2400	0	0	lifemax_v	2400	0	0	basic_damage_v	120	0	120	basic_damage_v	120	0	120	all_series_resist_v	60	0	0	ignore_defense_v	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
