ObjTemplateID	ChildTemplateID1	NeedNum1	ChildTemplateID2	NeedNum2	ChildTemplateID3	NeedNum3
605	604	2	603	2		
611	610	2	609	2		
617	616	2	615	2		
623	622	2	621	2		
629	628	2	627	2		
635	634	2	633	2		
641	640	2	639	2		
647	646	2	645	2		
653	652	2	651	2		
659	658	2	657	2		
665	664	2	663	2		
727	617	1	605	1	693	1
728	623	1	611	1	694	1
729	629	1	605	1	695	1
730	635	1	611	1	696	1
731	641	1	611	1	697	1
732	647	1	605	1	698	1
733	653	1	611	1	699	1
734	659	1	605	1	700	1
606	605	3				
612	611	3				
618	617	1	701	1		
624	623	1	702	1		
630	629	1	703	1		
636	635	1	704	1		
642	641	1	705	1		
648	647	1	706	1		
654	653	1	707	1		
660	659	1	708	1		
666	665	1	709	1		
669	618	1	606	1	727	1
670	624	1	612	1	728	1
671	630	1	606	1	729	1
672	636	1	612	1	730	1
673	642	1	612	1	731	1
674	648	1	606	1	732	1
675	654	1	612	1	733	1
676	660	1	606	1	734	1
607	606	4				
613	612	4				
619	618	2	617	6		
625	624	2	623	6		
631	630	2	629	6		
637	636	2	635	6		
643	642	2	641	6		
649	648	2	647	6		
655	654	2	653	6		
661	660	2	659	6		
667	666	2	665	6		
677	607	1	618	2	710	1
678	613	1	624	2	711	1
679	607	1	630	2	712	1
680	613	1	636	2	713	1
681	613	1	642	2	714	1
682	607	1	648	2	715	1
683	613	1	654	2	716	1
684	607	1	660	2	717	1
608	607	4				
614	613	4				
620	619	1	618	4	718	1
626	625	1	624	4	719	1
632	631	1	630	4	720	1
638	637	1	636	4	721	1
644	643	1	642	4	722	1
650	649	1	648	4	723	1
656	655	1	654	4	724	1
662	661	1	660	4	725	1
668	667	1	666	4	726	1
685	607	4	620	1	677	2
686	613	4	626	1	678	2
687	607	4	632	1	679	2
688	613	4	638	1	680	2
689	613	4	644	1	681	2
690	607	4	650	1	682	2
691	613	4	656	1	683	2
692	607	4	662	1	684	2
693	970	5				
694	971	5				
695	972	5				
696	973	5				
697	974	5				
698	975	5				
699	976	5				
700	977	5				
701	978	10				
702	979	10				
703	980	10				
704	981	10				
705	982	10				
706	983	10				
707	984	10				
708	985	10				
709	986	10				
710	987	60				
711	988	60				
712	989	60				
713	990	60				
714	991	60				
715	992	60				
716	993	60				
717	994	60				
718	995	80				
719	996	80				
720	997	80				
721	998	80				
722	999	80				
723	1000	80				
724	1001	80				
725	1002	80				
726	1003	80				
