szType	nSaveIdx	nAttribId	nPartner1	nPartner2	nPartner3	nPartner4	nPartner5
月影传说	1	101	13	21	49	64	68
剑侠情缘	2	102	11	22	63		
爱恨情仇	3	103	12	38	135	131	
情仇纠葛	4	104	45	47	62	69	
抗金名将	5	105	39	132	133	71	
恩怨未了	6	106	13	21	40	41	
藏剑山庄	7	107	42	43	64	67	
无忧一脉	8	108	14	21	44	49	
一流剑客	9	109	45	47	48		
五色阴谋	10	110	46	48	70	72	
忘忧岛	11	111	49	126	78	81	
天忍密谋	12	112	65	73			
江湖人士	13	113	84	85	86	87	88
无忧教	14	114	79	80	82	83	
野外首领	15	115	58	59	60	61	
历代名将	17	117	30	31	32	33	
名门·唯我独尊	20	120	22	50			
名门·不让须眉	21	121	24	25	52	53	
名门·逍遥天涯	22	122	23	51			
