QualityType	Info	QualityLevel	Strength	Energy	Dexterity	Vitality	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
1	偏防（天王）	1	60	60	90	90	lifemax_v	1500																																						
2	偏血（峨眉）	1	60	60	90	90	lifemax_v	1500																																						
3	偏控（逍遥）	1	90	90	60	60	lifemax_v	1500																																						
4	偏攻（桃花）	1	90	90	60	60	lifemax_v	1500																																						
5	AOE（武当）	1	90	60	90	60	lifemax_v	1500																																						
6	纯控（天忍）	1	90	90	60	60	lifemax_v	1500																																						
7	纯血（少林）	1	60	90	60	90	lifemax_v	1500																																						
8	辅助（翠烟）	1	60	90	60	90	lifemax_v	1500																																						
9	偏闪（丐帮）	1	60	60	90	90	lifemax_v	1500																																						
10	纯攻（昆仑）	1	90	60	90	60	lifemax_v	1500																																						
11	生存（华山）	1	60	60	90	90	lifemax_v	1500																																						
12	纯暴（唐门）	1	90	90	60	60	lifemax_v	1500																																						
1	偏防（天王）	2	40	40	60	60	lifemax_v	1200																																						
2	偏血（峨眉）	2	40	40	60	60	lifemax_v	1200																																						
3	偏控（逍遥）	2	60	60	40	40	lifemax_v	1200																																						
4	偏攻（桃花）	2	60	60	40	40	lifemax_v	1200																																						
5	AOE（武当）	2	60	40	60	40	lifemax_v	1200																																						
6	纯控（天忍）	2	60	60	40	40	lifemax_v	1200																																						
7	纯血（少林）	2	40	60	40	60	lifemax_v	1200																																						
8	辅助（翠烟）	2	40	60	40	60	lifemax_v	1200																																						
9	偏闪（丐帮）	2	40	40	60	60	lifemax_v	1200																																						
10	纯攻（昆仑）	2	60	40	60	40	lifemax_v	1200																																						
11	生存（华山）	2	40	40	60	60	lifemax_v	1200																																						
12	纯暴（唐门）	2	60	60	40	40	lifemax_v	1200																																						
1	偏防（天王）	3	30	30	45	45	lifemax_v	1000																																						
2	偏血（峨眉）	3	30	30	45	45	lifemax_v	1000																																						
3	偏控（逍遥）	3	45	45	30	30	lifemax_v	1000																																						
4	偏攻（桃花）	3	45	45	30	30	lifemax_v	1000																																						
5	AOE（武当）	3	45	30	45	30	lifemax_v	1000																																						
6	纯控（天忍）	3	45	45	30	30	lifemax_v	1000																																						
7	纯血（少林）	3	30	45	30	45	lifemax_v	1000																																						
8	辅助（翠烟）	3	30	45	30	45	lifemax_v	1000																																						
9	偏闪（丐帮）	3	30	30	45	45	lifemax_v	1000																																						
10	纯攻（昆仑）	3	45	30	45	30	lifemax_v	1000																																						
11	生存（华山）	3	30	30	45	45	lifemax_v	1000																																						
12	纯暴（唐门）	3	45	45	30	30	lifemax_v	1000																																						
1	偏防（天王）	4	20	20	30	30	lifemax_v	800																																						
2	偏血（峨眉）	4	20	20	30	30	lifemax_v	800																																						
3	偏控（逍遥）	4	30	30	20	20	lifemax_v	800																																						
4	偏攻（桃花）	4	30	30	20	20	lifemax_v	800																																						
5	AOE（武当）	4	30	20	30	20	lifemax_v	800																																						
6	纯控（天忍）	4	30	30	20	20	lifemax_v	800																																						
7	纯血（少林）	4	20	30	20	30	lifemax_v	800																																						
8	辅助（翠烟）	4	20	30	20	30	lifemax_v	800																																						
9	偏闪（丐帮）	4	20	20	30	30	lifemax_v	800																																						
10	纯攻（昆仑）	4	30	20	30	20	lifemax_v	800																																						
11	生存（华山）	4	20	20	30	30	lifemax_v	800																																						
12	纯暴（唐门）	4	30	30	20	20	lifemax_v	800																																						
1	偏防（天王）	5	12	12	18	18	lifemax_v	600																																						
2	偏血（峨眉）	5	12	12	18	18	lifemax_v	600																																						
3	偏控（逍遥）	5	18	18	12	12	lifemax_v	600																																						
4	偏攻（桃花）	5	18	18	12	12	lifemax_v	600																																						
5	AOE（武当）	5	18	12	18	12	lifemax_v	600																																						
6	纯控（天忍）	5	18	18	12	12	lifemax_v	600																																						
7	纯血（少林）	5	12	18	12	18	lifemax_v	600																																						
8	辅助（翠烟）	5	12	18	12	18	lifemax_v	600																																						
9	偏闪（丐帮）	5	12	12	18	18	lifemax_v	600																																						
10	纯攻（昆仑）	5	18	12	18	12	lifemax_v	600																																						
11	生存（华山）	5	12	12	18	18	lifemax_v	600																																						
12	纯暴（唐门）	5	18	18	12	12	lifemax_v	600																																						
1	偏防（天王）	6	6	6	9	9	lifemax_v	500																																						
2	偏血（峨眉）	6	6	6	9	9	lifemax_v	500																																						
3	偏控（逍遥）	6	9	9	6	6	lifemax_v	500																																						
4	偏攻（桃花）	6	9	9	6	6	lifemax_v	500																																						
5	AOE（武当）	6	9	6	9	6	lifemax_v	500																																						
6	纯控（天忍）	6	9	9	6	6	lifemax_v	500																																						
7	纯血（少林）	6	6	9	6	9	lifemax_v	500																																						
8	辅助（翠烟）	6	6	9	6	9	lifemax_v	500																																						
9	偏闪（丐帮）	6	6	6	9	9	lifemax_v	500																																						
10	纯攻（昆仑）	6	9	6	9	6	lifemax_v	500																																						
11	生存（华山）	6	6	6	9	9	lifemax_v	500																																						
12	纯暴（唐门）	6	9	9	6	6	lifemax_v	500																																						
