QualityLevel	GrowthLevel	FightPower
1	1	10000
1	2	12000
1	3	14000
1	4	17000
1	5	20000
1	6	24000
1	7	28000
1	8	34000
1	9	40000
1	10	47000
1	11	54000
1	12	63000
1	13	72000
1	14	82000
1	15	92000
1	16	104000
1	17	116000
1	18	129000
1	19	143000
1	20	158000
1	21	174000
2	1	4000
2	2	4800
2	3	5600
2	4	6800
2	5	8000
2	6	9600
2	7	11200
2	8	13600
2	9	16000
2	10	18800
2	11	21600
2	12	25200
2	13	28800
2	14	32800
2	15	36800
2	16	41600
2	17	46400
2	18	51600
2	19	57200
2	20	63200
2	21	69600
3	1	2000
3	2	2400
3	3	2800
3	4	3400
3	5	4000
3	6	4800
3	7	5600
3	8	6800
3	9	8000
3	10	9400
3	11	10800
3	12	12600
3	13	14400
3	14	16400
3	15	18400
3	16	20800
3	17	23200
3	18	25800
3	19	28600
3	20	31600
3	21	34800
4	1	800
4	2	960
4	3	1120
4	4	1360
4	5	1600
4	6	1920
4	7	2240
4	8	2720
4	9	3200
4	10	3760
4	11	4320
4	12	5040
4	13	5760
4	14	6560
4	15	7360
4	16	8320
4	17	9280
4	18	10320
4	19	11440
4	20	12640
4	21	13920
5	1	300
5	2	360
5	3	420
5	4	510
5	5	600
5	6	720
5	7	840
5	8	1020
5	9	1200
5	10	1410
5	11	1620
5	12	1890
5	13	2160
5	14	2460
5	15	2760
5	16	3120
5	17	3480
5	18	3870
5	19	4290
5	20	4740
5	21	5220
6	1	50
6	2	60
6	3	70
6	4	85
6	5	100
6	6	120
6	7	140
6	8	170
6	9	200
6	10	235
6	11	270
6	12	315
6	13	360
6	14	410
6	15	460
6	16	520
6	17	580
6	18	645
6	19	715
6	20	790
6	21	870
